city,brand_segment,hotel_short_name,Sign up status v2,checkin,
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Jan 15, 2026",6
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Feb 21, 2025",1
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Dec 17, 2025",5
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Jun 21, 2025",1
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Aug 30, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Dec 7, 2025",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Nov 19, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Apr 5, 2025",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Dec 3, 2025",5
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Jun 25, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"May 6, 2025",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Apr 11, 2025",5
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Apr 9, 2025",4
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Sep 17, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Jan 6, 2026",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Sep 2, 2025",1
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Sep 1, 2025",1
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Nov 28, 2025",4
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Mar 2, 2026",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Apr 2, 2025",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Apr 8, 2025",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Feb 16, 2026",4
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Mar 9, 2025",3
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Jan 15, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Jul 25, 2025",4
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Mar 25, 2025",1
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Dec 18, 2025",5
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Aug 8, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"Dec 10, 2025",6
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"May 28, 2025",2
HN,hotel,HOTEL_THỢ NHUỘM,Sign-up sau C/I,"May 3, 2025",2
