hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Hoi An Chic Green Retreat - Hotel,Chic Suite,2.191.915₫,2.356.052₫,2.191.915₫,NA,NA,NA
Hoi An Eco Lodge & Spa - Hotel,Phòng Superior giường King (Superior King Room),1.402.998₫,3.309.121₫,1.440.917₫,3.309.121₫,2.932.099₫,2.932.099₫
Little Oasis - Hotel,Little Oasis Deluxe,1.958.598₫,2.304.233₫,2.041.556₫,1.830.282₫,1.750.454₫,1.780.963₫
Maison Vy - Hotel,Giường Lớn Cao Cấp (Superior King),NA,NA,NA,NA,NA,NA
Reu Boutique Hotel - Hotel,Superior 2 giường hoặc giường đôi (Superior Twin or Double),NA,NA,NA,NA,NA,NA
Grand Sunrise Palace Hội An - Hotel,Phòng Loại Sang Giường Đôi (Deluxe Double Room),2.694.004₫,2.398.476₫,2.047.650₫,1.765.263₫,2.314.752₫,2.169.312₫
Hoi An Beach Resort,Phòng Superior (Superior Room),NA,NA,NA,NA,NA,NA
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony",2.200.000₫,2.100.000₫,2.200.000₫,2.150.000₫,2.250.000₫,2.050.000₫
Sen Village Hội An (Sen Village Hoi An) - Hotel,Phòng Loại Sang (Deluxe Room),1.465.999₫,1.485.714₫,1.480.291₫,1.238.542₫,NA,NA
The Saga Hotel Hoi An - Hotel,Phòng Superior 2 giường (Superior Twin Room),2.385.299₫,1.345.943₫,1.994.953₫,1.672.422₫,NA,NA
ENSO Retreat Hoi An - Rediscovery & Serenity,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),1.445.889₫,1.445.889₫,NA,NA,NA,NA
Hoi An Coco River Resort & Spa,Phòng Loại Sang Giường Đôi Hướng Vườn (Deluxe Double Garden View),2.204.586₫,1.048.092₫,2.204.586₫,NA,NA,NA
Harvest Day Hoi An - Hotel,Standard Double with Garden View,"₫3,104,056","₫3,104,056","₫3,104,056",SOLD OUT,SOLD OUT,NA
Palm Garden Beach Resort & Spa,Superior giường đôi hoặc 2 giường đơn Hướng vườn (Superior Double or Twin with Garden View),3.550.265₫,6.579.371₫,NA,NA,NA,NA
Boutique Hoi An Resort,Phòng Superior (Superior Room),3.508.673₫,4.500.000₫,4.500.000₫,3.324.273₫,NA,NA
KOI Resort and Spa Hoi An,Bungalow Nhìn ra vườn (Bungalow with Garden View),3.334.124₫,2.496.475₫,2.272.169₫,2.370.638₫,2.489.137₫,2.156.847₫
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),NA,4.006.408₫,3.025.200₫,NA,NA,NA
Shoreline Stay - Hotel,Cao cấp Hướng Bể Bơi (Superior Pool View),2.211.422₫,1.896.024₫,NA,NA,NA,NA
AIRA Boutique Hoi An Hotel & Spa - Hotel,Phòng Loại Sang (Deluxe Room),2.082.995₫,2.059.830₫,2.790.079₫,NA,NA,NA
Sea'lavie Boutique Resort & Spa,Phòng Deluxe Giường đôi Nhìn ra Hồ bơi (Deluxe Double Pool View),NA,NA,NA,NA,NA,NA
