"Display Name","Phone","Email","Mobile","Salesperson","Activities","City","Street","Street2","Country","Company","Occupation","Industry","TA Type","Tax ID","Type","Created on"
"`","","","","","","","","","Vietnam","","","","","","","2024-08-17 11:05:39"
" ","","","","","","","","","Vietnam","","","","","","","2025-11-09 07:05:56"
".","","","","","","","","","","","","","","","","2025-05-27 13:22:05"
"𝑪𝒐̂𝒏𝒈 𝒕𝒚 𝑻𝑵𝑯𝑯 𝑻𝒉𝒖̛𝒐̛𝒏𝒈 𝒎𝒂̣𝒊 𝒗𝒂̀ 𝑫𝒊̣𝒄𝒉 𝒗𝒖̣ 𝑵𝒊𝒄𝒆𝒕𝒓𝒊𝒑","","","","","","","","","","","","","","","","2026-03-26 15:28:59"
"บริษัท ติสคิดให้ จํากัด","","","","","","","","","","","","","","","","2024-03-19 19:21:35"
"0","","","","","","","","","Vietnam","","","","","","","2025-04-14 10:43:51"
"0","","","","","","","","","Vietnam","","","","","","","2025-03-23 15:00:39"
"0","","","","","","","","","Vietnam","","","","","","","2024-12-07 12:02:54"
"001082011785","","","","","","","","","Vietnam","","","","","","","2026-01-26 10:00:52"
"0100775579","","","","","","","","","Vietnam","","","","","","","2025-03-28 19:34:12"
"0101418650","","","","","","","","","Vietnam","","","","","","","2025-09-24 15:48:52"
"0101426813","","","","","","","","","Vietnam","","","","","","","2025-02-27 21:55:57"
"0101601092","","","","","","","","","Vietnam","","","","","","","2026-01-19 15:14:21"
"0101765926","","","","","","","","","Vietnam","","","","","","","2025-10-24 17:38:43"
"0102222629","","","","","","","","","Vietnam","","","","","","","2025-11-07 11:54:40"
"0103921588-001","","","","","","","","","","","","","","","","2025-01-14 09:18:20"
"0104217335","","","","","","","","","Vietnam","","","","","","","2025-03-04 13:28:13"
"0105375648","","","","","","","","","Vietnam","","","","","","","2026-02-27 15:01:06"
"0105690329","","","","","","","","","Vietnam","","","","","","","2026-01-06 08:11:44"
"0106674577","","","","","","","","","","","","","","","","2024-01-20 12:10:36"
"0106999367","","","","","","","","","Vietnam","","","","","","","2024-11-08 15:52:32"
"0107593169 – 001","","","","","","","","","Vietnam","","","","","","","2025-09-03 19:35:51"
"0107679521","","","","","","","","","Vietnam","","","","","","","2025-07-23 13:15:08"
"0108077417","","","","","","","","","Vietnam","","","","","","","2026-01-14 12:14:14"
"0108886908","","","","","","","","","Vietnam","","","","","","","2025-04-06 11:34:19"
"0109041124","","","","","","","","","Vietnam","","","","","","","2025-07-08 16:07:50"
"0109338598","","","","","","","","","Vietnam","","","","","","","2025-12-04 11:43:24"
"0109351768","","","","","","","","","Vietnam","","","","","","","2025-09-11 14:39:48"
"0109760961","","","","","","","","","Vietnam","","","","","","","2025-05-09 19:35:48"
"0109864061","","","","","","","","","","","","","","","","2023-10-28 10:27:33"
"0109956410","","","","","","","","","Vietnam","","","","","","","2024-12-17 22:45:23"
"0110143610","","","","","","","","","Vietnam","","","","","","","2025-08-17 15:07:42"
"0110323733","","","","","","","","","Vietnam","","","","","","","2026-01-03 15:46:52"
"0110355710","","","","","","","","","Vietnam","","","","","","","2026-03-03 18:08:25"
"0110381206","","","","","","","","","Vietnam","","","","","","","2025-10-14 11:48:09"
"0110634753","","","","","","","","","Vietnam","","","","","","","2025-08-13 20:09:54"
"0110691254","","","","","","","","","Vietnam","","","","","","","2025-04-09 17:06:09"
"0110819786","","","","","","","","","Vietnam","","","","","","","2026-03-10 16:48:22"
"0111293922","","","","","","","","","Vietnam","","","","","","","2026-03-31 10:38:54"
"0300687055","","","","","","","","","Vietnam","","","","","","","2025-02-05 15:20:54"
"0300969589","","","","","","","","","Vietnam","","","","","","","2025-12-26 12:11:50"
"0301479499","","","","","","","","","Vietnam","","","","","","","2025-09-09 15:02:29"
"0301479499","","","","","","","","","Vietnam","","","","","","","2025-07-31 10:36:04"
"0302847233","","","","","","","","","Vietnam","","","","","","","2025-11-28 15:21:46"
"0304998358","","","","","","","","","","","","","","","","2024-09-19 09:19:27"
"0305612046","","","","","","","","","Vietnam","","","","","","","2025-06-25 13:51:11"
"0312233105","","","","","","","","","Vietnam","","","","","","","2026-02-13 14:06:58"
"0312821837","","","","","","","","","Vietnam","","","","","","","2025-03-26 13:21:37"
"0313021488","","","","","","","","","Vietnam","","","","","","","2025-01-08 06:35:38"
"0313248400","","","","","","","","","Vietnam","","","","","","","2025-04-12 19:27:26"
"0313265036","","","","","","","","","Vietnam","","","","","","","2025-12-15 13:10:06"
"0313425152","","","","","","","","","Vietnam","","","","","","","2025-12-26 10:03:06"
"0313779867","","","","","","","","","Vietnam","","","","","","","2025-06-10 20:49:36"
"0313837565 ","","","","","","","","","Vietnam","","","","","","","2026-02-11 14:30:33"
"0314039982","","","","","","","","","Vietnam","","","","","","","2025-03-24 16:17:23"
"0314088421","","","","","","","","","Vietnam","","","","","","","2026-03-16 22:27:47"
"0314158051","","","","","","","","","Vietnam","","","","","","","2025-10-14 11:45:29"
"0314948973","","","","","","","","","Vietnam","","","","","","","2026-01-06 19:29:06"
"0316286789","","","","","","","","","Vietnam","","","","","","","2025-10-02 15:38:56"
"0316417470","","","","","","","","","Vietnam","","","","","","","2026-01-13 17:21:13"
"0316690279","","","","","","","","","Vietnam","","","","","","","2025-04-21 18:36:17"
"0317021217","","","","","","","","","Vietnam","","","","","","","2025-12-08 21:46:01"
"0317049727","","","","","","","","","Vietnam","","","","","","","2025-12-11 19:26:28"
"0317443096","","","","","","","","","Vietnam","","","","","","","2024-08-07 06:03:44"
"0318190031","","","","","","","","","","","","","","","","2024-01-21 12:58:38"
"0318401268","","","","","","","","","Vietnam","","","","","","","2025-05-30 09:20:08"
"0318487681","","","","","","","","","Vietnam","","","","","","","2025-01-10 21:15:33"
"0318866376","","","","","","","","","Vietnam","","","","","","","2025-03-11 13:30:53"
"0319293248","","","","","","","","","Vietnam","","","","","","","2026-02-01 17:58:43"
"0319361674","","","","","","","","","Vietnam","","","","","","","2026-04-05 14:40:13"
"0402008244","","","","","","","","","Vietnam","","","","","","","2025-08-27 11:36:11"
"0500283211","","","","","","","","","Vietnam","","","","","","","2025-04-26 11:19:39"
"0500561941","","","","","","","","","Vietnam","","","","","","","2025-11-09 09:06:21"
"082082000502","","","","","","","","","","","","","","","","2024-06-13 21:47:00"
"1","","","","","","","","","","","","","","","","2025-06-10 09:17:13"
"1","","","","","","","","","","","","","","","","2025-06-10 09:16:40"
"1","","","","","","","","","","","","","","","","2025-06-10 09:16:06"
"1","","","","","","","","","","","","","","","","2025-06-10 09:14:56"
"1","","","","","","","","","Vietnam","","","","","","","2025-06-09 18:41:33"
"1","","","","","","","","","","","","","","","","2025-06-09 18:36:51"
"1","","","","","","","","","Vietnam","","","","","","","2025-05-31 14:21:25"
"1","","","","","","","","","Vietnam","","","","","","","2025-05-31 14:20:53"
"1","","linh.ta1207@gmail.com","","","","","Số 29/15 Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","","","","","","","0310061757","","2025-01-04 12:38:26"
"1","","linh.ta1207@gmail.com","","","","","Số 29/15 Đường Nam Kỳ Khởi Nghĩa, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Việt Nam","","","","","","","0310061757","","2025-01-04 12:18:31"
"1","","hatnhaifamily@theantsmedia.com","","","","","42 Đường số 6, Phường Bình Trưng Đông, Thành phố Thủ Đức, Thành phố Hồ Chí Minh Việt Nam","","","","","","","0318523636","","2024-12-29 12:50:43"
"1","","","","","","","","","Vietnam","","","","","","","2024-11-20 09:43:21"
"1","","","","","","","","","Vietnam","","","","","","","2024-11-09 06:31:28"
"1","","","","","","","","","Vietnam","","","","","","","2024-11-09 06:31:26"
"1","","","","","","","","","Vietnam","","","","","","","2024-11-06 10:07:17"
"1","","","","","","","","","Vietnam","","","","","","","2024-10-10 17:50:35"
"1","","","","","","","","","Vietnam","","","","","","","2024-09-03 21:45:35"
"1","","","","","","","","","Vietnam","","","","","","","2024-08-07 13:30:48"
"1","","","","","","","","","Vietnam","","","","","","","2024-06-12 19:15:24"
"1","","","","","","","","","","","","","","","","2023-09-05 16:30:29"
"11","","","","","","","","","","","","","","","","2023-09-05 14:57:06"
"123456","","abc@gmail.com","","","","","20 lê thánh tôn , phường đa kao , quận 1","","","","","","","123456789","","2025-03-17 13:13:27"
"12 TRẦN QUỐC VƯỢNG, DỊCH VỌNG HẬU, CẦU GIẤY,","","","","","","","","","Vietnam","","","","","","","2025-04-15 11:14:27"
"163 COMPANY LIMITED","","brucewaywait@163.com","","","","","0","","","","Tư Vấn Đầu Tư","Tài chính, ngân hàng và bảo hiểm","","KHONG","Corporate","2024-12-04 19:13:11"
"200 Nguyễn Sơn - Phường Bồ Đề - Quận Long Biên - TP. Hà Nội","","","","","","","","","","","","","","","","2024-01-10 20:20:28"
"202 HỒ NGHINH - P.  PHƯỚC MỸ - TP ĐÀ NẴNG","","","","","","","","","","","","","","","","2023-12-14 14:24:42"
"202 HỒ NGHINH - P.  PHƯỚC MỸ - TP. ĐÀ NẴNG","","","","","","","","","","","","","","","","2023-12-14 14:24:27"
"2200823558","","","","","","","","","Vietnam","","","","","","","2026-03-26 23:14:13"
"2301332570","","","","","","","","","Vietnam","","","","","","","2025-10-24 16:25:07"
"2600109933-001 CÔNG TY CỔ PHẦN DAESANG VIETNAM","","","","","","","","","Vietnam","","","","","","","2025-11-23 18:35:34"
"2714350 Ontario Inc.","","","","","","","","","Vietnam","","","","","","","2024-05-22 21:21:25"
"2800824722","","","","","","","47 Nam Sơn, phường Nam Ngạn, TP Thanh Hóa","","","","","","GIT/FIT","2800824722","Travel Agent","2025-08-22 09:50:25"
"302847667","","","","","","","","","Vietnam","","","","","","","2024-10-27 12:30:00"
"30 Kha Vạn Cân, Phường Hiệp Bình Chánh, TP Thủ Đức, TP Hồ Chí Minh, Việt Nam","","","","","","","","","","","","","","","","2023-11-06 20:34:53"
"4200266438","","","","","","","","","Vietnam","","","","","","","2025-04-04 20:59:49"
"4201533100","","","","","","","","","Vietnam","","","","","","","2025-11-24 13:59:57"
"4201533100","","","","","","","","","Vietnam","","","","","","","2025-11-13 14:24:42"
"42 Naturalrubber Co.,Ltd","'+66 61 423 9624","42NaturalRubber@gmail.com","","","","","","","Thailand","","Buôn bán găng tay, gối bằng cao su","Bán buôn và bán lẻ","","","Corporate","2025-05-26 14:54:27"
"4TH JULU LIMITED","","","","","","","","","","","","","","","","2023-10-02 15:34:08"
"79125308","","","","","","","","","","","","","","","","2025-09-18 12:39:03"
"80015146-001","","","","","","","","","Vietnam","","","","","","","2025-06-17 10:28:45"
"8005615146-001","","","","","","","","","Vietnam","","","","","","","2025-06-17 10:29:00"
"aa","","","","","","","","","","","","","","","","2023-10-04 23:17:02"
"AAB Viet Nam Co., Ltd.","","","","","","","","","Vietnam","","","","","","","2025-03-26 17:53:05"
"AACE STAR PTE. LTD.","","","","","","","","","Vietnam","","","","","","","2026-03-16 09:34:58"
"AACE STAR PTE.LTD.","","","","","","","","","Vietnam","","","","","","","2026-03-16 23:17:19"
"abb merchant banking jsc","","","","","","","","","Vietnam","","","","","","","2024-07-05 13:57:49"
"ABB MERCHANT BANKING JSC","","","","","","","","","Vietnam","","","","","","","2024-07-05 13:59:14"
"ABB VIETNAM","","hao.doanduc@vn.abb.com","","","","","Tầng 19, Tòa nhà Friendship, Số 31 Đường Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","","","","Sản xuất mô tơ, máy phát, biến thế điện, thiết bị phân phối và điều khiển điện","Sản xuất và bán buôn máy móc thiết bị","","0315752109","Corporate","2024-04-04 10:48:08"
"abc","","","","","","","","","Vietnam","","","","","","","2025-04-17 15:58:34"
"abcde","","euiwqheqw@3321.csa","","","","","231 jdas","","","","","","","0093218391","","2025-09-03 15:47:46"
"abcx","","cerhcbh@gmail.com","","","","","17 le thanh tion","","","","","","","0123456789","","2025-03-02 15:55:51"
"ABCZ","","HUJNJ@GMAIL.COM","","","","","258 LE THANH TON","","","","","","","0785489559","","2025-01-14 16:17:52"
"A BY TUNG RESTAURANT COMANY LIMITED","","","","","","","","","","","","","","","","2024-03-12 13:48:19"
"ACER INCORPORATED","","amy.nguyen@acer.com","","","","","8F., No. 88, Sec. 1,Xintai 5th Road, Xizhi District, New Taipei City 221421, Taiwan (R.O.C.)","","","","Thiết bị điện tử","Sản xuất và bán buôn đồ điện tử","","KHONG","Corporate","2025-04-28 15:29:45"
"ACTRON POWER GMBH","","","","","","","","","Vietnam","","","","","","","2025-11-12 20:30:18"
"a đây rồi","","","","","","","","","Vietnam","","","","","","","2025-03-10 11:17:57"
"ADDY DESIGN CONSULTANT SDN BHD","","angelene.adc@gmail.com","","","","","","","","","Thiết kế nội thất","Xây dựng","","KHONG","Corporate","2024-10-28 11:28:40"
"Adisseo Asia Pacific Pte Ltd","","eilin.ooi@adisseo.com","","","","","Hong Leong Building  16 Raffles Quay, #20-05  Singapore 048581","","","","Sản xuất thức ăn chăn nuôi","Nông nghiệp","","KHONG","Corporate","2025-08-19 18:00:44"
"ADV MOTOCYCLE TOUR","","diepnguyen.dirtbiketravel@gmail.com","","","","",".","","","","","","GIT/FIT","KHONG","Travel Agent","2024-12-11 14:18:48"
"AETNA GROUP JOINT STOCK COMPANY","","","","","","","","","Vietnam","","","","","","","2024-06-12 09:40:05"
"AGODA INTERNATIONAL VIETNAM COMPANY LIMITED","Caonguyen271@gmail.com","","","","","","Phòng L11-09, Lầu 11, Vincom Center, số 72 đường Lê Thánh Tôn và 45A đường Lý Tự Trọng, Phường Bến Nghé, Quận 1,  Thành phố Hồ Chí Minh, Việt Nam","","","","","","","0314293082","","2024-10-29 11:03:11"
"Agribank chi nhánh Sở giao dịch","","","","","","","","","Vietnam","","","","","","","2024-08-22 17:30:10"
"Agribank CN Phú Nhuận","","","","","","","","","Vietnam","","","","","","","2026-03-24 17:39:37"
"Ai Hospitality","","KHONG","","","","","KHONG","","","","","Y tế","","KHONG","Corporate","2025-08-13 09:34:46"
"Aiko Solar","","","","","","","0","","","","Sản xuất pin năng lượng mặt trời","Sản xuất và khai thác năng lượng, nhiên liệu","","KHONG","Corporate","2024-12-08 08:50:00"
"AKTrade","","","","","","","0","","","","Bán buôn đồ dùng khác cho gia đình","Bán buôn và bán lẻ","","KHONG","Corporate","2024-08-27 17:40:36"
"Akzo Nobel powder coating India Pvt limited","","Rohit.KR1@akzonobel.com","","","","","Building No./Flat No.: PLOT NO GAE-1 & GAF-1 GAF-2 Name Of Premises/Building: C/o Akzo Nobel India Ltd Road/Street: Ghirongi Malanpur Locality/Sub Locality: Gwalior City/Town/Village: Industrial Area Malanpur District: Bhind, Madhya Pradesh ,477117","","","","","","","","Corporate","2026-03-25 18:34:06"
"ALADING","","","","","","","","","Vietnam","","","","","","","2024-05-28 23:22:38"
"ALADING TOURISM TECHNOLOGY CO., LTD","","","","","","","","","","","Trung Quốc","","GIT/FIT","","Travel Agent","2024-03-21 10:39:53"
"ALEHAP VN","","","","","","","","","Vietnam","","","","","","","2025-12-30 14:00:03"
"ALERON VIET NAM FOOTWEAR LIMITED","","","","","","","","","","","","","","","","2023-10-11 18:43:10"
"Alfred Kärcher SE & Co. KG","","ml-vn30-fin@karcher.com;vy.tran@karcher.com","","","","","Alfred-Kärcher-Strasse 28-40 71364 Winnenden / Germany","","","","","Công nghệ thông tin","","KHONG","Corporate","2026-02-23 13:40:12"
"ALIPAY MERCHANT SERVICES PTE.","","","","","","","","","Vietnam","","","","","","","2024-11-13 11:00:20"
