"Display Name","Phone","Email","Mobile","Agent","Salesperson","Activities","City","Street","Street2","Country","Company","Created on","Is B2B Landing Page"
"0108617038","","","","","","","","","","Vietnam","","2026-04-29 10:09:55",""
"0110846934","","","","","","","","","","Vietnam","","2026-05-04 10:42:00",""
"AIDE ET ACTION","","livelihood.intern@action-education.org","","Nguyễn Trí","","","","Tầng 2, tòa nhà Tổng Công ty Tư vấn Xây dựng Việt Nam, 183 Huỳnh Thúc Kháng, phường Láng, Hà Nội","","","","2026-05-05 16:30:05",""
"BANH MI DEE PTY LTD","","","","","","","","","","Vietnam","","2026-05-03 06:03:28",""
"Bệnh Viện Phụ Sản Thành Phố Cần Thơ","","","","","","","","","","Vietnam","","2026-05-05 18:06:44",""
"CHI NHÁNH CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC - BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC CENTRA","","","","","","","","","","Vietnam","","2026-05-03 17:47:49",""
"CHI NHÁNH CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC - BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC CENTRAL PARK","","","","","","","","","","Vietnam","","2026-05-03 17:48:43",""
"CHI NHÁNH CÔNG TY CỔ PHẦN BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC - BỆNH VIỆN ĐA KHOA QUỐC TẾ VINMEC CENTRAL PARK","","","","","","","","","","Vietnam","","2026-05-03 17:48:04",""
"CHI NHÁNH CÔNG TY TNHH DKSH VIỆT NAM TẠI HÀ NỘI","","","","","","","","Tầng 16, tòa nhà PeakView Tower, 36 Phố Hoàng Cầu, Phường Ô Chợ Dừa,Thành phố Hà Nội, Việt Nam","","","","2026-04-29 11:42:31",""
"CHI NHÁNH CÔNG TY TNHH YAZAWA MEAT VIỆT NAM TẠI HÀ NỘI","","","","","","","","","","Vietnam","","2026-05-02 13:02:37",""
"CHI NHÁNH NHA TRANG - CÔNG TY CỔ PHẦN VEGA CITY","","","","","","","","","","Vietnam","","2026-05-05 14:00:07",""
"CÔNG TY CỔ PHẦN CASHION","","Myduyen29995@gmail.com","","Đoàn Ngọc Bảo Châu","","","","P.702A Tầng 7, Tòa nhà Centre Point, 106 Nguyễn Văn Trỗi, Phường Phú Nhuận, TP. Hồ Chí Minh, Việt Nam","","","","2026-05-01 09:43:22",""
"CÔNG TY CỔ PHẦN CHỨNG KHOÁN BIDV","","","","","","","","","","","","2026-05-05 18:47:50",""
"CÔNG TY CỔ PHẦN ĐẦU TƯ K&G VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-05 20:50:19",""
"CÔNG TY CỔ PHẦN ĐẦU TƯ SYNERGY NHA TRANG","","Han.Tran@westin.com","","Nguyễn Trí","","","","Lô D14a, Thửa đất số 205, Tờ bản đồ số 58, Khu du lịch Bắc bán đảo Cam Ranh, Xã Cam Lâm, Khánh Hòa, Việt Nam","","","","2026-05-05 14:56:59",""
"CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN VISION","","","","","","","","","","Vietnam","","2026-05-06 10:17:00",""
"CÔNG TY CỔ PHẦN ĐỊA ỐC TAMI","","","","","","","","","","Vietnam","","2026-05-04 17:52:14",""
"CÔNG TY CỔ PHẦN ĐỊA ỐC TAMI","","","","","","","","","","Vietnam","","2026-05-04 17:37:41",""
"CÔNG TY CỔ PHẦN ĐỊA ỐC TAMI","","","","","","","","","","Vietnam","","2026-05-04 15:24:05",""
"Công Ty Cổ Phần Dịch Vụ Du Lịch Bến Thành","","","","","","","","","","Vietnam","","2026-05-05 13:29:31",""
"Công Ty Cổ Phần Dịch Vụ Du Lịch Bến Thành","","","","","","","","","","Vietnam","","2026-04-29 17:07:15",""
"CÔNG TY CỔ PHẦN DỊCH VỤ TRIỂN LÃM KINH KỲ","","","","","","","","","","Vietnam","","2026-05-03 18:58:33",""
"CÔNG TY CỔ PHẦN DỊCH VỤ TRIỂN LÃM KINH KỲ","","","","","","","","","","Vietnam","","2026-05-03 18:45:08",""
"CÔNG TY CỔ PHẦN ĐÔNG HẢI BẾN TRE","","Giapvo@dohacobentre.com","","","","","","Lô AIII, Khu công nghiệp Giao Long, Xã Giao Long, Tỉnh Vĩnh Long, Việt Nam","","","","2026-05-05 12:53:42",""
"CÔNG TY CỔ PHẦN ĐỒNG THUẬN HÀ","","","","","","","","","","Vietnam","","2026-04-30 21:30:47",""
"Công ty cổ phần du lịch khám phá Việt Nam","","ketoanvnb@vietnamdiscovery.com;operation03@vietnamdiscovery.com","","Phúc Ngô","","","","Tầng 23, Tòa nhà TASCO, Lô HH2-2, Đường Phạm Hùng, Phường Từ Liêm, Thành phố Hà Nội, Việt Nam","","","","2026-05-04 11:30:54",""
"CÔNG TY CỔ PHẦN DU LỊCH VÀ GIÁO DỤC SUN GROUPS","","hoadonsungroupstravel@gmail.com","","Phúc Ngô","","","","Số 808 Thiên Lôi, Phường Lê Chân, Thành Phố Hải Phòng, Việt Nam","","Vietnam","","2026-04-30 16:55:07",""
"CÔNG TY CỔ PHẦN GAMOTA","","","","","","","","","","","","2026-04-29 16:46:49",""
"CÔNG TY CỔ PHẦN GIẢI PHÁP TRUYỀN THÔNG VÀ SÁNG TẠO TỔNG THỂ RIO VIỆT NAM","","","","","","","","","","Vietnam","","2026-05-04 07:46:59",""
"CÔNG TY CỔ PHẦN GIÁO DỤC GERMAN LINK","","","","","","","","","","","","2026-05-05 16:32:50",""
"Công Ty Cổ Phần Hàng Không Pacific Airlines","","","","","","","","112 Hồng Hà, Phường Tân Sơn Hòa, Thành phố Hồ Chí Minh, Việt Nam","","","","2026-05-02 15:42:15",""
" CÔNG TY CỔ PHẦN HPTEK GLOBAL","","","","","","","","","","Vietnam","","2026-05-05 09:48:18",""
"CÔNG TY CỔ PHẦN JET DENTIST","","ketoan.jetdentist@gmail.com","","Nguyễn Trí","","","","Tầng 2, Shophouse SB01-SP25-15, Vinhomes Ocean Park, Xã Gia Lâm, TP Hà Nội, Việt Nam","","","","2026-04-29 11:56:06",""
"Công Ty Cổ Phần Lữ Hành Vietluxtour","","","","","","","","","","Vietnam","","2026-04-29 11:37:42",""
"CÔNG TY CỔ PHẦN MUSE FILMS","","oanhchiukoo@gmail.com","","","","","","31 Lê Duẩn , Phường Sài Gòn , TP Hồ Chí Minh","","","","2026-05-04 10:26:44",""
"CÔNG TY CỔ PHẦN NỘI THẤT NEM","","","","","","","","","","Vietnam","","2026-05-05 15:32:55",""
"Công ty cổ phần nos.scents","","","","","","","","","","Vietnam","","2026-05-05 07:33:06",""
"CÔNG TY CỔ PHẦN OPENVIEW SERVICE VN","","","","","","","","","","Vietnam","","2026-05-02 09:19:14",""
"CÔNG TY CỔ PHẦN PICO RETAIL","","","","","","","","","","","","2026-04-29 17:52:08",""
"CÔNG TY CỔ PHẦN PONTECH","","","","","","","","","","Vietnam","","2026-04-29 08:26:48",""
"Công ty cổ phần Quốc tế Lavita","","","","","","","","","","Vietnam","","2026-04-29 12:28:20",""
"CÔNG TY CỔ PHẦN RIKKEI DIGITAL ","","","","","","","","","","Vietnam","","2026-05-05 14:52:44",""
"CÔNG TY CỔ PHẦN SAM CHEM QUẢ CẦU","","","","","","","","","","Vietnam","","2026-05-05 17:36:40",""
"CÔNG TY CỔ PHẦN SOCIAL ELITE","","","","","","","","","","","","2026-05-05 16:03:30",""
"CÔNG TY CỔ PHẦN SOCIAL ELITE","","","","","","","","","","Vietnam","","2026-05-05 16:03:19",""
"CÔNG TY CỔ PHẦN TÂN CẢNG 128 - HẢI PHÒNG","","","","","","","","","","Vietnam","","2026-04-29 11:07:29",""
"CÔNG TY CỔ PHẦN THẨM ĐỊNH GIÁ VN CONTROL","","","","","","","","","","Vietnam","","2026-05-05 11:55:07",""
