Hotel,URL,Room to be extracted
Hilton Da Nang,https://www.agoda.com/hilton-da-nang_6/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=7ba081ba-40f3-4f97-ae68-98a127f25906,King Accessible Room
Hilton Garden Inn,https://www.agoda.com/hilton-garden-inn-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f6c93c56-cdf7-4d09-8609-6395a9daac4c&ds=LxaZ4GK%2FBx7rq6OP&checkin=2025-07-09,King Guest Room
Hyatt Regency Danang Resort And Spa,https://www.agoda.com/hyatt-regency-danang-resort-and-spa/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=a3ac9f9f-ebd2-43d8-b568-0a2e05ba734b&ds=k1Qw7BnT0zuXtSP0&checkin=2025-12-26,2 Twin Beds
M Hotel Da Nang,https://www.agoda.com/m-hotel-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b5ed4462-e694-490d-bf48-f5a13eca6a3f&ds=pkUtDzTOXUrRC6rN&checkin=2025-06-23,Deluxe Double City View
Muong Thanh Luxury Song Han Hotel,https://agoda.com/oneopera-danang-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-21&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=9cbfa51f-553b-430b-94ef-c7fb09d2d50f,Superior Twin City View
Nesta Hotel Da Nang,https://www.agoda.com/nesta-hotel-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=06c6b7b7-9827-4130-8f39-d0d2393d16b6&ds=gGhXZL9PHQBVUBgD,Superior Double Garden View
New Orient Da Nang,https://www.agoda.com/new-orient-hotel-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-24&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=bbef5a47-5eb6-4828-bcea-bd6036f7e47b&ds=vi7iH7%2BI071DBgyJ,Superior Double or Twin Room without View
Pariat River Front Hotel Da Nang,https://www.agoda.com/pariat-hotel-danang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=3&los=1&searchrequestid=69e59df0-83b2-49e5-92a9-70f746bc46b7,Standard Double
Pullman Danang Beach Resort,https://www.agoda.com/pullman-danang-beach-resort/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ff9fde3d-a39d-4fe3-939d-d4650627e16c&ds=k1Qw7BnT0zuXtSP0,Deluxe 2 Single Beds with Balcony
radison red,https://www.agoda.com/radisson-red-danang/hotel/ubon-ratchathani-th.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=22a4716e-ae30-4ef0-b9a4-a3211a049901&ds=KVpBPN4fJR0hNKLf&checkin=2025-05-30,Superior Room
