hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Vanda Hotel,Superior Double City View,"₫ 1,104,309","₫ 1,104,309","₫ 1,104,309","₫ 1,104,309","1,785,714",1.785.714
Muong Thanh Luxury Song Han Hotel,Superior Twin City View,"₫ 732,403","1,370,882","1,370,882",1.515.185,732.403₫,"₫ 732,403"
Novotel,"Superior Room, balcony with Han river view - 2 single beds","2,400,000",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,"3,450,000"
New Orient Da Nang,Superior Double or Twin Room without View,"₫ 1,039,802","₫ 1,039,802","1,120,370",1.642.593,"1,642,593","1,642,593"
radison red,Superior Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Crowne Plaza Danang City Centre,Standard Room,SOLD OUT,"2,238,020","2,606,635","2,738,283",SOLD OUT,"2,343,339"
M Hotel Da Nang,Phòng Loại Sang Hai Giường Đơn Hướng Thành Phố Có Bồn Tắm (Deluxe Twin Room City View with Bathtub),3.003.327,"₫ 2,385,027",2.866.387,"₫ 2,385,027","2,928,468","₫ 2,385,027"
sel de mer,Superior Twin City View,SOLD OUT,"2,222,222","2,222,222",SOLD OUT,"2,063,492","2,063,492"
Hilton Da Nang,King Accessible Room,SOLD OUT,SOLD OUT,"₫ 2,311,304","3,400,000","₫ 2,316,570",SOLD OUT
G8 Luxury,Superior Double Room,"783,069","₫ 686,765","783,069","783,069","1,174,603","1,076,048"
Grand Tourane Hotel,Deluxe hướng thành phố (City Deluxe),1.551.429,"1,575,175",NA,NA,NA,NA
voco Ma Belle,Deluxe Room,NA,NA,NA,NA,NA,NA
Furama Villas Danang-4-Bedroom Beachfront Villa with Private Pool,4-Bedroom Beachfront Villa with Private Pool,"₫ 58,095,928","₫ 58,095,928",NA,NA,NA,NA
Furama Villas Danang-2 Bedroom Pool Villa,2 Bedroom Pool Villa,"9,312,131",NA,NA,NA,NA,NA
Furama Villas Danang-3 Bedroom Pool Villa,3 Bedroom Pool Villa,"₫ 12,940,583","₫ 12,940,583",NA,NA,NA,NA
A La Carte,1-Bedroom City View Twin Studio,NA,NA,NA,NA,NA,NA
