hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Goldient Boutique Hotel DaLat - Suite Junior Có Ban Công (Junior Suite with Balcony),Suite Junior Có Ban Công (Junior Suite with Balcony),NA,NA,NA,NA,NA,NA
Ban la - Phòng Giường Đôi Lớn Loại Sang (Deluxe Queen Room),Phòng Giường Đôi Lớn Loại Sang (Deluxe Queen Room),1.782.511,1.782.511,1.782.511,1.782.511,1.782.511,1.782.511
Ban la - Phòng Superior giường đôi lớn (Superior Queen Room),Phòng Superior giường đôi lớn (Superior Queen Room),1.477.078,1.477.078,1.477.078,1.477.078,1.477.078,1.477.078
Ban la - Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),1.263.111,1.263.111,1.263.111,1.263.111,1.263.111,1.263.111
Ban la - Phòng Thương Hiệu (Signature Room),Phòng Thương Hiệu (Signature Room),1.644.080,1.694.747,1.860.009,1.860.009,1.860.009,1.860.009
Ban la - Phòng Hạng Sang Giường Đôi (Elite Double Room),Phòng Hạng Sang Giường Đôi (Elite Double Room),1.829.821,1.694.747,1.560.470₫,1.724.507,1.860.009,1.860.009
Ban la - Phòng Deluxe Giường Đôi Có Bồn Tắm (Deluxe Double Room with Bath),Phòng Deluxe Giường Đôi Có Bồn Tắm (Deluxe Double Room with Bath),NA,NA,NA,1.914.811,1.914.811,1.914.811
Ban la - Phòng có giường cỡ King nhìn ra cảnh núi non (King Room with Mountain View),Phòng có giường cỡ King nhìn ra cảnh núi non (King Room with Mountain View),NA,NA,NA,NA,NA,NA
Ban la - Phòng Suite Hướng núi (Suite Mountain View),Phòng Suite Hướng núi (Suite Mountain View),2.030.342,2.073.986,2.268.386,2.268.386,2.268.386,2.268.386
Goldient Boutique Hotel DaLat - Phòng Corner giường đôi - Không hút thuốc (Corner Double Room - Non-Smoking),Phòng Corner giường đôi - Không hút thuốc (Corner Double Room - Non-Smoking),1.471.168,1.471.437,1.390.397,1.472.634,1.378.429,1.472.036
Goldient Boutique Hotel DaLat - Suite Executive có Ban công (Executive Suite with Balcony),Suite Executive có Ban công (Executive Suite with Balcony),2.270.373,2.830.552,2.753.334,1.664.692₫,2.728.557,2.855.305
Goldient Boutique Hotel DaLat - Căn hộ sang trọng (Luxury Apartment),Căn hộ sang trọng (Luxury Apartment),3.017.382,3.023.541,2.941.182,3.076.394,2.914.734,3.049.928
Goldient Boutique Hotel DaLat - Phòng Loại Sang Hướng Bể Bơi (Deluxe Pool View),Phòng Loại Sang Hướng Bể Bơi (Deluxe Pool View),957.960₫,1.458.253,1.452.412,1.484.503,1.439.287,1.471.378
Goldient Boutique Hotel DaLat - Phòng Cao Cấp Cho Hai Người (Superior Double Room),Phòng Cao Cấp Cho Hai Người (Superior Double Room),881.385₫,1.471.437,881.385₫,881.385₫,1.378.429,1.472.036
Goldient Boutique Hotel DaLat - Phòng Deluxe 2 Giường Đơn Có Ban Công (Deluxe Twin with Balcony),Phòng Deluxe 2 Giường Đơn Có Ban Công (Deluxe Twin with Balcony),1.166.329,1.458.253,1.452.412,1.484.503,1.439.287,1.471.378
Goldient Boutique Hotel DaLat - Phòng Deluxe 3 người có ban công (Deluxe Triple Room with balcony),Phòng Deluxe 3 người có ban công (Deluxe Triple Room with balcony),1.962.234,1.969.954,1.590.311₫,2.004.456,1.901.900,1.987.205
Goldient Boutique Hotel DaLat - Phòng Premium Giường đôi (Premium Double Room),Phòng Premium Giường đôi (Premium Double Room),1.286.826,1.644.190,1.601.651,1.673.079,1.587.207,1.658.635
Goldient Boutique Hotel DaLat - Phòng Deluxe Giường Đôi với Ban công (Deluxe Double with Balcony),Phòng Deluxe Giường Đôi với Ban công (Deluxe Double with Balcony),1.166.329,1.458.253,1.452.412,1.484.503,1.439.287,1.471.378
Goldient Boutique Hotel DaLat - Phòng Superior 2 giường (Superior Twin Room),Phòng Superior 2 giường (Superior Twin Room),908.373₫,1.471.437,1.390.397,1.472.634,1.378.429,1.472.036
Ban la - Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),1.156.061,1.315.829,1.315.829,1.315.829,1.315.829,1.315.829
Ban la - Phòng Loại Sang Giường Đôi Có Ban Công Và Bồn Tắm (Deluxe Double Room with Balcony and Bathtub),Phòng Loại Sang Giường Đôi Có Ban Công Và Bồn Tắm (Deluxe Double Room with Balcony and Bathtub),1.254.204,1.157.846₫,1.424.471,1.424.471,1.424.471,1.424.471
Ban la - Attic Deluxe Room (Attic Deluxe Room),Attic Deluxe Room (Attic Deluxe Room),1.401.831,1.587.919,1.587.919,1.587.919,1.587.919,1.587.919
Ban la - Phòng Executive giường đôi (Executive Double Room),Phòng Executive giường đôi (Executive Double Room),2.792.040₫,1.705.776,2.792.040₫,1.705.776,1.705.776,1.705.776
Ban la - Phòng cổ điển giường đôi (Classic Double Room),Phòng cổ điển giường đôi (Classic Double Room),1.125.220,1.125.220,934.483₫,1.125.220,1.125.220,1.125.220
Ban la - Deluxe giường đôi có cửa sổ (Deluxe Double with Window),Deluxe giường đôi có cửa sổ (Deluxe Double with Window),1.315.829,1.315.829,1.315.829,1.315.829,1.315.829,1.315.829
