Hotel,URL,Room to be extracted
Goldient Boutique Hotel DaLat - Phòng Loại Sang Hướng Bể Bơi (Deluxe Pool View),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Loại Sang Hướng Bể Bơi (Deluxe Pool View)
Goldient Boutique Hotel DaLat - Phòng Corner giường đôi - Không hút thuốc (Corner Double Room - Non-Smoking),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Corner giường đôi - Không hút thuốc (Corner Double Room - Non-Smoking)
Goldient Boutique Hotel DaLat - Phòng Deluxe 2 Giường Đơn Có Ban Công (Deluxe Twin with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Deluxe 2 Giường Đơn Có Ban Công (Deluxe Twin with Balcony)
Goldient Boutique Hotel DaLat - Phòng Deluxe Giường Đôi với Ban công (Deluxe Double with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Deluxe Giường Đôi với Ban công (Deluxe Double with Balcony)
Goldient Boutique Hotel DaLat - Phòng Premium Giường đôi (Premium Double Room),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Premium Giường đôi (Premium Double Room)
Goldient Boutique Hotel DaLat - Phòng Deluxe 3 người có ban công (Deluxe Triple Room with balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Deluxe 3 người có ban công (Deluxe Triple Room with balcony)
Goldient Boutique Hotel DaLat - Suite Junior Có Ban Công (Junior Suite with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Suite Junior Có Ban Công (Junior Suite with Balcony)
Goldient Boutique Hotel DaLat - Suite Executive có Ban công (Executive Suite with Balcony),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Suite Executive có Ban công (Executive Suite with Balcony)
Goldient Boutique Hotel DaLat - Căn hộ sang trọng (Luxury Apartment),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Căn hộ sang trọng (Luxury Apartment)
Goldient Boutique Hotel DaLat - Phòng Superior 2 giường (Superior Twin Room),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Superior 2 giường (Superior Twin Room)
Goldient Boutique Hotel DaLat - Phòng Cao Cấp Cho Hai Người (Superior Double Room),https://www.agoda.com/vi-vn/goldient-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-09-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=abd1be47-454f-4a8b-841b-cac20314b2b9&ds=d59EImkRc6VcT8ii,Phòng Cao Cấp Cho Hai Người (Superior Double Room)
Ban la - Phòng cổ điển giường đôi (Classic Double Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng cổ điển giường đôi (Classic Double Room)
Ban la - Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room)
Ban la - Deluxe giường đôi có cửa sổ (Deluxe Double with Window),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Deluxe giường đôi có cửa sổ (Deluxe Double with Window)
Ban la - Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room)
Ban la - Phòng Superior giường đôi lớn (Superior Queen Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Superior giường đôi lớn (Superior Queen Room)
Ban la - Phòng Loại Sang Giường Đôi Có Ban Công Và Bồn Tắm (Deluxe Double Room with Balcony and Bathtub),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Loại Sang Giường Đôi Có Ban Công Và Bồn Tắm (Deluxe Double Room with Balcony and Bathtub)
Ban la - Attic Deluxe Room (Attic Deluxe Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Attic Deluxe Room (Attic Deluxe Room)
Ban la - Phòng Giường Đôi Lớn Loại Sang (Deluxe Queen Room),https://www.agoda.com/vi-vn/banla-boutique-hotel/hotel/khu-chi-lang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-08-29&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=440c88e0-37a6-42d1-b6cc-96d9c980289a&ds=K%2FKOTSBH0mqAPcyN,Phòng Giường Đôi Lớn Loại Sang (Deluxe Queen Room)
