hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Fusion Resort-3 bedroom villa,Three Bedroom Presidential Plunge Pool Loft - Spa Inclusive,SOLD OUT,SOLD OUT,"24,817,124",SOLD OUT,SOLD OUT,SOLD OUT
TMS Hotel Da Nang Beach,Premier City View Twin Room with Balcony and Spa Included,"2,360,858","2,419,577","2,257,991",SOLD OUT,"2,608,303",SOLD OUT
SALA DANANG BEACH HOTEL,Superior Double City View,"2,188,681","2,035,164","2,368,922",2.643.751,"2,374,445","2,644,201"
Rosamia Da Nang Hotel,Grand Deluxe Double,"₫ 1,849,631",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Hyatt Regency Danang Resort And Spa,2 Twin Beds,"4,680,000",4.050.000,"4,230,000","4,140,000","4,410,000",SOLD OUT
Fusion Resort-4 bedroom villa,Four Bedroom Premium Villa with Private Pool - Spa Inclusive,"35,607,479","35,606,889",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Shilla Monogram Danang,Superior Partial Ocean View Twin Room,"3,712,782","3,913,045","4,688,251","2,039",SOLD OUT,"3,907,375"
Fusion Resort-5 bedroom villa,Five Bedroom Premium Beachfront Villa with Private Pool - Spa Inclusive,"50,835,286",SOLD OUT,SOLD OUT,SOLD OUT,50.818.802,SOLD OUT
Golden Lotus Grand Da Nang,Superior City View Room - Afternoon Tea Included,"1,597,707","1,883,769","1,724,609","3,031,876","2,301,204","2,097,556"
Sheraton Grand Danang Beach Resort & Spa,"Guest room, 2 Twin, Bay view","3,800,000",SOLD OUT,"3,900,000","3,900,000","3,900,000","4,000,000"
Signature Lê Thánh Tôn,Deluxe City View Twin Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Melia Vinpearl,Deluxe Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Express VVK,Standard Room without Window,SOLD OUT,SOLD OUT,NA,SOLD OUT,SOLD OUT,SOLD OUT
Potique Hotel,Classic Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
InterContinental,2 Single Classic City View,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
M Village Tao Đàn,Superior Room,SOLD OUT,NA,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Nesta Hotel Da Nang,Superior Double Garden View,"₫ 1,327,974","1,825,009",SOLD OUT,SOLD OUT,"1,891,941",SOLD OUT
Vinpearl Resort,Deluxe Twin Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,NA
Mường Thanh,Deluxe Double City View,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Sheraton,"Guest room, 2 Twin, Ocean view",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
MV TTĐ,Deluxe Room Twin,"2,253,740",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
MV TTĐ,Deluxe Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
MV Tôn Thất Đạm,Standard Room without Window,NA,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
