hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Silverland May,Narra Double,"₫4,746,649",NA,NA,NA,NA,NA
Silverland May,Narra Twin - No Window,"₫4,181,313","₫4,697,707","₫4,505,114","₫4,402,887","₫4,110,052",NA
Amanaki,Signature Twin Room,"₫3,490,269","₫3,419,946","₫3,318,619","₫2,813,315","₫3,176,124","₫2,558,927"
Au Lac Charner,Ruffier Deluxe Twin Room without Window,"₫4,615,068","₫2,803,577","₫2,803,577","₫2,765,873","₫2,765,873",NA
M Hotel,Zen Corner,NA,NA,NA,NA,NA,NA
Au Lac Charner,Vannier Premier Twin Room,"₫3,251,735","₫3,495,757","₫3,495,757","₫5,320,902","₫5,320,902","₫5,320,902"
Silverland Ben Thanh_Sunshine Garden - Double or Twin,Sunshine Garden - Double or Twin,"₫4,963,492","₫4,852,477","₫4,854,320","₫4,528,009","₫4,666,666","₫4,576,437"
Wink,1 Queen Bed,"₫3,150,000","₫2,200,000","₫2,120,000","₫2,080,000","₫2,080,000","₫2,080,000"
Amanaki,Signature Double Room,"₫3,911,562",NA,NA,NA,NA,NA
Silverland Ben Thanh_Spring Field - No Window,Spring Field - No Window,NA,NA,NA,NA,NA,NA
