hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Silverland May,Narra Twin - No Window,"3,362,962","3,545,443","3,352,195","3,405,364","3,159,263","3,212,151"
Wink,1 Queen Bed,"2,350,000","1,700,000","1,650,000","2,050,000","2,000,000","2,000,000"
Wink,2 Twin Beds,"2,350,000","1,700,000","1,650,000","2,050,000","₫ 1,958,706","2,000,000"
Amanaki,Signature Double Room,"3,548,736","3,081,111","3,073,285","2,770,569","2,751,632","2,770,569"
Amanaki,Signature Twin Room,"3,587,310","3,081,111","3,073,285","2,770,569","2,751,632","2,770,569"
Silverland Ben Thanh_Spring Field - No Window,Spring Field - No Window,"2,346,889","3,612,135","3,655,335","₫ 2,673,556","3,098,884","3,103,364"
Silverland May,Narra Double,"₫ 2,517,992","3,545,443","3,352,195","3,405,364","3,159,263","3,212,151"
Au Lac Charner,Ruffier Deluxe Twin Room without Window,"2,589,925","2,630,952","₫ 2,180,972","2,367,857","2,325,778","2,367,857"
Silverland Ben Thanh_Sunshine Garden - Double or Twin,Sunshine Garden - Double or Twin,"3,819,205","3,890,242","3,944,891","3,476,457","3,378,674","3,375,141"
Au Lac Charner,Vannier Premier Twin Room,"2,688,640","2,730,000","2,668,540","2,457,000","2,414,579","2,457,000"
Hato,Premium Twin Room - Non-Smoking,1.683.118₫,"₫ 1,683,562","1,638,484","1,669,347","1,638,504","1,923,581"
Sol An Bang Beach Resort & Spa,Deluxe Room,"1,938,525","1,994,550","1,934,880","1,894,337","1,855,170","1,922,030"
Dechiu Hotel - Hotel,Double Room with Sea View,"₫ 3,918,290","4,582,996","4,525,243","4,582,996","4,525,243","₫ 3,918,290"
Hato,Deluxe Double No Window,"1,215,915","1,433,007",SOLD OUT,"1,344,271","1,447,938","1,340,509"
La Siesta Hoi An Resort & Spa 1,Classic Wing Deluxe Room,"2,684,519","2,637,701","3,283,271","3,285,911","2,433,036","2,413,188"
M Hotel,Zen Corner,"3,396,552","2,657,818","2,769,084","₫ 2,356,942","₫ 2,356,322","₫ 2,356,942"
Moire Hoi An Vignette Collection By IHG,1 King Deluxe,"6,580,679","6,580,679","6,185,838","6,712,293","3,685,180","3,922,085"
Dechiu Hotel 1 - Hotel,Double Room with Queen Bed - Non-Smoking,"3,692,235","3,692,235","3,660,863","4,125,713",3.660.863,"3,692,235"
The Signature Hoi An,Signature Lantern Room,"₫ 1,917,237","2,273,111","2,206,795","2,209,379","1,919,425","1,980,302"
La Siesta Hoi An Resort & Spa,Club Wing Junior Suite with Balcony,3.852.656,3.888.200,"4,145,919","₫ 3,836,888","3,810,780","3,802,983"
