hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Wink,2 Twin Beds,"₫ 2,149,631","₫ 2,100,000","₫ 2,100,000","₫ 2,050,000","₫ 2,000,000","₫ 2,050,000"
Silverland Ben Thanh_Sunshine Garden - Double or Twin,Sunshine Garden - Double or Twin,"₫ 4,519,409","₫ 4,305,919","₫ 4,159,573","₫ 4,165,538","₫ 4,299,703","₫ 3,520,786"
Au Lac Charner,Ruffier Deluxe Twin Room without Window,"₫ 2,756,119","₫ 2,671,733","₫ 2,198,806","₫ 2,630,952","₫ 2,198,806","₫ 2,367,857"
Au Lac Charner,Vannier Premier Twin Room,"₫ 3,177,419","₫ 3,085,334","₫ 3,111,111","₫ 2,730,000","₫ 2,730,000","₫ 2,457,000"
Silverland May,Narra Double,"₫ 3,551,562","₫ 3,507,714","₫ 2,679,795","₫ 3,335,175","₫ 3,244,199","₫ 3,037,546"
Amanaki,Signature Twin Room,"₫ 3,000,527","₫ 3,634,700","₫ 3,644,360","₫ 3,636,473","₫ 3,645,800","₫ 2,868,542"
Silverland May,Narra Twin - No Window,"₫ 2,612,179","₫ 3,507,714","₫ 3,244,199","₫ 3,335,175","₫ 3,244,199","₫ 3,037,546"
Wink,1 Queen Bed,"₫ 2,600,000","₫ 2,100,000","₫ 2,100,000","₫ 2,050,000","₫ 2,000,000","₫ 2,050,000"
Silverland Ben Thanh_Spring Field - No Window,Spring Field - No Window,"₫ 4,282,842","₫ 4,073,401","₫ 3,927,140","₫ 3,932,772","₫ 4,067,568","₫ 3,288,007"
Amanaki,Signature Double Room,"₫ 3,696,883","₫ 4,373,297","₫ 3,644,727","₫ 3,636,915","₫ 3,645,800","₫ 2,384,130"
Dechiu Hotel 1 - Hotel,Double Room with Queen Bed - Non-Smoking,"₫ 5,016,312","₫ 5,034,714","₫ 4,460,709","₫ 5,032,302","₫ 4,961,139","₫ 4,526,762"
Hato,Premium Twin Room - Non-Smoking,"₫ 2,013,638","₫ 2,065,824","₫ 1,653,934",1.653.934 ₫,"₫ 1,793,590","₫ 1,888,536"
The Signature Hoi An,Signature Lantern Room,"₫ 2,263,339",₫ 2.384.568,"₫ 2,250,631","₫ 1,945,249","₫ 2,191,004","₫ 2,198,950"
Sol An Bang Beach Resort & Spa,Deluxe Room,"₫ 2,095,757","₫ 2,083,688","1.996.802₫Mỗi đêm, chưa có thuế","2.001.237₫Mỗi đêm, chưa có thuế","₫ 2,085,220","₫ 2,141,572"
Hato,Deluxe Double No Window,SOLD OUT,"₫ 1,486,376","₫ 1,974,307",₫ 2.028.925,SOLD OUT,"₫ 1,382,368"
La Siesta Hoi An Resort & Spa,Club Wing Junior Suite with Balcony,₫ 6.661.178,"₫ 3,751,317","₫ 4,517,637","₫ 4,517,637","₫ 5,346,561","₫ 4,517,637"
Moire Hoi An Vignette Collection By IHG,1 King Deluxe,"₫ 7,244,468","₫ 7,507,903","₫ 7,112,750","₫ 7,376,185",₫ 8.113.541,"₫ 4,741,834"
M Hotel,Zen Corner,"₫ 2,517,123","₫ 2,517,123","₫ 3,240,499","₫ 3,227,872","₫ 2,942,787","₫ 2,517,123"
Dechiu Hotel - Hotel,Double Room with Sea View,"₫ 7,222,119","₫ 7,255,529","₫ 4,097,734","₫ 7,425,748","₫ 7,425,748","₫ 6,975,139"
La Siesta Hoi An Resort & Spa 1,Classic Wing Deluxe Room,₫ 7.215.710,"₫ 4,321,429","₫ 4,103,175","₫ 4,103,175","₫ 3,647,266","₫ 3,232,804"
