Hotel,URL,Room to be extracted,Location,Platform
Harvest Day Hoi An - Hotel,https://www.agoda.com/harvest-day-hoi-an-h76212995/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=c27866da-6e13-4cdc-b7b3-f15074847cfd&checkin=2026-01-12,Standard Double with Garden View,HA,Agoda
Little Oasis - Hotel,https://www.agoda.com/vi-vn/little-oasis-a-luxury-hotel-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=d1d20142-2989-4f9e-9b5c-b9d82b79685c&checkin=2026-02-06,Little Oasis Deluxe,HA,Agoda
Grand Sunrise Palace Hội An - Hotel,https://www.agoda.com/vi-vn/grand-sunrise-palace-hoi-an-h38715126/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=af69715e-e141-4010-b589-3a6871567b3b&checkin=2026-02-06,Phòng Loại Sang Giường Đôi (Deluxe Double Room),HA,Agoda
Reu Boutique Hotel - Hotel,https://www.agoda.com/vi-vn/reu-boutique-hotel/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=96f5ec9a-9f35-4e58-808e-5fe3684073bc&checkin=2026-02-06,Superior 2 giường hoặc giường đôi (Superior Twin or Double),HA,Agoda
Maison Vy - Hotel,https://www.agoda.com/vi-vn/maison-vy-hotel/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=3&los=1&searchrequestid=51b71485-1c14-4805-b749-05505fb15a11&checkin=2026-02-06,Giường Lớn Cao Cấp (Superior King),HA,Agoda
Sen Village Hội An (Sen Village Hoi An) - Hotel,https://www.agoda.com/vi-vn/sen-retreat-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=95ddaec6-232e-4423-bb0a-adca014fc55d&checkin=2026-02-06,Phòng Loại Sang (Deluxe Room),HA,Agoda
The Saga Hotel Hoi An - Hotel,https://www.agoda.com/vi-vn/the-saga-hotel-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=0ee6c6e9-dfdd-42f8-b334-d580381398f2&checkin=2026-02-06,Phòng Superior 2 giường (Superior Twin Room),HA,Agoda
Hoi An Chic Green Retreat - Hotel,https://www.agoda.com/vi-vn/hoi-an-chic-hotel/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=18be2b09-d25d-4d59-bfb6-3a5a995ffeea&checkin=2026-02-06,Chic Suite,HA,Agoda
Hoi An Eco Lodge & Spa - Hotel,https://www.agoda.com/vi-vn/hoi-an-eco-lodge-spa_3/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=45fb3b6e-75b7-434a-b7a4-9127d09d3640&checkin=2026-02-06,Phòng Superior giường King (Superior King Room),HA,Agoda
AIRA Boutique Hoi An Hotel & Spa - Hotel,https://www.agoda.com/vi-vn/aira-boutique-hoi-an-hotel-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=1a7a6157-ded5-4d70-8115-2d29e50e16e5&checkin=2026-02-06,Phòng Loại Sang (Deluxe Room),HA,Agoda
Shoreline Stay - Hotel,https://www.agoda.com/vi-vn/the-shoreline-stay_3/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=64cf81e9-3941-46e1-bcde-15fd1a7c43d2&checkin=2026-02-06,Cao cấp Hướng Bể Bơi (Superior Pool View),HA,Agoda
Renaissance Danang Hoi An Resort & Spa,https://www.agoda.com/vi-vn/renaissance-hoi-an-resort-spa_3/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=a03a6ca8-2219-41ad-b4fe-ed1c53ae9d6a&checkin=2026-02-06,"Deluxe, Guest room, 2 Twin, Garden view, Balcony",HA,Agoda
Victoria Hoi An Beach Resort & Spa,https://www.agoda.com/vi-vn/victoria-hoi-an-beach-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=baa55b58-76f1-4fd8-8b7e-0588df452f6b&checkin=2026-02-06,Phòng Đôi Hướng Sông (River View Double Room),HA,Agoda
