hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
The Ocean Resort by Fusion Quy Nhon - One-bedroom Private Pool Villa - Spa Inclusive,One-bedroom Private Pool Villa - Spa Inclusive,"7,526,455","6,773,810","7,488,095","6,773,810","6,773,810","6,773,810"
FLC Sea Tower - The Beach Quy Nhon,Studio Ocean View Twin,"543,139",SOLD OUT,"1,255,424","591,232","1,195,101","1,171,209"
FLC Quy Nhon Beachfront Condotel,Junior Deluxe King,"522,507","579,642","1,263,129","579,642","580,724","579,642"
FLC City Hotel Beach Quy Nhon,Deluxe giường đôi Hướng phố (Deluxe Double City View),1.190.917,1.190.917,1.479.347,1.190.917,1.190.917,1.327.068
The Ocean Resort by Fusion Quy Nhon - Two-bedroom Courtyard Villa - Private Pool,Two-bedroom Courtyard Villa - Private Pool,"6,167,488","8,916,667","11,254,945","8,559,897","8,436,799","8,916,667"
FLC Quy Nhon SeaView Condotel,Sea View Balcony,"₫ 625,494","₫ 625,494","₫ 625,494","₫ 625,494","₫ 625,494","967,554"
The Ocean Resort by Fusion Quy Nhon - Studio with Pool View,Studio with Pool View,"2,802,925","3,559,524","3,797,619","3,477,790","3,479,188","3,559,524"
The Ocean Resort by Fusion Quy Nhon - Three-bedroom Garden Villa - Private Pool,Three-bedroom Garden Villa - Private Pool,"9,392,778","13,440,476","16,773,810","13,440,476","13,440,476","13,440,476"
FLC Sea Tower Quy Nhơn Seaview Apartment,Sea View Studio with Balcony,"475,208","969,598","1,417,349","635,563","622,610","635,563"
The Ocean Resort by Fusion Quy Nhon - Four-bedroom Beachfront Pool Villa - Ocean Club Access,Four-bedroom Beachfront Pool Villa - Ocean Club Access,"41,666,667","37,500,000","44,642,857","37,500,000","37,500,000","37,500,000"
Maia Resort Quy Nhon,Garden Pool Villa,8.267.487,7.254.924,10.008.914,7.392.927,7.523.810,7.393.011
Crown Retreat Quy Nhơn (Crown Retreat Quy Nhon),Đôi Tiêu Chuẩn Hướng Vườn (Standard Garden View Double),1.663.375₫,1.641.866₫,1.859.856,1.859.856,1.850.892,1.869.490
Grand Hyams Hotel,Phòng Cao Cấp Hướng Vịnh 2 Giường Đơn (Premium Bay View Twin Room),1.103.164,1.103.692,1.262.118,1.334.089,1.340.159,1.354.482
Wyndham Legend Halong Hotel,"2 Twin Beds Superior, Non Smoking",1.214.400,1.214.400,1.214.400,1.214.400,1.214.400,1.214.400
Novotel Ha Long Bay,Standard Room with 2 Single Size Beds,1.020.000,2.510.000,1.040.000,1.040.000,1.040.000,1.120.000
Anya Premier Beachfront Hotel Quy Nhon,Premier City View Twin Room,949.252,1.059.339,965.165,965.165,1.168.585,1.225.672
Tru by Hilton Ha Long Hon Gai Centre,King Accessible Room,873.716₫,873.716₫,873.716₫,1.050.000,1.050.000,1.050.000
Wyndham Garden Legend Halong,"Superior Garden Room, 2 Single Beds, Hill View",1.047.619,1.047.619,995.962₫,1.482.074,1.185.660,1.482.074
HOTEL SOLEIL HALONG - Trademark Collection by Wyndham,"2 Twin beds, Deluxe, City View, Non-Smoking",1.075.191₫,1.315.350,3.825.000,1.315.350,1.315.350,1.315.350
"Radisson Blu Hotel, Ha Long Bay",Deluxe Room - Lake View,2.733.686,1.904.762,2.619.048,2.063.492,1.984.127,1.984.127
Sheraton Hai Phong,"Deluxe, Guest Room, 2 Twin (Deluxe, Guest room, 2 Twin)",2.350.000,2.000.000,2.350.000,2.000.000,1.950.000,1.950.000
"Hyatt Place Ha Long Bay, Bai Chay",Phòng có giường King (1 King Bed),1.452.901₫,1.300.000,1.452.901₫,1.120.000,1.120.000,1.120.000
Mercure Hai Phong,Phòng Superior 1 giường King (Superior 1 King Bed),1.901.760,1.710.000,1.728.000,1.801.314,1.801.314,1.706.211
InterContinental Halong Bay Resort by IHG,2 Twin Classic Halong Bay View,5.767.711,5.478.009,3.911.202₫,5.478.009,5.478.009,5.478.009
Pullman Hai Phong Grand Hotel,"Phòng Cao Cấp có 2 Giường Đơn (Superior Room, 2 Single Beds)",2.930.000,2.640.000,2.760.000,2.490.000,2.490.000,2.490.000
"Wink Hai Phong Centre, part of Unscripted by Hyatt",Phòng 2 Giường đơn (2 Twin Beds),1.250.000,1.000.000,1.000.000,1.000.000,1.000.000,1.000.000
