hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
The Ocean Resort by Fusion Quy Nhon - Studio with Pool View,Studio with Pool View,"2,837,048","3,870,567","2,784,147","2,847,619","2,782,246","2,255,981"
FLC Sea Tower - The Beach Quy Nhon,Studio Ocean View Twin,SOLD OUT,SOLD OUT,"549,074","1,161,097","1,092,812","1,114,769"
The Ocean Resort by Fusion Quy Nhon - Four-bedroom Beachfront Pool Villa - Ocean Club Access,Four-bedroom Beachfront Pool Villa - Ocean Club Access,"33,333,333","35,714,286","30,000,000","30,000,000","30,000,000","30,000,000"
The Ocean Resort by Fusion Quy Nhon - Two-bedroom Courtyard Villa - Private Pool,Two-bedroom Courtyard Villa - Private Pool,"6,982,175","9,010,522","6,852,716","6,709,863","6,846,030","6,842,035"
FLC Sea Tower Quy Nhơn Seaview Apartment,Sea View Studio with Balcony,"471,736","1,494,000","552,683","513,964","540,690","511,727"
The Ocean Resort by Fusion Quy Nhon - One-bedroom Private Pool Villa - Spa Inclusive,One-bedroom Private Pool Villa - Spa Inclusive,"7,543,179","7,510,638","5,419,048","5,402,369","5,419,048","5,419,048"
FLC Quy Nhon Beachfront Condotel,Junior Deluxe King,"577,547","1,262,382","580,288","580,195",SOLD OUT,"690,288"
FLC Quy Nhon SeaView Condotel,Sea View Balcony,"₫ 625,329","2,324,820","₫ 625,329","₫ 625,329",SOLD OUT,"₫ 625,329"
FLC City Hotel Beach Quy Nhon,Deluxe giường đôi Hướng phố (Deluxe Double City View),1.031.063,1.666.437,1.152.103,1.223.104,1.228.765,1.059.329₫
The Ocean Resort by Fusion Quy Nhon - Three-bedroom Garden Villa - Private Pool,Three-bedroom Garden Villa - Private Pool,"11,947,090","13,419,048","10,752,381","10,752,381","10,752,381","10,752,381"
Tru by Hilton Ha Long Hon Gai Centre,King Accessible Room,NA,NA,1.050.000,1.050.000,1.050.000,1.050.000
"Radisson Blu Hotel, Ha Long Bay",Deluxe Room - Lake View,7.936.508,2.619.048,2.460.317,2.460.317,2.460.317,2.460.317
Novotel Ha Long Bay,Standard Room with 2 Single Size Beds,1.020.000,3.320.000,1.040.000,1.040.000,1.120.000,1.120.000
Wyndham Garden Legend Halong,"Superior Garden Room, 2 Single Beds, Hill View",1.047.619,1.020.713₫,1.482.074,1.020.713₫,1.482.074,1.020.713₫
Grand Hyams Hotel,Phòng Cao Cấp Hướng Vịnh 2 Giường Đơn (Premium Bay View Twin Room),1.044.438,1.711.300,1.324.181,1.324.181,1.327.669,1.336.376
Crown Retreat Quy Nhơn (Crown Retreat Quy Nhon),Đôi Tiêu Chuẩn Hướng Vườn (Standard Garden View Double),NA,NA,1.681.806₫,3.747.915,1.710.053,1.681.806₫
Sheraton Hai Phong,"Deluxe, Guest Room, 2 Twin (Deluxe, Guest room, 2 Twin)",2.100.000,2.014.876₫,2.014.876₫,1.950.000,1.950.000,1.950.000
Anya Premier Beachfront Hotel Quy Nhon,Premier City View Twin Room,1.053.273,1.658.153,925.338,1.001.034,1.138.709,1.239.547
Pullman Hai Phong Grand Hotel,"Phòng Cao Cấp có 2 Giường Đơn (Superior Room, 2 Single Beds)",2.930.000,2.930.000,2.490.000,2.490.000,2.490.000,2.490.000
Mercure Hai Phong,Phòng Superior 1 giường King (Superior 1 King Bed),1.900.000,1.759.500,1.801.314,1.801.314,1.706.211,1.717.074
Wyndham Legend Halong Hotel,"2 Twin Beds Superior, Non Smoking",1.214.400,1.628.400,1.214.400,1.214.400,1.214.400,1.214.400
HOTEL SOLEIL HALONG - Trademark Collection by Wyndham,"2 Twin beds, Deluxe, City View, Non-Smoking",1.315.350,3.825.000,1.315.350,1.315.350,1.315.350,1.315.350
"Hyatt Place Ha Long Bay, Bai Chay",Phòng có giường King (1 King Bed),1.300.000,1.463.709₫,1.120.000,1.120.000,1.120.000,1.120.000
Maia Resort Quy Nhon,Garden Pool Villa,8.074.969,10.031.425,7.269.955,7.282.414,7.265.075,7.284.834
"Wink Hai Phong Centre, part of Unscripted by Hyatt",Phòng 2 Giường đơn (2 Twin Beds),1.250.000,1.300.000,1.100.000,1.100.000,1.100.000,1.100.000
InterContinental Halong Bay Resort by IHG,2 Twin Classic Halong Bay View,5.766.193,NA,5.476.567,5.476.567,5.476.567,5.476.567
