Hotel,URL,Room to be extracted
Vanda Hotel,https://www.agoda.com/vanda-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=da03d319-1c83-4bfd-99fa-86c1ef8e9cec,Superior Double City View
G8 Luxury,https://www.agoda.com/g8-luxury-hotel-and-spa-da-nang/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=a61a42ba-7814-4bda-a734-8bf74dad7c5e,Superior Double Room
Hilton Da Nang,https://www.agoda.com/hilton-da-nang_6/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=7ba081ba-40f3-4f97-ae68-98a127f25906,King Accessible Room
Crowne Plaza Danang City Centre,https://www.agoda.com/bay-capital-danang/hotel/da-n-ng-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=76634560-f776-4675-94c7-6e01ccad16cd,Standard Room
Novotel,https://www.agoda.com/novotel-danang-premier-han-river/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ea3abc44-f608-4838-af7a-ef21876f84f2&ds=KVpBPN4fJR0hNKLf&checkin=2024-11-12,"Superior Room, balcony with Han river view - 2 single beds"
M Hotel Da Nang,https://www.agoda.com/m-hotel-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b5ed4462-e694-490d-bf48-f5a13eca6a3f&ds=pkUtDzTOXUrRC6rN&checkin=2025-06-23,Phòng Loại Sang Hai Giường Đơn Hướng Thành Phố Có Bồn Tắm (Deluxe Twin Room City View with Bathtub)
Muong Thanh Luxury Song Han Hotel,https://agoda.com/oneopera-danang-hotel/hotel/da-nang-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2024-08-21&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=9cbfa51f-553b-430b-94ef-c7fb09d2d50f,Superior Twin City View
New Orient Da Nang,https://www.agoda.com/new-orient-hotel-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-24&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=bbef5a47-5eb6-4828-bcea-bd6036f7e47b&ds=vi7iH7%2BI071DBgyJ,Superior Double or Twin Room without View
radison red,https://www.agoda.com/radisson-red-danang/hotel/ubon-ratchathani-th.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=22a4716e-ae30-4ef0-b9a4-a3211a049901&ds=KVpBPN4fJR0hNKLf&checkin=2025-05-30,Superior Room
sel de mer,https://www.agoda.com/sel-de-mer-hotel-suites_2/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-05-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=b8e1e608-36a0-46f6-9cda-5bb52060d6e1&ds=KVpBPN4fJR0hNKLf,Superior Twin City View
A La Carte,https://www.agoda.com/a-la-carte-da-nang-beach-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=342779f6-6eb4-41db-9979-dbcc4f20057c&ds=LxaZ4GK%2FBx7rq6OP&checkin=2025-07-09,1-Bedroom City View Twin Studio
voco Ma Belle,https://www.agoda.com/voco-ma-belle-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-9&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1%2C-1&los=1&searchrequestid=d930bb7b-456e-49e9-9cde-709147ce719a&ds=LxaZ4GK%2FBx7rq6OP,Deluxe Room
Grand Tourane Hotel,https://www.agoda.com/grand-tourane-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=c171275e-6e2e-4359-b1fa-7a650a36ec2e&ds=LxaZ4GK%2FBx7rq6OP&checkin=2026-01-25,Deluxe hướng thành phố (City Deluxe)
Hilton Garden Inn,https://www.agoda.com/hilton-garden-inn-da-nang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f6c93c56-cdf7-4d09-8609-6395a9daac4c&ds=LxaZ4GK%2FBx7rq6OP&checkin=2025-07-09,King Guest Room
Pullman Danang Beach Resort,https://www.agoda.com/pullman-danang-beach-resort/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=ff9fde3d-a39d-4fe3-939d-d4650627e16c&ds=k1Qw7BnT0zuXtSP0,Deluxe 2 Single Beds with Balcony
Furama Villas Danang-1 Bedroom Pool Villa,https://www.agoda.com/furama-villas-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=f816ee29-fe7c-4952-9a60-ea2e35b7130d&ds=k1Qw7BnT0zuXtSP0,1 Bedroom Pool Villa
Furama Villas Danang-2 Bedroom Pool Villa,https://www.agoda.com/furama-villas-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=f816ee29-fe7c-4952-9a60-ea2e35b7130d&ds=k1Qw7BnT0zuXtSP0,2 Bedroom Pool Villa
Furama Villas Danang-3 Bedroom Pool Villa,https://www.agoda.com/furama-villas-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=f816ee29-fe7c-4952-9a60-ea2e35b7130d&ds=k1Qw7BnT0zuXtSP0,3 Bedroom Pool Villa
Furama Villas Danang-4-Bedroom Beachfront Villa with Private Pool,https://www.agoda.com/furama-villas-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=f816ee29-fe7c-4952-9a60-ea2e35b7130d&ds=k1Qw7BnT0zuXtSP0,4-Bedroom Beachfront Villa with Private Pool
Furama Resort Danang-Lagoon Superior,https://www.agoda.com/furama-resort-danang/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=78bdd4f0-5a8c-499b-a05f-beec56fa0b30&ds=k1Qw7BnT0zuXtSP0,Lagoon Superior
Fusion Resort-Suite,https://www.agoda.com/fusion-resort-villas-da-nang-wellness-inclusive-h56360089/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=89af8b39-5418-43db-a063-26811f8b647b&ds=k1Qw7BnT0zuXtSP0,Garden View King Suite
Fusion Resort-1bedroom villa,https://www.agoda.com/fusion-resort-villas-da-nang-wellness-inclusive-h56360089/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=89af8b39-5418-43db-a063-26811f8b647b&ds=k1Qw7BnT0zuXtSP0,One Bedroom Villa with Private Pool - Spa Inclusive
Fusion Resort-2bedroom villa,https://www.agoda.com/fusion-resort-villas-da-nang-wellness-inclusive-h56360089/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-18&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=89af8b39-5418-43db-a063-26811f8b647b&ds=k1Qw7BnT0zuXtSP0,Two Bedroom Villa - Spa Inclusive
