hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Fusion Resort-3 bedroom villa,Three Bedroom Presidential Plunge Pool Loft - Spa Inclusive,NA,NA,"28,825,671","28,800,752",28.801.079,"28,801,079"
TMS Hotel Da Nang Beach,Premier City View Twin Room with Balcony and Spa Included,"2,619,048","2,428,571","2,428,571","2,428,571","2,428,571","2,323,189"
Hyatt Regency Danang Resort And Spa,2 Twin Beds,"8,300,000","7,900,000","₫ 5,613,100","5,600,000","3,900,000",4.300.000
SALA DANANG BEACH HOTEL,Superior Double City View,"3,570,083","1,731,901","2,211,997","3,594,227","1,959,018",1.782.653
Rosamia Da Nang Hotel,Grand Deluxe Double,"1,929,111",1.797.622₫,"₫ 1,797,622","1,729,925","1,758,917",1.827.895
Fusion Resort-4 bedroom villa,Four Bedroom Premium Villa with Private Pool - Spa Inclusive,"42,959,260","42,959,260","42,922,838","42,922,838","42,922,838","42,959,260"
Sheraton Grand Danang Beach Resort & Spa,"Guest room, 2 Twin, Bay view","₫ 3,851,671","4,500,000","4,900,000","₫ 3,851,671","3,700,000","4,200,000"
Shilla Monogram Danang,Superior Partial Ocean View Twin Room,"3,982,626",4.167.549,"4,761,463",3.906.997,3.463.625,"3,647,183"
Golden Lotus Grand Da Nang,Superior City View Room - Afternoon Tea Included,"1,313,530",1.616.461,"1,712,498","2,145,185","2,088,049","1,601,686"
Fusion Resort-5 bedroom villa,Five Bedroom Premium Beachfront Villa with Private Pool - Spa Inclusive,"59,803,401","59,752,619","66,463,721","59,752,619",NA,59.752.619
InterContinental,2 Single Classic City View,"4,711,766","3,922,085","₫ 3,582,960","4,185,312","3,474,599","3,474,599"
Melia Vinpearl,Deluxe Room,"1,192,796","1,343,796",1.664.196,"1,192,796",1.343.796,"1,192,796"
Signature Lê Thánh Tôn,Deluxe City View Twin Room,"3,190,810",3.761.252,"3,931,311","3,823,002","3,897,593","3,823,002"
Express VVK,Standard Room without Window,"890,368","940,075","1,048,061","1,258,407","1,257,926",1.258.407
Potique Hotel,Classic Room,2.768.573,"2,790,338","2,566,050","2,429,286","2,430,383","2,433,240"
Nesta Hotel Da Nang,Superior Double Garden View,"1,321,782","₫ 1,267,000","₫ 1,267,000","1,273,611","₫ 1,267,000","1,273,611"
MV Tôn Thất Đạm,Standard Room without Window,"1,490,555","1,259,073","1,389,014","1,966,555","1,845,921",1.864.028
MV TTĐ,Deluxe Room,2.258.417,"2,303,364",2.494.740,"2,303,364",2.197.539,2.274.085
M Village Tao Đàn,Superior Room,1.913.170,"1,803,843",1.805.532,"1,696,312",1.590.224,"1,588,752"
Mường Thanh,Deluxe Double City View,"1,134,359","965,075","965,163","965,075","965,163","965,075"
Sheraton,"Guest room, 2 Twin, Ocean view","3,900,000","3,300,000","3,300,000","3,600,000","3,200,000","3,200,000"
MV TTĐ,Deluxe Room Twin,"2,277,470","2,248,298","2,494,740","2,322,662","2,296,527","2,322,662"
Vinpearl Resort,Deluxe Twin Room,"₫ 2,802,492","2,669,484",2.687.084,"2,475,368","2,555,556","2,475,397"
