hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
The Mist Boutique - Executive Suite,Executive Suite,"₫2,234,763","₫2,220,540",SOLD OUT,2.166.934₫,"₫3,270,524","₫3,238,088"
Bakhan Village Resort,Bungalow - Garden View,"₫1,139,317","₫1,132,961","₫1,128,392","₫1,122,058","₫1,129,514",1.292.997₫
Avana Retreat,Mountain Suite,"₫8,772,719","₫8,322,448","₫8,322,448","₫8,311,563","₫8,322,448","₫7,158,289"
Mai Chau Ecolodge,Superior Twin Room with Garden View,"₫2,243,386","₫2,243,386","₫2,328,042","₫2,243,386","₫2,328,042","₫2,243,386"
Mit Retreat,One Bedroom Deluxe Mountain View,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
The Mist Boutique - Signature Suite,Signature Suite,"₫2,711,394","₫2,488,727",2.489.310₫,"₫2,463,872","₫3,732,221","₫3,693,675"
The Mist Boutique - Tripple Deluxe,Triple Deluxe,"₫1,759,397","₫1,692,419","₫1,827,665",SOLD OUT,"₫2,481,918","₫2,457,791"
The Mist Boutique - Suite Mountain View,Suite Mountain View,"₫2,018,554","₫2,142,409","₫2,324,882","₫2,324,882",3.157.051₫,3.155.545₫
TOKI Ecolodge Cao Răm,"Basic Room, Mountain View",SOLD OUT,SOLD OUT,"₫2,714,898","₫2,255,577","₫2,346,730","₫2,376,505"
The Mist Boutique - Tripple Balcony,Triple Balcony,SOLD OUT,SOLD OUT,"₫1,823,940",SOLD OUT,SOLD OUT,"₫1,810,928"
KK Sapa Hotel,Superior Twin City View,"₫1,481,705","₫1,450,830",SOLD OUT,SOLD OUT,SOLD OUT,"₫1,464,677"
Sapa Jade Hill Resort & Spa,Deluxe Valley View Room,"₫1,814,644",SOLD OUT,"₫1,976,378","₫1,945,424","₫1,798,942",3.867.222₫
Ville De Mont Mountain Resort,On the Rock 1-Bedroom Executive Villa,"₫6,934,289",7.691.053₫,"₫7,659,443",8.254.198₫,"₫8,254,198","₫14,436,030"
Hotel de la Coupole - MGallery,Classic Room Twin,3.160.000₫,"₫2,960,000",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Silk Path Grand Sapa Resort & Spa,Classic Garden View,"₫2,312,886",6.701.657₫,2.663.990₫,"₫6,686,203","₫6,662,015","₫6,652,809"
HIIVE by fusion Binh Duong - VSIP 1,Superior Twin,1.597.999₫,"₫1,473,935",1.475.604₫,"₫1,474,171","₫1,608,276",1.473.684₫
Pao's Sapa Leisure Hotel,Deluxe Garden View,"₫1,944,276","₫2,049,563","₫2,050,604",2.050.604₫,"₫1,916,639","₫1,956,996"
Topas Ecolodge,Deluxe Suite,SOLD OUT,"₫8,644,506",9.400.627₫,SOLD OUT,SOLD OUT,9.497.680₫
Fairfield by Marriott South Binh Duong,"Guest room, 2 Twin",1.900.000₫,SOLD OUT,SOLD OUT,SOLD OUT,1.650.000₫,1.650.000₫
Citadines Central Binh Duong,Studio Premier,1.500.000₫,SOLD OUT,SOLD OUT,"₫1,350,000","₫1,350,000",1.350.000₫
Sheraton Can Tho,"Guest room, 2 Twin","₫1,950,000","₫1,500,000","₫1,650,000","₫1,650,000",1.650.000₫,"₫2,000,000"
Legacy Mekong,"Bungalow, 2 Twin, Garden View","₫4,300,000","₫4,300,000","₫4,900,000","₫4,500,000",SOLD OUT,"₫5,000,000"
Becamex Hotel New City,Twin One Bedroom Suite,1.378.011₫,1.464.025₫,"₫1,478,861","₫1,493,697","₫1,526,812","₫1,494,202"
