hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
The Mist Boutique - Signature Suite,Signature Suite,"₫2,487,273","₫2,473,615","₫2,642,587","₫2,464,878","₫2,463,397","₫2,463,397"
Avana Retreat,Mountain Suite,"₫8,675,102",8.675.102₫,8.774.250₫,"₫8,315,483",8.000.441₫,8.000.441₫
The Mist Boutique - Tripple Deluxe,Triple Deluxe,"₫1,535,923","₫1,693,429","₫1,693,069",1.684.704₫,"₫1,692,334",1.683.865₫
The Mist Boutique - Suite Mountain View,Suite Mountain View,"₫2,078,796","₫2,142,518","₫2,154,019","₫2,145,393","₫2,153,039","₫2,154,977"
Bakhan Village Resort,Bungalow - Garden View,"₫1,138,481","₫1,134,805","₫1,139,707",1.134.576₫,"₫1,139,420","₫1,135,469"
TOKI Ecolodge Cao Răm,"Basic Room, Mountain View","₫2,336,897","₫2,299,358",2.299.519₫,"₫2,302,306","₫2,302,237","₫2,340,017"
Mai Chau Ecolodge,Superior Twin Room with Garden View,"₫2,336,861","₫2,425,044","₫2,243,386",2.243.386₫,"₫2,328,042","₫2,328,042"
The Mist Boutique - Tripple Balcony,Triple Balcony,"₫1,760,315","₫1,812,660","₫1,815,111","₫1,825,009",1.823.442₫,1.814.190₫
Mit Retreat,One Bedroom Deluxe Mountain View,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,NA
The Mist Boutique - Executive Suite,Executive Suite,2.230.451₫,NA,"₫2,169,718","₫2,169,718","₫2,233,498","₫2,233,498"
KK Sapa Hotel,Superior Twin City View,NA,1.640.041₫,"₫1,466,477",SOLD OUT,"₫1,487,445",SOLD OUT
Topas Ecolodge,Deluxe Suite,"₫9,058,457","₫9,058,457","₫10,661,365","₫9,550,498","₫8,494,492","₫9,635,247"
Sapa Jade Hill Resort & Spa,Deluxe Valley View Room,NA,"₫1,768,018",SOLD OUT,SOLD OUT,1.742.905₫,SOLD OUT
HIIVE by fusion Binh Duong - VSIP 1,Superior Twin,"₫1,583,970","₫1,583,970","₫1,584,922","₫1,472,915","₫1,474,168",1.601.936₫
Silk Path Grand Sapa Resort & Spa,Classic Garden View,"₫2,745,762","₫2,259,501","₫6,650,730",6.652.942₫,"₫2,452,831",2.192.584₫
Citadines Central Binh Duong,Studio Premier,"₫1,500,000",1.500.000₫,"₫1,350,000","₫1,350,000","₫1,350,000","₫1,350,000"
Fairfield by Marriott South Binh Duong,"Guest room, 2 Twin",2.800.000₫,"₫2,400,000","₫2,200,000","₫1,900,000",1.900.000₫,"₫1,900,000"
Hotel de la Coupole - MGallery,Classic Room Twin,"₫3,600,000",SOLD OUT,SOLD OUT,"₫5,640,000",SOLD OUT,SOLD OUT
Pao's Sapa Leisure Hotel,Deluxe Garden View,SOLD OUT,2.053.438₫,2.056.604₫,"₫1,916,425","₫2,054,438",1.917.631₫
Ville De Mont Mountain Resort,On the Rock 1-Bedroom Executive Villa,"₫6,759,853",6.876.750₫,"₫6,882,679","₫8,302,031",7.705.235₫,"₫7,845,865"
Legacy Mekong,"Bungalow, 2 Twin, Garden View","₫4,300,000","₫4,800,000","₫4,300,000",5.000.000₫,4.700.000₫,4.300.000₫
Sheraton Can Tho,"Guest room, 2 Twin",1.950.000₫,"₫1,850,000","₫1,850,000","₫1,850,000","₫1,850,000",NA
Becamex Hotel New City,Twin One Bedroom Suite,"₫1,480,517",1.541.678₫,NA,NA,NA,NA
