Hotel,URL,Room to be extracted
M Village ĐN Centre,https://www.agoda.com/m-village-hotel-da-nang-centre/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2025-03-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=e7cd00ee-740b-44b3-8d3d-8a80d13fc8a9&los=1&searchrequestid=97546e62-4537-442b-b052-6063ece452ff&ds=xH2aPslxijMnVZ10,Superior Cozy Room for 2 People
M Village ĐN Heritage,https://www.agoda.com/signature-by-m-village-da-n-ng-heritage/hotel/da-nang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=1&children=0&rooms=1&maxRooms=0&checkIn=2025-03-19&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=0&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=e7cd00ee-740b-44b3-8d3d-8a80d13fc8a9&los=1&searchrequestid=8dc2ac0c-fc6b-4260-9efb-ebddb4fceb06,Standard Room
MV Thi sách,https://www.agoda.com/hotel-de-charme-saigon-former-asian-ruby-luxury-hotel/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=7439fa48-4902-4b76-ae13-4b8718105c1d&ds=OfhJmeGr3US3OQJl&checkin=2025-03-31,Superior with Bathtub
M Village Living Vo Thi Sau,https://www.agoda.com/m-village-the-boutique/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-23&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=ca480d5f-ddca-436b-9560-2f2655f02de8&ds=qMnnwutu%2FZvtFqcS,Standard Studio
M Village Express Dien Bien Phu Q3,https://www.agoda.com/m-village-di-n-bien-ph-q3/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-25&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=3&los=1&searchrequestid=06e7ee69-5eff-4752-9fe9-659c75bf152e&ds=qMnnwutu%2FZvtFqcS,Standard Room without Window
M Village Express 46 Thao Dien,https://www.agoda.com/express-by-m-village-46-th-o-di-n/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-22&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=bd6aec34-c662-44db-b658-a47c10f62330&ds=qMnnwutu%2FZvtFqcS,Standard Room (Non View)
M Village Living Nguyen Van Huong,https://www.agoda.com/m-village-nguy-n-van-hu-ng/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=1f7b6f5c-52a6-449e-b7f7-6fe442e0c8bc&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-25,Superior - 1 Queen Bed
M Village Living Tran Nao,https://www.agoda.com/m-village-the-compound/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8dbc6579-78e9-4d2a-ad07-715a864f24d1&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-23,Studio Room
M Village Beachfront,https://www.agoda.com/signature-by-m-village-beachfront-resort-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8b7a98ac-e814-4133-8cdb-b22ff77cee88&ds=RO3ZU6JUu9Rt6DDC,Deluxe City View
President Maison,https://www.agoda.com/president-maison-signature-by-m-village/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=03593fa4-8469-4b9a-9ff8-e6ebc77a6892&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Deluxe - 1 King Bed
