hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
FLC City Hotel Beach Quy Nhon,Deluxe giường đôi Hướng phố (Deluxe Double City View),₫ 2.896.825,₫ 2.896.825,₫ 3.582.389,₫ 3.582.389,₫ 3.582.389,₫ 3.582.389
The Ocean Resort by Fusion Quy Nhon - Three-bedroom Garden Villa - Private Pool,Three-bedroom Garden Villa - Private Pool,"₫ 10,307,540","₫ 11,200,397","₫ 11,200,397","₫ 11,200,397","₫ 11,200,397","₫ 11,200,397"
FLC Quy Nhon Beachfront Condotel,Junior Deluxe King,"₫ 493,575","₫ 607,789","₫ 492,702","₫ 492,168","₫ 1,217,538","₫ 607,587"
FLC Quy Nhon SeaView Condotel,Sea View Balcony,"₫ 615,341","₫ 697,191","₫ 615,341","₫ 615,341","₫ 615,341","₫ 615,341"
The Ocean Resort by Fusion Quy Nhon - One-bedroom Private Pool Villa - Spa Inclusive,One-bedroom Private Pool Villa - Spa Inclusive,"₫ 6,732,804","₫ 6,773,810","₫ 6,773,810","₫ 6,773,810","₫ 6,773,810","₫ 6,773,810"
The Ocean Resort by Fusion Quy Nhon - Studio with Pool View,Studio with Pool View,"₫ 3,558,201","₫ 3,559,524","₫ 3,559,524","₫ 3,559,524","₫ 3,559,524","₫ 3,559,524"
FLC Sea Tower Quy Nhơn Seaview Apartment,Sea View Studio with Balcony,"₫ 515,541","₫ 490,587","₫ 495,317","₫ 495,878","₫ 1,104,830","₫ 657,905"
The Ocean Resort by Fusion Quy Nhon - Four-bedroom Beachfront Pool Villa - Ocean Club Access,Four-bedroom Beachfront Pool Villa - Ocean Club Access,"₫ 27,281,746","₫ 31,250,000","₫ 31,250,000","₫ 31,250,000",SOLD OUT,"₫ 31,250,000"
FLC Sea Tower - The Beach Quy Nhon,Studio Ocean View Twin,"₫ 563,133","₫ 479,310","₫ 484,553","₫ 603,499",SOLD OUT,"₫ 589,090"
The Ocean Resort by Fusion Quy Nhon - Two-bedroom Courtyard Villa - Private Pool,Two-bedroom Courtyard Villa - Private Pool,"₫ 6,835,317","₫ 6,240,079","₫ 7,430,556","₫ 7,430,556","₫ 7,430,556","₫ 7,430,556"
Maia Resort Quy Nhon,Garden Pool Villa,NA,₫ 7.437.324,₫ 7.436.726,₫ 7.473.158,NA,NA
HOTEL SOLEIL HALONG - Trademark Collection by Wyndham,"2 Twin beds, Deluxe, City View, Non-Smoking",NA,₫ 1.175.078,₫ 1.175.078,987.882 ₫,NA,NA
Anya Premier Beachfront Hotel Quy Nhon,Premier City View Twin Room,NA,₫ 1.033.201,₫ 1.034.424,982.833 ₫,NA,NA
Grand Hyams Hotel,Phòng Cao Cấp Hướng Vịnh 2 Giường Đơn (Premium Bay View Twin Room),₫ 1.815.859,₫ 1.072.575,₫ 1.072.575,₫ 1.072.575,₫ 1.344.338,₫ 1.214.741
Tru by Hilton Ha Long Hon Gai Centre,King Accessible Room,NA,NA,NA,NA,NA,NA
Wyndham Legend Halong Hotel,"2 Twin Beds Superior, Non Smoking",₫ 2.391.223,₫ 2.391.223,₫ 3.034.598,₫ 3.034.598,NA,NA
