Hotel,URL,Room to be extracted
The Ocean Resort by Fusion Quy Nhon - Studio with Pool View,https://www.agoda.com/en-nz/the-ocean-resort-quy-nhon-by-fusion/hotel/phuong-phi-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=42bbe6c8-106a-4913-9753-530e3b37281b&checkin=2026-03-20,Studio with Pool View
The Ocean Resort by Fusion Quy Nhon - One-bedroom Private Pool Villa - Spa Inclusive,https://www.agoda.com/en-nz/the-ocean-resort-quy-nhon-by-fusion/hotel/phuong-phi-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=42bbe6c8-106a-4913-9753-530e3b37281b&checkin=2026-03-20,One-bedroom Private Pool Villa - Spa Inclusive
The Ocean Resort by Fusion Quy Nhon - Two-bedroom Courtyard Villa - Private Pool,https://www.agoda.com/en-nz/the-ocean-resort-quy-nhon-by-fusion/hotel/phuong-phi-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=42bbe6c8-106a-4913-9753-530e3b37281b&checkin=2026-03-20,Two-bedroom Courtyard Villa - Private Pool
The Ocean Resort by Fusion Quy Nhon - Three-bedroom Garden Villa - Private Pool,https://www.agoda.com/en-nz/the-ocean-resort-quy-nhon-by-fusion/hotel/phuong-phi-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=42bbe6c8-106a-4913-9753-530e3b37281b&checkin=2026-03-20,Three-bedroom Garden Villa - Private Pool
The Ocean Resort by Fusion Quy Nhon - Four-bedroom Beachfront Pool Villa - Ocean Club Access,https://www.agoda.com/en-nz/the-ocean-resort-quy-nhon-by-fusion/hotel/phuong-phi-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=42bbe6c8-106a-4913-9753-530e3b37281b&checkin=2026-03-20,Four-bedroom Beachfront Pool Villa - Ocean Club Access
FLC Quy Nhon Beachfront Condotel,https://www.agoda.com/en-nz/rattank-flc-sea-tower/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=08f29e74-31e3-4cda-a1a8-b7ff131d4d33&checkin=2026-03-13,Junior Deluxe King
FLC Quy Nhon SeaView Condotel,https://www.agoda.com/en-nz/flc-sea-tower-indochina/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-03-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=[object%20Object]&tspTypes=-1&los=1&searchrequestid=9a263cd7-de96-41c9-8613-5ae71220ffc4,Sea View Balcony
FLC Sea Tower Quy Nhơn Seaview Apartment,https://www.agoda.com/en-nz/newday-travel-condotel-can-ho-flc-sea-tower-quy-nhon/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-03-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=[object%20Object]&los=1&searchrequestid=9129f94f-db3c-4705-9d0d-e1c614df76b7,Sea View Studio with Balcony
FLC Sea Tower - The Beach Quy Nhon,https://www.agoda.com/en-nz/flc-sea-tower-quy-nhon-enochnguyen/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-03-13&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=[object%20Object]&los=1&searchrequestid=a4430bad-acfd-4ef5-a36d-9df4bae2cfef,Studio Ocean View Twin
FLC City Hotel Beach Quy Nhon,https://www.agoda.com/vi-vn/flc-city-hotel-beach-quy-nhon/hotel/quy-nhon-binh-dinh-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=3eb01395-6cfc-49e3-875e-929b0f24eaec&checkin=2026-04-06,Deluxe giường đôi Hướng phố (Deluxe Double City View)
