Hotel,URL,Room to be extracted
MV Tôn Thất Đạm,https://www.agoda.com/m-village-ton-th-t-d-m/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-12-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=65ea474e-41ff-4c0b-9beb-87b2da580ec4&ds=W9W47XQm9iNhK7jY,Standard Room without Window
MV TTĐ,https://www.agoda.com/m-village-ton-th-t-d-m/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-12-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=65ea474e-41ff-4c0b-9beb-87b2da580ec4&ds=W9W47XQm9iNhK7jY,Deluxe Room
MV TTĐ,https://www.agoda.com/m-village-ton-th-t-d-m/hotel/ho-chi-minh-city-vn.html?finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2023-12-27&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&isCityHaveAsq=false&los=1&searchrequestid=65ea474e-41ff-4c0b-9beb-87b2da580ec4&ds=W9W47XQm9iNhK7jY,Deluxe Room Twin
MV Thi sách,https://www.agoda.com/hotel-de-charme-saigon-former-asian-ruby-luxury-hotel/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=7439fa48-4902-4b76-ae13-4b8718105c1d&ds=OfhJmeGr3US3OQJl&checkin=2025-03-31,Superior with Bathtub
M Village Living Nguyen Van Huong,https://www.agoda.com/m-village-nguy-n-van-hu-ng/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=1f7b6f5c-52a6-449e-b7f7-6fe442e0c8bc&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-25,Superior - 1 Queen Bed
M Village Living Tran Nao,https://www.agoda.com/m-village-the-compound/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8dbc6579-78e9-4d2a-ad07-715a864f24d1&ds=qMnnwutu%2FZvtFqcS&checkin=2025-07-23,Studio Room
M Village Beachfront,https://www.agoda.com/signature-by-m-village-beachfront-resort-hotel/hotel/da-nang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=8b7a98ac-e814-4133-8cdb-b22ff77cee88&ds=RO3ZU6JUu9Rt6DDC,Deluxe City View
President Maison,https://www.agoda.com/president-maison-signature-by-m-village/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=03593fa4-8469-4b9a-9ff8-e6ebc77a6892&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Deluxe - 1 King Bed
Signature by M Village HBT,https://www.agoda.com/signature-by-m-village-hai-ba-trung/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f216efd3-5069-4b05-bdf8-ffc813e72ebc&ds=RO3ZU6JUu9Rt6DDC,Studio Room City View
M Village Hotel Nguyễn Du,http://agoda.com/m-village-hotel-nguy-n-du/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-9&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=b93b6fc7-9ec8-446d-9d56-346281e49563,Superior Room with Window - No View
