hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Grand Signature by M Village Hoi An,Deluxe Garden View Twin Room,"₫1,634,286","₫1,634,286","₫1,634,286","₫1,953,178","₫1,634,286","₫1,997,460"
Living Kỳ Đồng,Superior Room with Window,"₫1,124,859","₫1,138,765","₫1,143,399","₫1,138,765","₫1,143,399","₫1,143,399"
M Village ĐN Centre,Superior Cozy Room for 2 People,"₫1,624,666","₫1,273,650","₫1,273,650","₫1,273,650","₫1,273,650","₫1,288,212"
M Village ĐN Heritage,Standard Room,NA,"₫1,164,659",SGD63,"₫1,161,942","₫1,164,659","₫1,149,437"
Sheraton,"Guest room, 2 Twin, Ocean view","₫3,700,000","₫5,300,000","₫4,200,000","₫4,800,000","₫3,700,000","₫3,200,000"
Park Hotel Dalat,Standard Twin,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Living 59 Thảo Điền,Standard Studio,"₫988,035","₫1,143,399","₫1,047,999","₫1,043,741","₫1,042,089","₫908,642"
Express VVK,Standard Room without Window,"₫760,415","₫1,014,834","₫930,190","₫928,986","₫930,190","₫844,405"
M Village Beachfront,Deluxe City View,"₫2,844,886","₫2,492,396","₫2,237,084","₫1,893,999","₫2,517,825","₫2,599,882"
Mường Thanh,Deluxe Double City View,"₫961,395","₫963,878","₫961,395","₫963,878","₫961,755","₫963,878"
Signature by M Village HBT,Studio Room City View,"₫3,106,521","₫3,692,698","₫3,106,676","₫3,090,152","₫3,103,304","₫3,090,152"
Melia Vinpearl,Deluxe Room,"₫1,423,896","₫1,423,896","₫1,423,896","₫1,423,896","₫1,423,896","₫1,423,896"
Vinpearl Resort,Deluxe Twin Room,"₫3,148,148","₫3,557,281","₫3,700,929","₫2,839,506","₫2,725,229","₫2,713,733"
Savvy by M Village Hai Bà Trưng,"Phòng cao cấp Giường Lớn, Hướng Thành Phố (Superior King Bed, City View)",NA,NA,NA,NA,NA,NA
Signature Lê Thánh Tôn,Deluxe City View Twin Room,"₫3,536,419","₫4,686,480","₫4,613,496","₫4,973,507","₫4,613,496","₫4,399,464"
Potique Hotel,Classic Room,"₫5,038,578","₫2,214,635","₫2,276,226","₫2,520,091","₫2,518,273","₫2,386,687"
Hotel de la Coupole - MGallery,Classic Room Twin,"₫5,640,000",SOLD OUT,"₫5,245,000","₫4,210,000",SOLD OUT,SOLD OUT
InterContinental,2 Single Classic City View,"₫4,903,404","₫4,745,919","₫3,553,036","₫3,786,167","₫4,253,306","₫3,190,999"
President Maison,Deluxe - 1 King Bed,"₫4,485,337","₫4,487,024","₫4,586,799","₫4,411,234","₫4,466,889","₫3,993,460"
Ville De Mont Mountain Resort,On the Rock 1-Bedroom Executive Villa,"₫6,484,647","₫6,325,765","₫8,291,769","₫6,350,955","₫6,061,361","₫7,656,029"
Au Lac Charner,Ruffier Deluxe Twin Room without Window,"₫2,630,952","₫3,239,467","₫2,625,422","₫2,781,218","₫2,781,218","₫2,765,873"
