hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Grand Signature by M Village Hoi An,Deluxe Garden View Twin Room,"₫1,634,286","₫1,634,286","₫1,634,286","₫1,725,079","₫2,017,637","₫1,997,460"
Sheraton,"Guest room, 2 Twin, Ocean view","₫3,700,000","₫4,500,000","₫4,200,000","₫4,800,000","₫3,700,000","₫3,400,000"
Living Kỳ Đồng,Superior Room with Window,"₫1,047,184","₫1,138,430","₫1,142,706","₫1,138,430","₫1,233,437","₫1,043,434"
Living 59 Thảo Điền,Standard Studio,"₫904,185","₫996,530","₫996,530","₫1,043,434","₫1,090,070","₫996,530"
M Village ĐN Heritage,Standard Room,SOLD OUT,"₫1,186,246","₫1,360,724","₫1,164,035","₫1,360,724","₫1,227,658"
M Village Beachfront,Deluxe City View,"₫2,583,847","₫2,578,900","₫2,525,747","₫2,237,201","₫2,482,059","₫2,580,145"
Express VVK,Standard Room without Window,"₫844,634","₫928,752","₫1,013,317","₫928,752","₫929,807","₫930,302"
M Village ĐN Centre,Superior Cozy Room for 2 People,"₫1,509,400","₫1,685,119","₫1,437,065","₫1,493,545","₫1,297,291","₫1,257,959"
Express NBK,Deluxe Room,"₫1,232,573","₫1,375,938","₫1,470,935","₫1,233,437","₫1,238,056","₫1,138,430"
M Village Express Dien Bien Phu Q3,Standard Room without Window,"₫839,115","₫1,089,534","₫988,300","₫949,767","₫988,300","₫1,000,494"
M Village Living Vo Thi Sau,Standard Studio,"₫951,850","₫995,682","₫1,032,767","₫995,682","₫999,514","₫856,230"
Park Hotel Dalat,Standard Twin,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
M Village Hotel Nguyễn Du,Superior Room with Window - No View,"₫2,336,879","₫2,350,960","₫2,345,073","₫2,338,504","₫2,573,788","₫2,266,242"
M Village Express 46 Thao Dien,Standard Room (Non View),"₫961,379","₫1,196,166","₫1,009,492","₫1,200,872","₫1,009,227",SOLD OUT
M Village Living Tran Nao,Studio Room,"₫977,267","₫901,193","₫996,217","₫901,193","₫904,587",SOLD OUT
M Village Living Nguyen Van Huong,Superior - 1 Queen Bed,SOLD OUT,SOLD OUT,"₫1,095,326",SOLD OUT,SOLD OUT,SOLD OUT
M Village Hotel Thợ Nhuộm,Hot TN - Trip com bao gồm 2 pax ăn sáng + thuế Superior,NA,NA,NA,NA,NA,NA
M Village Kim Mã,Superior No Window,NA,NA,NA,NA,NA,NA
M Village Hotel Ho Guom,Standard Room without Window,NA,NA,NA,NA,NA,NA
MV Tôn Thất Đạm,Standard Room without Window,"₫1,618,473","₫2,166,334","₫2,660,399","₫2,525,721","₫2,224,584","₫1,979,212"
M Village Tao Đàn,Superior Room,SOLD OUT,"₫2,979,881","₫2,555,726","₫2,772,275","₫2,340,775","₫2,019,580"
M Village Sig Tho Nhuom,Sig TN - Trip com bao gồm 2 pax ăn sáng + thuế STUDIO,NA,NA,NA,NA,NA,NA
MV Thi sách,Superior with Bathtub,"₫1,821,963","₫3,070,984","₫2,745,243","₫2,767,743","₫2,245,984","₫2,590,737"
MV TTĐ,Deluxe Room,"₫2,317,972","₫3,462,333","₫2,731,239","₫2,761,437","₫2,829,670","₫2,299,090"
