Hotel,URL,Room to be extracted
Renaissance Danang Hoi An Resort & Spa,https://www.agoda.com/vi-vn/renaissance-hoi-an-resort-spa_3/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=a03a6ca8-2219-41ad-b4fe-ed1c53ae9d6a&checkin=2026-02-06,"Deluxe, Guest room, 2 Twin, Garden view, Balcony"
Reu Boutique Hotel - Hotel,https://www.agoda.com/vi-vn/reu-boutique-hotel/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=96f5ec9a-9f35-4e58-808e-5fe3684073bc&checkin=2026-02-06,Superior 2 giường hoặc giường đôi (Superior Twin or Double)
Sea'lavie Boutique Resort & Spa,https://www.agoda.com/vi-vn/sealavie-boutique-resort-and-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=232885b6-67b5-4274-8fa1-ae1c2623f21e&checkin=2026-02-06,Phòng Deluxe Giường đôi Nhìn ra Hồ bơi (Deluxe Double Pool View)
Sen Village Hội An (Sen Village Hoi An) - Hotel,https://www.agoda.com/vi-vn/sen-retreat-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=95ddaec6-232e-4423-bb0a-adca014fc55d&checkin=2026-02-06,Phòng Loại Sang (Deluxe Room)
Shoreline Stay - Hotel,https://www.agoda.com/vi-vn/the-shoreline-stay_3/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=64cf81e9-3941-46e1-bcde-15fd1a7c43d2&checkin=2026-02-06,Cao cấp Hướng Bể Bơi (Superior Pool View)
Sol An Bang Beach Resort & Spa,https://www.agoda.com/sol-an-bang-beach-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=17&los=1&searchrequestid=6cb2e5e7-05d2-490b-b8ae-b0d0c702db7e&ds=sKBy4LzJohpzc%2BOe,Deluxe Room
Sứ Retreat Hoi An - Riverfront Resort,https://www.agoda.com/vi-vn/s-retreat-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=31885505-090c-4040-bd42-647b01dbbe94&checkin=2026-02-10,Suite Lớn có Ban Công (Executive Suite with Balcony)
The Saga Hotel Hoi An - Hotel,https://www.agoda.com/vi-vn/the-saga-hotel-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=0ee6c6e9-dfdd-42f8-b334-d580381398f2&checkin=2026-02-06,Phòng Superior 2 giường (Superior Twin Room)
The Signature Hoi An,https://www.agoda.com/the-signature-hoi-an/hotel/hoi-an-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-06-28&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=59dc9e56-4b06-4a8e-a3f5-08dc9c77da54&ds=t8qF3GhOFoeYR4aV,Signature Lantern Room
Victoria Hoi An Beach Resort & Spa,https://www.agoda.com/vi-vn/victoria-hoi-an-beach-resort-spa/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&los=1&searchrequestid=baa55b58-76f1-4fd8-8b7e-0588df452f6b&checkin=2026-02-06,Phòng Đôi Hướng Sông (River View Double Room)
