hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Lotte Hotel,Deluxe Twin City View,"₫7,271,940","₫7,163,000","₫5,453,872","₫5,561,400","₫5,277,941",NA
Nicecy Saigon Hotel,Superior Double Room,SOLD OUT,NA,NA,NA,NA,NA
Kin Hotel Thi Sach,Deluxe Twin Room,NA,NA,NA,NA,NA,NA
Mai House,Deluxe King,NA,NA,NA,NA,NA,NA
M Gallery,"DELUXE ROOM, 1 King Size Bed, City View",NA,NA,NA,NA,NA,NA
Nikko,Deluxe King,"₫7,424,887","₫7,426,493",NA,NA,NA,NA
Sheraton,"Guest Room, 1 King","₫11,000,000","₫11,000,000","₫11,000,000","₫9,200,000","₫6,500,000","₫6,500,000"
La Siesta Premium Saigon,No Window - Superior Room,"₫7,863,316","₫6,375,000","₫6,059,314","₫7,440,000","₫8,307,124","₫7,285,714"
Novotel,"Superior Room, 1 King Bed","₫5,110,000","₫3,540,000","₫4,090,000",NA,NA,NA
Pullman Saigon Centre Hotel,Superior 2 Single Beds,"₫5,400,000","₫4,680,000","₫5,610,000","₫5,100,000","₫4,510,000",NA
New World Saigon Hotel,Premier Room King,SOLD OUT,NA,NA,NA,NA,NA
