Hotel,URL,Room to be extracted
The Mist Boutique  - Deluxe City View,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Deluxe City View
The Mist Boutique - Deluxe Mountain View,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Deluxe Mountain View
The Mist Boutique - Double Room,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Double Room
The Mist Boutique - Executive Suite,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Executive Suite
The Mist Boutique - Signature Suite,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Signature Suite
The Mist Boutique - Suite City View Room,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Suite City View Room
The Mist Boutique - Suite Mountain View,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Suite Mountain View
The Mist Boutique - Tripple Balcony,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Triple Balcony
The Mist Boutique - Tripple Deluxe,https://www.agoda.com/the-mist-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1917614&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=db1cfae1-30f2-4c21-94e3-b6d1b21c28c1&ds=WCvMDeNTDlHf9b9e&checkin=2026-01-06,Triple Deluxe
The Pink Boutique Hotel,https://www.agoda.com/the-pink-boutique-hotel/hotel/dalat-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-07-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&tspTypes=2&los=1&searchrequestid=35b7bd7e-edc5-48cd-bfc9-22c1a3529ba2&ds=GK%2BAXD%2B55oiPibg6,Classic Double
