input_url,hotel_name,property_id,source,provider_id,review_id,rating,rating_text,title,text,text_original,title_original,positives,negatives,review_date,review_date_text,check_in,check_out,stay_month,author,country,traveler_type,room_type,nights,helpful_votes,reply,reply_by,reply_date,reply_date_text,language,photos,crawled_at
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1143492613,9.2,Exceptional,Relaxing stay,"We stayed at Almanity for 3 nights in the heat of June. The pool was magical and provided relief from the heat and made our stay wonderful and relaxing. There were plenty of sunlounges and shade. The pool cafe was a highlight, serving delicious drinks and food. I recommend the club sandwich. MOC Garden restaurant also served delicious meals. It is a bit of a walk to get to the ancient town - but once the sun goes down the walk is ok. The breakfast provided lots of options and is a real highlight. ",,,,,2026-07-07,"July 07, 2026",2026-06-26,2026-06-29,June 2026,Ulrike,Australia,Couple,Deluxe Pool Double or Twin,3,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Booking.com,3038,1145332801,9.0,Exceptional,An amazingly nice hotel…,,,,"The pool is absolutely amazing….rooms are well appointed, clean and comfortable beds….easy walk into the old town……",,2026-06-29,"June 29, 2026",,,,Kevin,,Couple,,0,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1141732011,10.0,Exceptional,Peaceful Stay,"It’s very good hotel with great people. Stay, food and ambiance was so delighted.",,,,,2026-07-04,"July 04, 2026",2026-07-02,2026-07-04,July 2026,Akarshan,India,Couple,Superior Town Double or Twin,2,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Booking.com,3038,1131029123,10.0,Exceptional,Very nice,,,,"Clean, cool room, quiet AC, lots of space. Lovely pool and breakfast buffet.",,2026-06-05,"June 05, 2026",,,,RICHARD,,Solo traveler,,0,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1141272199,10.0,Exceptional,Lots of shade,"I really enjoyed the Pool area as it was in the shade for most of the day. It was only a 5 to 10 minute walk into the main part of Hoi An, which was great as grabs (and traffic) are hard to get during peak hours. In saying that there are plenty of great restaurants nearby. After staying there a couple of days, I really started appreciating the location.",,,,,2026-07-03,"July 03, 2026",2026-06-27,2026-06-29,June 2026,Gus,Australia,Family with teens,Loft Room Double or Twin,2,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Booking.com,3038,1105079425,8.0,Excellent,"Good place, but probably better value for money",,,,"Nice property, great breakfast, even better location. Definitely on the pricier side for Hoi An, but was reliable. Comfy bed","Rooms were a little More dated than the photos made it seem. We like The free bikes the hotel
Advertised but they only had 13 and all were taken by the time we got there on 3/4 days we tried in our week long stay.",2026-04-02,"April 02, 2026",,,,Cameron,,Couple,,0,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1141250232,10.0,Exceptional,Great stay,"Great stay in a great location. Staff were great, pool area was nice, spa treatment was well priced and great. Gym was great too, Would stay here again",,,,,2026-07-03,"July 03, 2026",2026-06-30,2026-07-02,June 2026,Hinda,United States,Solo traveler,Loft Room Double or Twin,2,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Booking.com,3038,1105079440,9.0,Exceptional,Excellent,,,,Lots of variety for breakfast. The hotel has bikes you can rent which was great. Pool table in the bar was a nice surprise.,"In the lift rooms, the wooden stairs are slippery. Also the lights for the vanity are connected to the lights in the main room which isn't ideal.",2026-03-27,"March 27, 2026",,,,Alisac,,Couple,,0,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1138737056,10.0,Exceptional,"Es recomendado. El valor es mas alto que el promedio , pero es seguro.","Es un buen lugar para hospdarse , tiene restaurantes y cafes cerca , la habitación estaba limpia con pocos detalles, las toallas y sabanas muy limpias. El staff es amable, solo me preocupo el staff de la piscina , que un dia lo note tomando videos de nosotros y no tuve oportunidad de preguntar. Nos ofrecio rociar con agua fria , y luego lo descubri tomando videos. Extraño.",,,,,2026-06-28,"June 28, 2026",2026-06-23,2026-06-28,June 2026,Jimmy,Australia,Group,Loft Room Double or Twin,5,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Booking.com,3038,1099831490,10.0,Exceptional,Amazing hotel experience in Hoi An,,,,"We stayed 2 nights there and everything was fantastic to us: the staff, breakfast, pool, our room and location. It was my birthday week and there was tillite birthday cake waiting in our room. We stayed in loft room which was amazing, Hotel provides bikes for free which we used them on both days. Very big and delicious breakfast. Hotel also provides cooking class and small group daily trips. 
I would definitely recommend this hotel to everyone where you relax and get the best hospitality from hotel's staff. 
Thank you all Almanity resort!",,2026-03-23,"March 23, 2026",,,,Sebastian,,Couple,,0,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1138813594,10.0,Exceptional,Wow!!,"Great resort and spa. One of the best places we stayed in during our visit to VN. Great facilities, super helpful staff, and amazing breakfast. I highly recommend!!",,,,,2026-06-28,"June 28, 2026",2026-06-17,2026-06-20,June 2026,Tomas,United States,Couple,Loft Room Double or Twin,3,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Booking.com,3038,1099831501,10.0,Exceptional,Love it,,,,Very nice . Great room. Excellent location . Very kind staff. Want to help all the time .,,2026-03-15,"March 15, 2026",,,,Simcha,,Couple,,0,0,,Almanity Hoi An Resort & Spa,,,en,,2026-07-16 15:03
https://www.agoda.com/vi-vn/almanity-hoi-an-wellness-resort-spa-inclusive/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-06-2&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject+Object%5D&tspTypes=-1&los=1&searchrequestid=4f54fde2-ec5e-4614-8b67-3d8f0b705149&ds=GK%2BAXD%2B55oiPibg6,Almanty - Junior Suite,686575,Agoda,332,1138530475,9.2,Exceptional,Hotel right in front of Mike Beach,"The accommodation is right in front of Mike Beach. The hotel was clean and it was nice to have afternoon tea. The rooftop pool offered a great view of Mike Beach, and having a drink at the beach beer shop after dinner brought a sense of romance... Especially for those flying during the day, the airport pickup was really convenient. I will definitely use it again next time.","숙소 바로앞이 미케비치 입니다.
호텔은 깨끗하고 에프터눈 티가 있어서 좋았어요
옥상에 수영장은 미케비치 해변을 한눈에 볼 수 있었고
저녁에 밥 먹고 해변 맥주가게에서 한잔하면 낭만은 저절로... 
특히 낮비행기 이용객들에게 공항 픽업은 정말 유용했습니다
다음번에도 이용 하겠습니다",미케비치 바로 앞 호텔,,,2026-06-27,"June 27, 2026",2026-06-25,2026-06-26,June 2026,상준,South Korea,Couple,Loft Room Double or Twin,1,0,,Almanity Hoi An Resort & Spa,,,ko,,2026-07-16 15:03
