hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Harvest Day Hoi An - Hotel,Standard Double with Garden View,"2,337,643","1,968,961","2,256,571","2,469,029","1,968,961","2,450,032"
Reu Boutique Hotel - Hotel,Superior 2 giường hoặc giường đôi (Superior Twin or Double),"1,826,898","2,141,683","2,127,112","2,141,777","2,149,601","2,141,196"
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony","2,500,000","2,400,000","2,185,448","2,400,000","2,400,000","2,300,000"
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),"2,953,217","3,032,848","2,753,124","3,007,098","7,125,284","2,534,135"
KOI Resort and Spa Hoi An,Bungalow Nhìn ra vườn (Bungalow with Garden View),"1,769,110","7,527,968","1,715,762","1,717,345","1,716,605","1,717,001"
Hoi An Beach Resort,Phòng Superior (Superior Room),"1,747,831","1,686,054","1,373,347","1,747,160","1,374,792","1,440,649"
Palm Garden Beach Resort & Spa,Superior giường đôi hoặc 2 giường đơn Hướng vườn (Superior Double or Twin with Garden View),"2,461,256","3,305,244","3,308,121","2,461,256","2,461,256","2,461,256"
ENSO Retreat Hoi An - Rediscovery & Serenity,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),"1,273,074","1,318,801","1,261,610","1,307,337","1,307,466","1,295,873"
Sứ Retreat Hoi An - Riverfront Resort,Suite Lớn có Ban Công (Executive Suite with Balcony),"2,703,704","2,424,043","3,218,695","3,306,878","3,306,878","3,306,878"
Banla Boutique Hotel,Classic Double Room,"916,513","1,125,220","1,125,220","1,125,220","1,125,220","1,125,220"
Mơ Stay - Forest Resort,Deluxe Balcony Room,"3,703,704","4,444,444","3,703,704","3,703,704","3,703,704","3,703,704"
Ana Mandara Villas Dalat Resort & Spa,Villa Double Room,"2,261,905","2,387,566","2,261,905","2,261,905","2,387,566","2,261,905"
Colline Dalat,Superior Double Room,"1,512,783","1,512,783","1,733,862","1,733,862","1,703,968","1,703,968"
Terracotta Hotel and Resort Dalat,Superior Twin,"1,784,832","1,784,832","1,766,667","1,766,667","1,766,667","1,766,667"
Le Recit Boutique Hotel de Dalat,Deluxe Twin,"966,490","966,490","966,490","966,490","966,490","966,490"
Swiss-Belresort Tuyen Lam Dalat,Deluxe Mountain View King Room,"1,303,704","1,089,325","1,089,325","1,111,111","1,111,111","1,174,603"
Nexus House An Son Da Lat,Standard Double with Balcony,"426,626","613,747","613,747","600,826","600,826","600,826"
The Pink Boutique Hotel,Classic Double,"875,580","875,580","1,065,307","1,065,307","1,065,307","1,065,307"
Túi Ba Gang Central Hotel,Deluxe Room -- 1 Bed,"794,151","1,102,293","1,102,293","794,151","1,102,293","857,339"
Mùa Dalat Wellness Hotel,Superior Double Room,"1,586,861","1,586,861","1,586,861","1,586,861","1,586,861","1,586,861"
Mercure Dalat Resort,Deluxe Twin,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Bach Place Dalat,Deluxe Twin - Breakfast,"854,347","1,411,217","1,411,217","1,323,175","1,323,175","1,323,175"
The Mist Boutique - Deluxe City View,Deluxe City View,"1,180,282","1,578,571","1,578,571","1,180,282","1,457,143","1,457,143"
The Mist Boutique - Suite City View Room,Suite City View Room,"1,929,365","1,929,365","1,929,365","1,780,952","1,780,952","1,780,952"
The Mist Boutique - Double Room,Double Room,"996,191","996,191","996,191","996,191","1,133,333","1,133,333"
The Mist Boutique - Deluxe Mountain View,Deluxe Mountain View,"2,115,079","2,115,079","2,115,079","1,674,109","1,952,381","1,952,381"
The Mist Boutique - Suite Mountain View,Suite Mountain View,"2,548,413","2,548,413","2,548,413","2,352,381","2,352,381","2,352,381"
The Mist Boutique - Signature Suite,Signature Suite,"3,012,699","3,012,699","3,012,699","2,780,953","2,780,953","2,780,953"
The Mist Boutique - Executive Suite,Executive Suite,"2,641,270","2,235,575","2,235,575","2,438,095","2,438,095","2,235,575"
The Mist Boutique - Tripple Deluxe,Triple Deluxe,"1,483,014","1,483,014","2,001,588","1,847,619","1,847,619","1,847,619"
The Mist Boutique - Tripple Balcony,Triple Balcony,"2,156,349","1,582,611","2,156,349","1,990,476","1,990,476","1,990,476"
Mai Chau Ecolodge,Superior Twin Room with Garden View,"2,031,746","2,031,746","2,116,402","2,328,042","2,328,042","2,328,042"
Avana Retreat,Mountain Suite,"7,158,289","7,158,289","7,158,289","7,158,289","7,158,289","7,158,289"
TOKI Ecolodge Cao Răm,"Basic Room, Mountain View",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Mit Retreat,One Bedroom Deluxe Mountain View,"1,946,243","1,946,243","1,824,603","1,824,603","1,824,603","1,824,603"
Bakhan Village Resort,Bungalow - Garden View,"1,841,270","1,841,270","1,841,270","1,841,270","1,841,270","1,841,270"
Hotel de la Coupole - MGallery,Classic Room Twin,"3,055,000","3,055,000","3,055,000","3,055,000","3,055,000","3,585,719"
Ville De Mont Mountain Resort,On the Rock 1-Bedroom Executive Villa,"7,456,913","5,628,448","7,456,913","7,456,913","7,456,913","7,456,913"
Silk Path Grand Sapa Resort & Spa,Classic Garden View,"2,112,118","2,063,492","2,063,492","2,063,492","1,984,127","1,984,127"
Sapa Jade Hill Resort & Spa,Deluxe Valley View Room,"1,609,097","1,609,097","1,826,825","1,826,825","1,609,097","1,826,825"
KK Sapa Hotel,Superior Twin City View,"1,436,827","1,488,523","1,543,638","1,488,523","1,488,523","1,488,523"
Pao's Sapa Leisure Hotel,Deluxe Garden View,"1,944,444","1,944,444","1,944,444","1,805,556","1,805,556","1,805,556"
Topas Ecolodge,Deluxe Suite,"9,657,657","9,657,657","8,159,531","9,657,657","9,657,657","9,657,657"
Citadines Central Binh Duong,Studio Premier,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Fairfield by Marriott South Binh Duong,"Guest room, 2 Twin",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,"1,690,000"
HIIVE by fusion Binh Duong - VSIP 1,Superior Twin,"1,570,547","1,455,908","1,570,547","1,570,547","1,570,547","1,570,547"
Becamex Hotel New City,Twin One Bedroom Suite,"1,508,048","1,498,066","1,496,623","1,488,852","1,493,388","1,490,020"
Legacy Mekong,"Bungalow, 2 Twin, Garden View",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Sheraton Can Tho,"Guest room, 2 Twin",SOLD OUT,SOLD OUT,SOLD OUT,"1,500,000",SOLD OUT,"1,500,000"
Vedana Lagoon Wellness Resort & Spa - Villa bên hồ (Water Villa),Villa bên hồ (Water Villa),"5,328,129","4,316,130","4,097,256","4,058,489","4,290,930","4,475,238"
Vedana Lagoon Wellness Resort & Spa - Hillside Biệt thự Có hồ bơi (Hillside Pool Villa),Hillside Biệt thự Có hồ bơi (Hillside Pool Villa),"4,099,807","4,476,466","4,223,816","4,271,632","4,290,930","4,992,784"
Vedana Lagoon Wellness Resort & Spa - 2 Bedrooms Lagoon View Villa with Free Afternoon Cocktail,2 Bedrooms Lagoon View Villa with Free Afternoon Cocktail,"6,990,376","2,329,203","4,975,310","4,975,310","4,761,362","4,767,686"
Vedana Lagoon Wellness Resort & Spa - Villa cạnh đồi (Hillside Villa),Villa cạnh đồi (Hillside Villa),"5,578,600","5,555,523","5,585,113","5,542,949","5,542,949","5,547,582"
Vedana Lagoon Wellness Resort & Spa - Biệt Thự Hồ Bơi 2 Phòng Ngủ Hướng Đầm Phá - Miễn Phí Cocktail Buổi Chiều (2 Bedrooms Lagoon View Pool Villa - Free afternoon cocktail),Biệt Thự Hồ Bơi 2 Phòng Ngủ Hướng Đầm Phá - Miễn Phí Cocktail Buổi Chiều (2 Bedrooms Lagoon View Pool Villa - Free afternoon cocktail),"6,638,211","9,877,509","4,741,992","4,714,484","4,858,571","4,886,855"
Vedana Lagoon Wellness Resort & Spa - Biệt Thự Trên Mặt Nước Có Hồ Bơi - Cocktail Chiều Miễn Phí (Water Pool Villa - Free afternoon cocktail),Biệt Thự Trên Mặt Nước Có Hồ Bơi - Cocktail Chiều Miễn Phí (Water Pool Villa - Free afternoon cocktail),"6,378,971","5,880,191","5,862,426","5,868,382","5,887,534","5,892,454"
Ancient Huế Garden Houses (Ancient Hue Garden Houses),Phòng Đôi Hướng Vườn (Double Room with Garden View),"2,755,888","2,755,888","3,968,254","2,755,888","4,093,118","3,968,254"
Wink,1 Queen Bed,"1,750,000","1,650,000","1,550,000","1,550,000","1,550,000","1,550,000"
Wink,2 Twin Beds,"1,750,000","1,650,000","1,550,000","1,550,000","1,550,000","1,550,000"
Au Lac Charner,Ruffier Deluxe Twin Room without Window,"2,563,492","2,563,492","2,563,492","2,563,492","2,010,989","2,563,492"
Au Lac Charner,Vannier Premier Twin Room,"2,058,489","2,058,489","2,660,000","2,660,000","2,660,000","2,660,000"
Silverland Ben Thanh_Spring Field - No Window,Spring Field - No Window,"2,818,166","2,818,166","2,818,166","3,530,864","3,338,271","3,244,444"
Silverland Ben Thanh_Sunshine Garden - Double or Twin,Sunshine Garden - Double or Twin,"3,630,952","3,503,527","2,591,498","3,600,705","3,549,559","3,304,056"
M Hotel,Zen Corner,"1,967,866","1,967,866","2,596,413","1,967,866","1,967,866","1,967,866"
Hato,Deluxe Double No Window,"867,919","867,919","867,919","867,919","867,919","867,919"
Hato,Premium Twin Room - Non-Smoking,"1,892,416","1,790,123","2,045,855","1,790,123","1,687,831","1,687,831"
La Siesta Hoi An Resort & Spa 1,Classic Wing Deluxe Room,"2,855,704","2,855,704","2,855,704","2,855,704","2,855,704","3,262,787"
La Siesta Hoi An Resort & Spa,Club Wing Junior Suite with Balcony,"6,104,763","7,380,952","12,809,524","7,571,429","7,571,429","5,026,455"
The Signature Hoi An,Signature Lantern Room,"2,420,000","1,894,317","2,300,000","1,894,317","1,894,317","2,150,317"
Moire Hoi An Vignette Collection By IHG,1 King Deluxe,"3,718,589","6,041,503","6,566,851","6,619,385","5,910,165","4,728,132"
Sol An Bang Beach Resort & Spa,Deluxe Room,"1,573,417","2,042,111","2,333,841","1,573,417","2,333,841","2,333,841"
Dechiu Hotel 1 - Hotel,Double Room with Queen Bed - Non-Smoking,"3,897,707","3,897,707","2,922,686","2,922,686","3,897,707","2,922,686"
Dechiu Hotel - Hotel,Double Room with Sea View,"5,651,675","5,651,675","5,651,675","5,651,675","5,651,675","3,931,136"
La siesta - Khu Cổ điển Phòng Deluxe (Classic Wing Deluxe Room),Khu Cổ điển Phòng Deluxe (Classic Wing Deluxe Room),"2,855,704","2,855,704","2,855,704","2,855,704","2,855,704","3,262,787"
La siesta - Phòng Hai Giường Đơn Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Twin Room with Balcony),Phòng Hai Giường Đơn Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Twin Room with Balcony),"2,690,876","2,690,876","2,690,876","2,690,876","5,000,000","2,766,614"
La siesta - Phòng Đôi Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Double Room with Balcony),Phòng Đôi Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Double Room with Balcony),"2,690,876","2,690,876","2,690,876","2,690,876","2,690,876","2,690,876"
La siesta - Khu Cổ điển Grand Suite (Classic Wing Grand Suite),Khu Cổ điển Grand Suite (Classic Wing Grand Suite),"2,855,704","6,619,048","2,855,704","7,571,429","2,855,704","4,365,079"
La siesta - La Siesta Suite,La Siesta Suite,"6,619,048","7,095,238","4,368,707","4,368,707","4,368,707","4,365,079"
La siesta - Suite La Siesta - Cánh Cổ Điển (La Siesta Suite - Classic Wing),Suite La Siesta - Cánh Cổ Điển (La Siesta Suite - Classic Wing),"6,619,048","7,095,238","3,550,039","3,550,039","4,368,707","4,365,079"
La siesta - Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),"3,868,094","3,868,094","3,868,094","3,868,094","3,868,094","3,868,094"
La siesta - Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),"9,000,000","7,380,952","7,571,429","7,571,429","7,571,429","5,026,455"
La siesta - Suite Lớn Phía Hội Viên Hướng Bể Bơi (Club Wing Executive Pool View Suite),Suite Lớn Phía Hội Viên Hướng Bể Bơi (Club Wing Executive Pool View Suite),"9,000,000","7,857,143","7,095,238","7,857,143","8,047,619","5,246,914"
La siesta - Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),"9,000,000","8,047,619","7,571,429","8,523,810","5,056,037","5,687,831"
La siesta - Khu Cổ điển Phòng Gia đình (Classic Wing Family Room),Khu Cổ điển Phòng Gia đình (Classic Wing Family Room),"2,855,704","2,855,704","2,855,704","7,571,429","2,855,704","6,128,748"
La siesta - Suite Hai Tầng Thương Gia Phía Hội Viên có Ban Công (Club Wing Executive Duplex Suite with Balcony),Suite Hai Tầng Thương Gia Phía Hội Viên có Ban Công (Club Wing Executive Duplex Suite with Balcony),"6,104,763","6,104,763","6,104,763","6,104,763","9,000,000","5,952,381"
La siesta - Standard Suite (Pool View),Standard Suite (Pool View),NA,SOLD OUT,NA,NA,NA,NA
La siesta - Suite,Suite,"9,000,000","7,857,143","7,095,238","7,857,143","8,047,619","5,246,914"
La siesta - Suite Junior Tiêu Chuẩn (Junior Suite Standard),Suite Junior Tiêu Chuẩn (Junior Suite Standard),NA,"8,648,264","6,801,966","7,258,559",NA,NA
La siesta - Duplex Room,Duplex Room,NA,SOLD OUT,NA,NA,NA,NA
La siesta - Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),"9,000,000","7,380,952","12,809,524","7,571,429","15,238,095","8,642,851"
MV Hotel Hoi An - Deluxe giường King có ban công (Deluxe King with Balcony),Deluxe giường King có ban công (Deluxe King with Balcony),"2,244,987","2,775,228","2,668,688","2,337,594","2,396,844","2,318,417"
MV Hotel Hoi An - Phòng Loại Sang Hướng Bể Bơi 2 Giường Đơn (Deluxe Twin Pool View),Phòng Loại Sang Hướng Bể Bơi 2 Giường Đơn (Deluxe Twin Pool View),"2,804,251","2,799,809","2,552,309","2,372,852","2,384,131","2,353,386"
MV Hotel Hoi An - Phòng Deluxe 2 Giường đơn với Ban công (Deluxe Twin Beds with Balcony),Phòng Deluxe 2 Giường đơn với Ban công (Deluxe Twin Beds with Balcony),"2,224,630","2,775,228","2,668,688","2,306,010","2,349,550","2,305,123"
MV Hotel Hoi An - Deluxe King Pool View with Balcony,Deluxe King Pool View with Balcony,"2,684,583","2,833,928","2,555,857","2,559,719","2,387,592","2,447,801"
