hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Harvest Day Hoi An - Hotel,Standard Double with Garden View,"1,971,032","1,971,032","1,971,032","2,487,467","1,971,032","2,255,035"
Little Oasis - Hotel,Little Oasis Deluxe,"1,585,289","1,794,690","1,700,281","1,822,919","1,561,805","1,808,805"
Grand Sunrise Palace Hội An - Hotel,Phòng Loại Sang Giường Đôi (Deluxe Double Room),"1,420,808","2,555,726","1,420,808","1,420,808","2,290,911","1,745,775"
Reu Boutique Hotel - Hotel,Superior 2 giường hoặc giường đôi (Superior Twin or Double),"2,014,843","2,187,627","2,130,627","2,513,095","1,801,429","1,801,429"
Maison Vy - Hotel,Giường Lớn Cao Cấp (Superior King),"1,368,271","1,413,793","1,373,893","1,500,456","1,386,072","1,499,862"
Sen Village Hội An (Sen Village Hoi An) - Hotel,Phòng Loại Sang (Deluxe Room),"1,277,601","1,295,008","1,242,333","2,575,157","2,423,746","2,422,356"
The Saga Hotel Hoi An - Hotel,Phòng Superior 2 giường (Superior Twin Room),"1,320,591","1,332,209","1,636,486","1,332,837","1,246,654","1,325,152"
Hoi An Chic Green Retreat - Hotel,Chic Suite,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Hoi An Eco Lodge & Spa - Hotel,Phòng Superior giường King (Superior King Room),"833,991","833,991","833,991","833,991","833,991","833,991"
AIRA Boutique Hoi An Hotel & Spa - Hotel,Phòng Loại Sang (Deluxe Room),"1,762,644","2,106,102","2,144,395","2,153,968","2,153,968","1,762,644"
Shoreline Stay - Hotel,Cao cấp Hướng Bể Bơi (Superior Pool View),"1,558,638","2,001,938","2,001,938","1,558,638","1,558,638","2,001,938"
Renaissance Danang Hoi An Resort & Spa,"Deluxe, Guest room, 2 Twin, Garden view, Balcony",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Victoria Hoi An Beach Resort & Spa,Phòng Đôi Hướng Sông (River View Double Room),"2,338,943","3,218,695","3,042,328","3,218,695","2,896,826","2,896,826"
KOI Resort and Spa Hoi An,Bungalow Nhìn ra vườn (Bungalow with Garden View),"2,639,767","2,639,767","2,639,767","1,738,321","1,738,321","2,639,767"
Hoi An Beach Resort,Phòng Superior (Superior Room),"1,567,549","1,765,432","1,765,432","1,765,432","1,374,792","1,533,333"
Palm Garden Beach Resort & Spa,Superior giường đôi hoặc 2 giường đơn Hướng vườn (Superior Double or Twin with Garden View),"2,483,346","2,483,346","2,483,346","2,721,536","2,483,346","2,483,346"
Boutique Hoi An Resort,Phòng Superior (Superior Room),"3,600,000","3,600,000","3,600,000","3,600,000","3,018,231","3,600,000"
Sea'lavie Boutique Resort & Spa,Phòng Deluxe Giường đôi Nhìn ra Hồ bơi (Deluxe Double Pool View),"2,500,000","2,500,000","1,888,889","1,637,037","1,637,037","1,637,037"
ENSO Retreat Hoi An - Rediscovery & Serenity,Phòng Deluxe giường đôi Hướng vườn (Deluxe Double Room Garden View),"1,432,981","1,432,981","1,432,981","1,432,981","1,432,981","1,432,981"
Hoi An Coco River Resort & Spa,Phòng Loại Sang Giường Đôi Hướng Vườn (Deluxe Double Garden View),"4,899,079","4,899,079","4,899,079","4,899,079","4,899,079","4,899,079"
Sứ Retreat Hoi An - Riverfront Resort,Suite Lớn có Ban Công (Executive Suite with Balcony),"3,218,695","3,218,695","2,351,433","3,306,878","3,306,878","2,351,433"
LEGACY HOI AN RESORT,Phòng Superior hướng vườn (Superior Garden View Room),"2,016,195","1,974,978","2,397,451","1,909,718","1,703,633","1,700,198"
Premier Senvila Boutique Resort & Spa,Deluxe Poolside Balcony with Garden View,"890,744","1,063,492","1,063,492","945,326","945,326","945,326"
Banla Boutique Hotel,Classic Double Room,"1,125,220","1,125,220","923,175","1,125,220","1,125,220","1,125,220"
Mơ Stay - Forest Resort,Deluxe Balcony Room,"2,922,693","4,232,804","4,232,804","4,232,804","4,232,804","4,232,804"
Ana Mandara Villas Dalat Resort & Spa,Villa Double Room,"2,261,905","2,387,566","2,261,905","2,261,905","2,261,905","2,261,905"
Colline Dalat,Superior Double Room,"1,631,570","1,733,862","1,733,862","1,733,862","1,703,968","1,703,968"
Terracotta Hotel and Resort Dalat,Superior Twin,"1,784,832","1,784,832","1,766,667","1,869,489","1,766,667","1,766,667"
Le Recit Boutique Hotel de Dalat,Deluxe Twin,"966,490","966,490","966,490","966,490","966,490","966,490"
Swiss-Belresort Tuyen Lam Dalat,Deluxe Mountain View King Room,"1,089,325","1,089,325","1,089,325","1,111,111","1,111,111","1,089,325"
Nexus House An Son Da Lat,Standard Double with Balcony,"561,320","613,747","613,747","600,826","600,826","600,826"
The Pink Boutique Hotel,Classic Double,"1,094,285","879,131","1,065,307","1,065,307","1,065,307","1,065,307"
Túi Ba Gang Central Hotel,Deluxe Room -- 1 Bed,"1,102,293","805,943","1,102,293","1,102,293","1,102,293","857,339"
Mùa Dalat Wellness Hotel,Superior Double Room,"1,276,405","1,586,861","1,586,861","1,586,861","1,586,861","1,586,861"
Mercure Dalat Resort,Deluxe Twin,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Bach Place Dalat,Deluxe Twin - Breakfast,"854,369","1,323,175","1,323,175","1,323,175","1,323,175","1,323,175"
The Mist Boutique - Deluxe City View,Deluxe City View,"1,457,143","1,457,143","1,216,364","1,457,143","1,457,143","1,457,143"
The Mist Boutique - Suite City View Room,Suite City View Room,"1,780,952","1,780,952","1,415,111","1,780,952","1,780,952","1,780,952"
The Mist Boutique - Double Room,Double Room,"1,133,333","1,133,333","990,446","990,446","1,133,333","1,133,333"
The Mist Boutique - Deluxe Mountain View,Deluxe Mountain View,"1,952,381","1,952,381","1,952,381","1,675,651","1,952,381","1,952,381"
The Mist Boutique - Suite Mountain View,Suite Mountain View,"2,352,381","2,352,381","2,352,381","2,352,381","2,352,381","2,352,381"
The Mist Boutique - Signature Suite,Signature Suite,"2,780,953","2,780,953","2,780,953","2,780,953","2,780,953","2,780,953"
The Mist Boutique - Executive Suite,Executive Suite,"2,438,095","2,199,798","2,199,798","2,438,095","2,438,095","2,199,798"
The Mist Boutique - Tripple Deluxe,Triple Deluxe,"1,847,619","1,470,769","1,847,619","1,470,769","1,847,619","1,847,619"
The Mist Boutique - Tripple Balcony,Triple Balcony,"1,586,467",NA,"2,156,349","1,990,476","1,586,467","1,990,476"
Mai Chau Ecolodge,Superior Twin Room with Garden View,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Avana Retreat,Mountain Suite,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
TOKI Ecolodge Cao Răm,"Basic Room, Mountain View",SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Mit Retreat,One Bedroom Deluxe Mountain View,"2,858,545","2,858,545","2,736,905","2,736,905","2,736,905","2,736,905"
Bakhan Village Resort,Bungalow - Garden View,"1,841,270","1,841,270","1,841,270","1,841,270","1,841,270","1,841,270"
