hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
La siesta - Khu Cổ điển Phòng Deluxe (Classic Wing Deluxe Room),Khu Cổ điển Phòng Deluxe (Classic Wing Deluxe Room),"2,849,286","4,000,000","3,428,571","2,849,286","4,476,190","3,439,153"
La siesta - Phòng Hai Giường Đơn Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Twin Room with Balcony),Phòng Hai Giường Đơn Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Twin Room with Balcony),"2,742,133","2,717,811","3,714,286","2,742,133","2,717,811","2,717,811"
La siesta - Phòng Đôi Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Double Room with Balcony),Phòng Đôi Loại Sang Phía Cổ Điển có Ban Công (Classic Wing Deluxe Double Room with Balcony),"2,742,133","4,476,190","3,714,286","2,742,133","4,666,667","2,742,133"
La siesta - Khu Cổ điển Grand Suite (Classic Wing Grand Suite),Khu Cổ điển Grand Suite (Classic Wing Grand Suite),"2,849,286","3,644,929","3,428,571","3,644,929","4,476,190","3,644,929"
La siesta - La Siesta Suite,La Siesta Suite,"4,353,581","5,666,667","6,142,857","5,666,667","4,353,581","5,246,914"
La siesta - Suite La Siesta - Cánh Cổ Điển (La Siesta Suite - Classic Wing),Suite La Siesta - Cánh Cổ Điển (La Siesta Suite - Classic Wing),"5,963,713","3,644,929","5,963,713","3,644,929","8,047,619","3,644,929"
La siesta - Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),Khu Club hướng hồ bơi Varanda Suite (Club Wing Pool View Veranda Suite),"3,828,995","3,828,995","3,828,995","3,828,995","3,828,995","5,246,914"
La siesta - Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),Khu Club Junior Suite có ban công (Club Wing Junior Suite with Balcony),"13,809,524","5,952,381","4,108,379","5,952,381","6,619,048","5,511,464"
La siesta - Suite Lớn Phía Hội Viên Hướng Bể Bơi (Club Wing Executive Pool View Suite),Suite Lớn Phía Hội Viên Hướng Bể Bơi (Club Wing Executive Pool View Suite),"7,571,429","6,142,857","6,142,857","6,142,857","7,095,238","5,687,831"
La siesta - Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),Khu Club cao cấp Suite có ban công (Club Wing Premium Suite with Terrace),"8,047,619","6,428,571","5,234,902","7,571,429","5,234,902","6,128,748"
La siesta - Khu Cổ điển Phòng Gia đình (Classic Wing Family Room),Khu Cổ điển Phòng Gia đình (Classic Wing Family Room),"2,849,286","7,095,238","3,428,571","7,095,238","4,476,190","4,516,610"
La siesta - Suite Hai Tầng Thương Gia Phía Hội Viên có Ban Công (Club Wing Executive Duplex Suite with Balcony),Suite Hai Tầng Thương Gia Phía Hội Viên có Ban Công (Club Wing Executive Duplex Suite with Balcony),"5,963,713","5,963,713","5,963,713","8,047,619","8,047,619","6,569,665"
La siesta - Standard Suite (Pool View),Standard Suite (Pool View),SOLD OUT,NA,NA,NA,NA,NA
La siesta - Suite,Suite,SOLD OUT,NA,NA,NA,NA,NA
La siesta - Suite Junior Tiêu Chuẩn (Junior Suite Standard),Suite Junior Tiêu Chuẩn (Junior Suite Standard),SOLD OUT,NA,NA,NA,NA,NA
La siesta - Duplex Room,Duplex Room,SOLD OUT,NA,NA,NA,NA,NA
La siesta - Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),Khu Club 2 tầng Suite có ban công (Club Wing Duplex Suite with Balcony),"13,809,524","12,809,524","13,095,238","13,095,238","6,619,048","12,786,596"
Grand Hoi An - Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),Phòng Deluxe Giường Đôi Có Ban Công (Deluxe Double Room with Balcony),"2,208,563","1,815,672","2,208,563","2,208,563","1,815,672","1,815,672"
Grand Hoi An - Phòng Deluxe 2 Giường đơn với Ban công (Deluxe Twin Beds with Balcony),Phòng Deluxe 2 Giường đơn với Ban công (Deluxe Twin Beds with Balcony),"2,208,563","1,815,672","2,208,563","2,208,563","1,815,672","1,815,672"
Grand Hoi An - Deluxe giường King có ban công (Deluxe King with Balcony),Deluxe giường King có ban công (Deluxe King with Balcony),"1,945,394","1,945,394","1,945,394","1,945,394","1,945,394",NA
Grand Hoi An - Phòng Loại Sang Hướng Bể Bơi 2 Giường Đơn (Deluxe Twin Pool View),Phòng Loại Sang Hướng Bể Bơi 2 Giường Đơn (Deluxe Twin Pool View),"2,040,275","2,040,275","2,040,275","2,040,275","2,040,275","2,040,275"
Grand Hoi An - Phòng Deluxe King có Tầm nhìn ra Hồ bơi và Ban công (Deluxe King Pool View with Balcony),Phòng Deluxe King có Tầm nhìn ra Hồ bơi và Ban công (Deluxe King Pool View with Balcony),"2,208,563","2,208,563","2,208,563","2,208,563","2,208,563","2,208,563"
Grand Hoi An - Biệt thự Deluxe (Villa Deluxe),Biệt thự Deluxe (Villa Deluxe),"4,070,194","5,750,265","3,666,667","3,666,667","5,447,619","5,447,619"
Grand Hoi An - Phòng Premier (Premier Room),Phòng Premier (Premier Room),NA,NA,NA,NA,NA,NA
Grand Hoi An - Villa có ban công (Villa with Balcony),Villa có ban công (Villa with Balcony),"3,127,337","3,026,455","2,723,810","2,723,810","2,723,810","2,723,810"
Grand Hoi An - Phòng Biệt Thự có Ban Công (Villa Room with Balcony),Phòng Biệt Thự có Ban Công (Villa Room with Balcony),"1,815,672","2,208,563","2,208,563","2,208,563","1,815,672","1,815,672"
Grand Hoi An - Duplex with Balcony,Duplex with Balcony,"2,371,593","2,371,593","2,371,593","2,371,593",NA,NA
Grand Hoi An - Phòng Thủ Tướng có Sân Hiên (Premier Room with Terrace),Phòng Thủ Tướng có Sân Hiên (Premier Room with Terrace),"2,208,563","2,208,563","2,208,563","2,208,563","2,208,563","2,208,563"
Grand Hoi An - Biệt Thự Suite Lớn 2 Giường Đơn Hướng Vườn Có Sân Hiên Hoặc Ban Công (Villa Grand Suite Twin Garden View with Terrace or Balcony),Biệt Thự Suite Lớn 2 Giường Đơn Hướng Vườn Có Sân Hiên Hoặc Ban Công (Villa Grand Suite Twin Garden View with Terrace or Balcony),"3,899,408","3,155,990","3,173,835","3,208,136","3,147,762","3,477,666"
Grand Hoi An - Biệt Thự Suite Junior Có Sân Hiên (Villa Junior Suite with Terrace),Biệt Thự Suite Junior Có Sân Hiên (Villa Junior Suite with Terrace),"3,746,429","3,248,813","3,268,137","3,302,493","3,241,297","3,375,000"
Grand Hoi An - Biệt Thự Phòng Suite (Villa Suite Room),Biệt Thự Phòng Suite (Villa Suite Room),"4,528,004","5,094,964","4,528,004","4,528,004","4,831,439","5,318,783"
Grand Hoi An - Villa Suite,Villa Suite,"4,279,718","3,977,072","3,876,190","3,876,190","3,876,190","3,876,190"
Grand Hoi An - Phòng Grand Suite giường King (Grand Suite King),Phòng Grand Suite giường King (Grand Suite King),NA,NA,NA,NA,NA,NA
Grand Hoi An - Biệt Thự Signature (Signature Villa),Biệt Thự Signature (Signature Villa),"4,070,194","5,750,265","3,666,667","3,666,667","5,447,619","5,447,619"
