hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Almanty - Junior Suite,Junior Suite,"3,857,143","3,857,143","3,857,143","3,857,143","3,857,143","4,232,738"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Bể Bơi (Superior Pool Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Bể Bơi (Superior Pool Double or Twin),"2,408,112","2,408,112","2,714,286","2,714,286","2,714,286","2,714,286"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Thị Trấn (Superior Town Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Thị Trấn (Superior Town Double or Twin),"2,115,385","2,476,190","2,476,190","2,476,190","2,476,190","2,476,190"
Almanty - Phòng Đôi hoặc Hai Giường Đơn có Gác Xép (Loft Room Double or Twin),Phòng Đôi hoặc Hai Giường Đơn có Gác Xép (Loft Room Double or Twin),"2,047,619","2,047,619","2,047,619","1,734,488","2,047,619","2,047,619"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Bể Bơi (Deluxe Pool Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Bể Bơi (Deluxe Pool Double or Twin),"3,190,476","3,190,476","3,190,476","3,190,476","3,190,476","3,190,476"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Thị Trấn (Deluxe Town Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Thị Trấn (Deluxe Town Double or Twin),"2,952,381","3,499,118","3,499,118","3,499,118","3,499,118","2,939,310"
Almanty - Suite có Bồn Sục Trên Tầng Thượng (Rooftop Jacuzzi Suite),Suite có Bồn Sục Trên Tầng Thượng (Rooftop Jacuzzi Suite),"4,345,679","4,345,679","4,345,679","4,345,679","4,345,679","3,248,228"
Almanty - Suite Giường Lớn hoặc Hai Giường Đơn Thương Gia (Executive Suite King or Twin),Suite Giường Lớn hoặc Hai Giường Đơn Thương Gia (Executive Suite King or Twin),"4,797,178","4,797,178","3,931,041","4,797,178","4,797,178","3,931,041"
Almanty - Suite Tổng thống (Presidental Suite),Suite Tổng thống (Presidental Suite),"14,673,721","14,673,721","14,673,721","14,673,721","14,673,721","14,673,721"
Ana Mandara Villas Dalat Resort & Spa,Villa Double Room,"2,261,905","2,261,905","2,261,905","2,261,905","2,261,905","2,261,905"
