hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Halais Hotel,Superior Room,"VND 1,059,302","VND 1,235,295","VND 1,059,302","VND 1,059,302","VND 1,059,302","VND 1,059,302"
Minasi HanoiOi Hotel,Premier Double Bed Room,"VND 2,552,245","VND 2,552,245","VND 2,552,245","VND 2,552,245","VND 2,552,245","VND 2,552,245"
Muong Thanh Hanoi Centre Hotel,Superior King Room,"VND 2,500,000","VND 2,500,000","VND 1,265,947","VND 2,500,000","VND 1,265,947","VND 1,265,947"
Mercure Hanoi La Gare Hotel,Classic Double Bed Room With City View,"VND 1,905,120","VND 1,723,680","VND 1,723,680","VND 1,723,680","VND 1,723,680","VND 1,723,680"
REY Hotel Hanoi,Standard Twin Room,"VND 2,500,000","VND 2,500,000","VND 2,300,000","VND 2,500,000","VND 2,300,000","VND 1,725,000"
La Passion Premium Cau Go,Grand Double Room,"VND 3,650,832","VND 3,650,832","VND 8,525,934","VND 8,775,000","VND 8,775,000","VND 8,756,230"
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),Cozy Deluxe Room,"VND 1,353,262","VND 4,000,000","VND 4,500,000","VND 1,578,806","VND 1,804,350","VND 1,578,806"
Nesta Hotel Hanoi,Superior Twin Room Non Smoking,"VND 1,213,913","VND 1,529,412","VND 1,213,913","VND 1,213,913","VND 1,277,803","VND 1,277,803"
Silk Path Boutique Hanoi,Superior Room,"VND 1,452,268","VND 1,452,268","VND 1,537,695","VND 1,537,695","VND 1,537,695","VND 1,537,695"
La Siesta Premium Hang Be,Superior Room No Window,"VND 1,981,980","VND 2,668,050","VND 3,811,500","VND 3,468,465","VND 3,201,660","VND 2,286,900"
Hanoi le Jardin Hotel & Spa,Cozy Le Jardin Classic Room,"VND 1,646,500","VND 5,220,000","VND 1,554,001","VND 1,646,500","VND 1,646,500","VND 1,646,500"
Hotel du Lac Hanoi,Deluxe Twin Internal Window,"VND 1,965,674","VND 2,089,270","VND 2,096,719","VND 2,096,719","VND 6,400,000","VND 2,096,719"
L'Signature Hotel & Spa,Superior Double No Window,"VND 3,047,678","VND 3,457,063","VND 3,249,088","VND 3,249,088","VND 3,249,088","VND 3,224,000"
Aira Boutique Hanoi Hotel & Spa,Deluxe Room,"VND 1,838,165","VND 2,364,143","VND 5,650,171","VND 2,578,945","VND 2,348,650","VND 2,368,607"
Melia Hanoi,Phòng Deluxe,"VND 11,017,698","VND 4,020,067","VND 7,325,613","VND 3,960,458","VND 3,960,458","VND 3,960,458"
Movenpick Hotel Hanoi Centre,Classic King Room,"VND 3,719,520","VND 3,447,360","VND 3,719,520","VND 3,719,520","VND 3,719,520","VND 3,583,440"
