hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Halais Hotel,Superior Room,"VND 1,235,295","VND 1,059,301","VND 1,059,301","VND 1,059,301","VND 1,059,301","VND 1,059,301"
Minasi HanoiOi Hotel,Premier Double Bed Room,"VND 1,576,086","VND 1,576,086","VND 1,467,391","VND 1,467,391","VND 1,467,391","VND 1,467,391"
Muong Thanh Hanoi Centre Hotel,Superior King Room,"VND 1,293,478","VND 2,500,000","VND 1,263,731","VND 1,263,731","VND 2,500,000","VND 1,263,731"
Mercure Hanoi La Gare Hotel,Classic Double Bed Room With City View,"VND 1,587,600","VND 1,587,600","VND 1,587,600","VND 1,587,600","VND 1,587,600","VND 1,587,600"
REY Hotel Hanoi,Standard Twin Room,"VND 2,160,000","VND 2,500,000","VND 2,500,000","VND 2,500,000","VND 2,300,000","VND 2,300,000"
La Passion Premium Cau Go,Grand Double Room,"VND 3,656,015","VND 8,775,000","VND 8,766,400","VND 8,535,837","VND 8,775,000","VND 8,775,000"
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),Cozy Deluxe Room,"VND 3,800,000","VND 1,754,441","VND 4,400,000","VND 1,804,347","VND 1,804,347","VND 1,578,804"
Nesta Hotel Hanoi,Superior Twin Room Non Smoking,"VND 1,494,734","VND 1,241,191","VND 1,409,662","VND 1,241,191","VND 1,241,191","VND 1,241,191"
Silk Path Boutique Hanoi,Superior Room,"VND 1,436,130","VND 1,436,130","VND 1,436,130","VND 1,436,130","VND 1,436,130","VND 1,436,130"
La Siesta Premium Hang Be,Superior Room No Window,"VND 2,134,440","VND 3,430,350","VND 2,668,050","VND 2,439,360","VND 2,668,050","VND 2,286,900"
Hanoi le Jardin Hotel & Spa,Cozy Le Jardin Classic Room,"VND 1,736,217","VND 1,736,217","VND 1,649,739","VND 1,480,108","VND 1,736,217","VND 1,480,108"
Hotel du Lac Hanoi,Deluxe Twin Internal Window,"VND 6,400,000","VND 2,246,861","VND 1,965,308","VND 1,996,458","VND 2,054,273","VND 2,054,273"
L'Signature Hotel & Spa,Superior Double No Window,"VND 3,317,576","VND 2,843,636","VND 3,080,605","VND 3,080,605","VND 3,080,605","VND 3,080,605"
Aira Boutique Hanoi Hotel & Spa,Deluxe Room,"VND 2,176,023","VND 2,172,606","VND 2,176,023","VND 2,176,549","VND 2,177,864","VND 2,176,286"
Melia Hanoi,Phòng Deluxe,"VND 6,896,130","VND 6,682,655","VND 3,463,708","VND 3,387,204","VND 3,387,204","VND 3,463,708"
Movenpick Hotel Hanoi Centre,Classic King Room,"VND 3,175,200","VND 3,175,200","VND 2,993,760","VND 2,993,760","VND 2,993,760","VND 2,993,760"
Hotel du Parc Hanoi,Deluxe King Room,"VND 2,591,216","VND 2,265,672","VND 2,265,672","VND 2,265,672","VND 2,269,090","VND 2,269,090"
The Oriental Jade Hotel,Oriental Pearl Twin,"VND 3,736,523","VND 12,884,565","VND 3,736,523","VND 3,736,523","VND 12,884,565","VND 3,736,523"
Ha Noi Hotel (Kim Ma),Deluxe Room,"VND 1,720,430","VND 1,720,430","VND 1,720,430","VND 1,720,430","VND 1,720,430","VND 1,720,430"
Grand Vista Hanoi (Kim Ma),Deluxe Twin Room,"VND 2,237,110","VND 2,237,110","VND 2,152,690","VND 2,152,690","VND 2,152,690","VND 2,152,690"
Fukura (Boutique - Kim Ma),Standard Room,"VND 1,321,861","VND 1,333,692","VND 1,333,166","VND 1,333,166","VND 1,333,166","VND 1,333,166"
Lotte Hotel (Khu Nhat Han HN),Deluxe Twin Room,"VND 6,234,501","VND 4,288,120","VND 4,288,120","VND 4,288,120","VND 4,288,120","VND 4,044,823"
Pullman Hotel (Khu Nhat Han HN),Superior Twin Room with City View,"VND 2,676,240","VND 3,084,480","VND 3,855,600","VND 2,812,320","VND 2,812,320","VND 2,812,320"
Dolce Wyndham (Khu Nhat Han HN),Golden Classic Twin,"VND 2,268,475","VND 2,268,475","VND 2,525,985","VND 2,525,985","VND 2,525,985","VND 2,525,985"
Sheraton Hanoi Hotel,Deluxe Twin Room,"VND 3,813,480","VND 3,697,920","VND 3,929,040","VND 3,697,920","VND 3,697,920","VND 3,697,920"
Sheraton Hanoi West,"Deluxe, Guest Room, 1 King, Sofa Bed, City View","VND 3,402,000","VND 3,402,000","VND 3,402,000","VND 3,402,000","VND 3,402,000","VND 3,402,000"
JW Marriott Hotel Hanoi,"Deluxe King, Guest Room, 1 King Bed","VND 4,762,800","VND 5,556,600","VND 4,649,400","VND 5,103,000","VND 4,876,200","VND 4,762,800"
L7 WEST LAKE HANOI BY LOTTE - L7 RESIDENCES,One Bedroom Apartment,"VND 3,470,039","VND 3,470,039","VND 3,470,039","VND 3,470,039","VND 3,470,039","VND 3,470,039"
L7 WEST LAKE HANOI by LOTTE HOTELS,Superior Convertible,"VND 3,493,854","VND 4,658,472","VND 3,493,854","VND 3,959,701","VND 3,493,854","VND 3,959,701"
InterContinental Hanoi Westlake,Classic Room,"VND 4,173,800","VND 3,339,093","VND 3,219,736","VND 3,339,093","VND 3,339,093","VND 3,219,736"
InterContinental Hanoi Landmark72,1 King Bed Classic Room,"VND 4,144,093","VND 3,547,836","VND 3,428,479","VND 3,428,479","VND 4,054,444","VND 3,428,479"
Pan Pacific Hanoi,Deluxe King Or Twin Room,"VND 3,547,740","VND 3,139,302","VND 2,939,556","VND 2,990,237","VND 3,142,284","VND 3,091,602"
Novotel Suites Hanoi,Superior King Studio,"VND 2,268,000","VND 2,268,000","VND 2,222,640","VND 2,222,640","VND 2,222,640","VND 2,222,640"
Novotel Hanoi Thai Ha,"Superior Room, 1 King Size Bed, City View","VND 2,540,160","VND 2,630,880","VND 2,630,881","VND 2,585,520","VND 2,540,160","VND 2,540,160"
Hanoi Daewooo (Khu Nhat Han HN),Deluxe King Room,NA,NA,NA,NA,NA,NA
M Village Sig Tho Nhuom,Phòng Studio,NA,NA,NA,NA,NA,NA
M Village Hotel Thợ Nhuộm,Superior,NA,NA,NA,NA,NA,NA
M Village Hotel Ho Guom,Standard Room without Window,NA,NA,NA,NA,NA,NA
Peridot Grand Luxury Boutique Hotel,Grand Deluxe Room,NA,NA,NA,NA,NA,NA
Sofitel Legend,Cánh Opera - Phòng Premium 2 Giường Đơn,NA,NA,NA,NA,NA,NA
Capella Hanoi,Phòng Đôi Thương Gia,"VND 18,075,960","VND 15,364,566","VND 15,364,566","VND 14,824,782","VND 12,691,728","VND 11,893,392"
Hotel de l'Opera - MGallery Hanoi,"PHÒNG CAO CẤP, 2 Giường đơn","VND 3,725,190","VND 6,174,630","VND 4,235,490","VND 4,235,490","VND 4,235,490","VND 3,929,310"
Apricot Hotel,Phòng Đôi Sketch Không hút thuốc,"VND 3,642,547","VND 3,642,547","VND 3,642,547","VND 3,500,954","VND 3,500,954","VND 3,500,954"
GRAND HÔTEL du LAC Hanoi,Phòng Đôi Deluxe kiểu Colonial có cửa sổ bên trong,"VND 3,887,730","VND 3,730,314","VND 4,507,074","VND 2,677,500","VND 2,386,467","VND 2,524,501"
Minasi Premium Hotel,Standard Double room （No Window）,"VND 1,474,565","VND 1,579,891","VND 1,448,233","VND 2,020,597","VND 1,421,902","VND 1,421,902"
PARKROYAL Serviced Suites Hanoi,Phòng Deluxe có 1 Phòng ngủ,"VND 2,790,763","VND 2,814,714","VND 2,814,714","VND 2,814,714","VND 2,814,714","VND 2,814,714"
Fraser Residence Hanoi,Studio Executive,"VND 2,494,800","VND 2,381,400","VND 2,381,400","VND 2,381,400","VND 2,381,400","VND 2,381,400"
Grand K Hotel Suites Hanoi,Deluxe Room,"VND 1,978,021","VND 1,978,021","VND 1,978,021","VND 1,978,021","VND 1,978,021","VND 1,978,021"
Moovenpick Living West Hanoi,Phòng Hai Giường Cao Cấp,"VND 2,336,040","VND 2,449,440","VND 2,449,440","VND 2,449,440","VND 2,449,440","VND 2,449,440"
Grand Mercure Hanoi,"Phòng Deluxe, 1 giường lớn","VND 2,903,040","VND 3,265,920","VND 3,265,920","VND 3,265,920","VND 3,265,920","VND 3,265,920"
Somerset Grand Hanoi,Phòng điều hành một phòng ngủ,"VND 3,401,912","VND 3,628,706","VND 3,628,706","VND 3,628,706","VND 3,628,706","VND 3,628,706"
Somerset West Point Hanoi,Phòng studio King Executive,"VND 4,144,771","VND 5,397,840","VND 3,855,600","VND 4,144,771","VND 4,144,771","VND 3,855,600"
Fraser Suites Hanoi,Studio Executive có Giường cỡ King,"VND 2,881,494","VND 2,881,494","VND 2,776,712","VND 2,541,687","VND 2,776,712","VND 2,776,712"
InterContinental Hanoi Westlake by IHG,Phòng Cổ điển Giường cỡ King trên mặt nước Tầm nhìn ra thành phố,"VND 5,223,303","VND 4,268,132","VND 4,984,576","VND 4,506,859","VND 4,268,132","VND 4,387,627"
