hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Le Récit - Phòng Deluxe 2 Giường đơn (Deluxe Twin),Phòng Deluxe 2 Giường đơn (Deluxe Twin),"1,210,603","1,270,161","1,268,758","1,269,672","1,269,762","1,269,157"
Le Récit - Deluxe giường đôi (Deluxe Double),Deluxe giường đôi (Deluxe Double),"1,210,603","1,270,161","1,268,758","1,269,672","1,269,762","1,269,157"
Le Récit - Suite Deluxe (Deluxe Suite),Suite Deluxe (Deluxe Suite),"1,618,771","1,761,681","1,765,969","1,747,149","1,786,732","1,732,616"
Le Récit - Penthouse,Penthouse,"2,156,452","2,342,071","2,341,833","2,338,143","2,343,738","2,319,095"
Le Récit - Suite Căn Hộ Áp Mái 1 Phòng Ngủ (Penthouse 1 Bedroom Suite),Suite Căn Hộ Áp Mái 1 Phòng Ngủ (Penthouse 1 Bedroom Suite),"2,365,442","2,567,683","2,567,265","2,564,837","2,569,353","2,543,956"
Le Récit - Suite Giường Lớn (King Suite),Suite Giường Lớn (King Suite),"2,610,229","2,610,229","2,610,229","2,610,229","2,610,229","2,610,229"
Le Récit - Suite dạng Căn hộ áp mái 2 Phòng ngủ (Penthouse 2 Bedroom Suite),Suite dạng Căn hộ áp mái 2 Phòng ngủ (Penthouse 2 Bedroom Suite),"4,373,898","4,373,898","4,373,898","4,373,898","4,373,898","4,373,898"
Le Récit - Căn Hộ Áp Mái Hướng Thành Phố Giường Đôi (Penthouse City View Double),Căn Hộ Áp Mái Hướng Thành Phố Giường Đôi (Penthouse City View Double),SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT
Tui ba gang - Phòng Loại Sang - 1 Giường (Deluxe Room -- 1 Bed),Phòng Loại Sang - 1 Giường (Deluxe Room -- 1 Bed),"823,243","1,102,293","1,102,293","1,102,293","1,102,293","1,102,293"
Tui ba gang - Deluxe Plus,Deluxe Plus,"1,347,247","1,347,247","1,347,247","1,347,247","1,347,247","1,347,247"
Tui ba gang - Phòng Đẳng Cấp – 1 Giường (Premier Room - 1 Bed),Phòng Đẳng Cấp – 1 Giường (Premier Room - 1 Bed),"1,592,201","1,592,201","1,592,201","1,592,201","1,592,201","1,592,201"
Tui ba gang - Phòng Trip (Trip Room),Phòng Trip (Trip Room),"1,423,182","1,775,916","1,423,182","1,775,916","1,775,916","1,775,916"
Tui ba gang - Phòng Gia Đình Loại Sang (Deluxe Family Room),Phòng Gia Đình Loại Sang (Deluxe Family Room),"1,638,589","1,638,589","2,204,586","2,204,586","2,204,586","2,204,586"
Tui ba gang - Phòng Gia đình với Ban công Riêng (Family Room with Private Balcony),Phòng Gia đình với Ban công Riêng (Family Room with Private Balcony),"1,711,635","1,711,635","2,449,540","2,449,540","2,449,540","2,449,540"
