hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Moire Hội An -Phòng Deluxe có 2 giường đơn (2 Twin Deluxe) - Phòng Deluxe có 2 giường đơn (2 Twin Deluxe),Phòng Deluxe có 2 giường đơn (2 Twin Deluxe),SOLD OUT,"6,580,679",SOLD OUT,SOLD OUT,SOLD OUT,"6,633,325"
Moire Hội An -Phòng Deluxe có giường King (1 King Deluxe) - Phòng Deluxe có giường King (1 King Deluxe),Phòng Deluxe có giường King (1 King Deluxe),"5,001,316","6,054,225","6,054,225","3,505,966","5,264,543","3,505,966"
Moire Hội An -Phòng Loại Sang (Deluxe Room) - Phòng Loại Sang (Deluxe Room),Phòng Loại Sang (Deluxe Room),"5,001,316","6,054,225","6,054,225","6,054,225","5,264,543","6,633,325"
Moire Hội An -2 Twin Deluxe River View - 2 Twin Deluxe River View,2 Twin Deluxe River View,"6,106,870","7,370,361","7,370,361","7,370,361","6,580,679","6,580,679"
Moire Hội An -Phòng Loại Sang 1 Giường Lớn Hướng Sông (1 King Deluxe River View) - Phòng Loại Sang 1 Giường Lớn Hướng Sông (1 King Deluxe River View),Phòng Loại Sang 1 Giường Lớn Hướng Sông (1 King Deluxe River View),"6,238,484","7,501,974","7,501,974","7,501,974","6,712,293","6,712,293"
Moire Hội An -1 King Premium River View - 1 King Premium River View,1 King Premium River View,"7,370,361","8,686,496","8,686,496","8,686,496","7,896,815","7,896,815"
Moire Hội An -1 King Premium Terrace Access - 1 King Premium Terrace Access,1 King Premium Terrace Access,"8,028,429","9,212,951","9,212,951","9,212,951","8,423,269","8,423,269"
Moire Hội An -1 King Suite River View - 1 King Suite River View,1 King Suite River View,"11,845,222","13,161,358","8,085,022","13,161,358","12,371,677","12,371,677"
Moire Hội An -Moire Pool Villa - Moire Pool Villa,Moire Pool Villa,"21,321,400","23,163,991","23,163,991","23,163,991","22,374,309","22,374,309"
Moire Hội An -Phòng Deluxe có giường King - Phù hợp cho người khuyết tật (1 King Deluxe Accessible) - Phòng Deluxe có giường King - Phù hợp cho người khuyết tật (1 King Deluxe Accessible),Phòng Deluxe có giường King - Phù hợp cho người khuyết tật (1 King Deluxe Accessible),"5,001,316","3,630,122","3,630,122","6,054,225","5,264,543","3,630,122"
Almanty - Phòng Đôi hoặc Hai Giường Đơn có Gác Xép (Loft Room Double or Twin) - Phòng Đôi hoặc Hai Giường Đơn có Gác Xép (Loft Room Double or Twin),Phòng Đôi hoặc Hai Giường Đơn có Gác Xép (Loft Room Double or Twin),"1,982,803","1,982,539","1,982,539","1,982,539","2,426,808","2,426,808"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Thị Trấn (Superior Town Double or Twin) - Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Thị Trấn (Superior Town Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Thị Trấn (Superior Town Double or Twin),"2,934,744","2,090,243","2,934,744","2,934,744","2,934,744","2,934,744"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Bể Bơi (Superior Pool Double or Twin) - Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Bể Bơi (Superior Pool Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Cao Cấp Hướng Bể Bơi (Superior Pool Double or Twin),"3,216,931","2,355,664","3,216,931","3,216,931","3,216,931","3,216,931"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Bể Bơi (Deluxe Pool Double or Twin) - Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Bể Bơi (Deluxe Pool Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Bể Bơi (Deluxe Pool Double or Twin),"3,781,305","3,126,261","3,781,305","3,781,305","3,781,305","3,781,305"
Almanty - Suite có Bồn Sục Trên Tầng Thượng (Rooftop Jacuzzi Suite) - Suite có Bồn Sục Trên Tầng Thượng (Rooftop Jacuzzi Suite),Suite có Bồn Sục Trên Tầng Thượng (Rooftop Jacuzzi Suite),"4,345,679","4,345,679","4,345,679","4,345,679","4,345,679","4,345,679"
Almanty - Junior Suite - Junior Suite,Junior Suite,"4,571,429","4,571,429","4,571,429","4,571,429","4,571,429","4,571,429"
Almanty - Suite Giường Lớn hoặc Hai Giường Đơn Thương Gia (Executive Suite King or Twin) - Suite Giường Lớn hoặc Hai Giường Đơn Thương Gia (Executive Suite King or Twin),Suite Giường Lớn hoặc Hai Giường Đơn Thương Gia (Executive Suite King or Twin),"4,797,178","4,797,178","4,797,178","4,797,178","4,797,178","4,726,463"
Almanty - Suite Tổng thống (Presidental Suite) - Suite Tổng thống (Presidental Suite),Suite Tổng thống (Presidental Suite),"14,673,721","14,673,721","14,673,721","14,673,721","14,673,721","14,673,721"
Almanty - Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Thị Trấn (Deluxe Town Double or Twin) - Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Thị Trấn (Deluxe Town Double or Twin),Phòng Đôi hoặc Hai Giường Đơn Loại Sang Hướng Thị Trấn (Deluxe Town Double or Twin),"3,499,118","2,964,157","3,499,118","3,499,118","3,499,118","3,499,118"
