Hotel,URL,Room to be extracted
Moire Hội An -Phòng Deluxe có 2 giường đơn (2 Twin Deluxe) - Phòng Deluxe có 2 giường đơn (2 Twin Deluxe),https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,Phòng Deluxe có 2 giường đơn (2 Twin Deluxe)
Moire Hội An -Phòng Deluxe có giường King (1 King Deluxe) - Phòng Deluxe có giường King (1 King Deluxe),https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,Phòng Deluxe có giường King (1 King Deluxe)
Moire Hội An -Phòng Loại Sang (Deluxe Room) - Phòng Loại Sang (Deluxe Room),https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,Phòng Loại Sang (Deluxe Room)
Moire Hội An -2 Twin Deluxe River View - 2 Twin Deluxe River View,https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,2 Twin Deluxe River View
Moire Hội An -Phòng Loại Sang 1 Giường Lớn Hướng Sông (1 King Deluxe River View) - Phòng Loại Sang 1 Giường Lớn Hướng Sông (1 King Deluxe River View),https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,Phòng Loại Sang 1 Giường Lớn Hướng Sông (1 King Deluxe River View)
Moire Hội An -1 King Premium River View - 1 King Premium River View,https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,1 King Premium River View
Moire Hội An -1 King Premium Terrace Access - 1 King Premium Terrace Access,https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,1 King Premium Terrace Access
Moire Hội An -1 King Suite River View - 1 King Suite River View,https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,1 King Suite River View
Moire Hội An -Moire Pool Villa - Moire Pool Villa,https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,Moire Pool Villa
Moire Hội An -Phòng Deluxe có giường King - Phù hợp cho người khuyết tật (1 King Deluxe Accessible) - Phòng Deluxe có giường King - Phù hợp cho người khuyết tật (1 King Deluxe Accessible),https://www.agoda.com/vi-vn/bay-resort-hoi-an-h46330012/hotel/hoi-an-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1922896&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tag=7b5d3de0-8c32-42c4-8f5e-11bf6952077c&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=-1&los=1&searchrequestid=7fbd8201-2e5d-45e7-abbb-ae22bdf6bd24&ds=GK%2BAXD%2B55oiPibg6&checkin=2026-06-02,Phòng Deluxe có giường King - Phù hợp cho người khuyết tật (1 King Deluxe Accessible)
