Hotel,URL,Room to be extracted
President Maison,https://www.agoda.com/president-maison-signature-by-m-village/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=03593fa4-8469-4b9a-9ff8-e6ebc77a6892&ds=RO3ZU6JUu9Rt6DDC&checkin=2025-08-31,Deluxe - 1 King Bed
Savvy by M Village Hai Bà Trưng,https://www.agoda.com/vi-vn/savvy-by-m-village-hai-ba-trung-saigon-downtown/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2026-01-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=ac4e6ca7-f6d7-4006-8f8e-9c0a997c050b&ds=YuiGcJl7cS1kNanN,"Phòng cao cấp Giường Lớn, Hướng Thành Phố (Superior King Bed, City View)"
Signature by M Village HBT,https://www.agoda.com/signature-by-m-village-hai-ba-trung/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=1844104&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-08-31&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&los=1&searchrequestid=f216efd3-5069-4b05-bdf8-ffc813e72ebc&ds=RO3ZU6JUu9Rt6DDC,Studio Room City View
Signature Lê Thánh Tôn,https://www.agoda.com/signature-by-m-village-le-thanh-ton/hotel/ho-chi-minh-city-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=1833981&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-03-30&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=b0d106f1-4995-4d40-8a07-67fc477994f5&ds=kRNzZxqQmLBulEMM,Deluxe City View Twin Room
InterContinental,https://www.agoda.com/intercontinental-nha-trang/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1%2C-1&los=1&searchrequestid=ab4480ff-0b2a-4c3f-9fb7-a86cb0138e8c&ds=V4OwFj%2FJmdc3wSq2,2 Single Classic City View
Melia Vinpearl,https://www.agoda.com/vinpearl-condotel-empire-nha-trang/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=e1808ea8-8f18-4b51-87e4-a20ff5fa3c69&ds=V4OwFj%2FJmdc3wSq2,Deluxe Room
Mường Thanh,https://www.agoda.com/muong-thanh-luxury-nha-trang-hotel/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1&los=1&searchrequestid=c468e247-824e-45cd-8b76-76af895ad92e&ds=V4OwFj%2FJmdc3wSq2,Deluxe Double City View
Potique Hotel,https://www.agoda.com/potique-hotel/hotel/nha-trang-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-12-5&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject+Object%5D&los=1&searchrequestid=e76e6a11-ec90-4aa8-ae1a-9bdd2af085cf&ds=wjA6QiyYxTZMkZ%2Fj,Classic Room
Vinpearl Resort,https://www.agoda.com/vinpearl-resort-nha-trang/hotel/nha-trang-vn.html?countryId=38&finalPriceView=2&isShowMobileAppPrice=false&cid=-1&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&checkIn=2025-04-17&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&tspTypes=-1%2C-1&los=1&searchrequestid=a1221de0-b5f7-486a-9ace-70e956f386e9&ds=V4OwFj%2FJmdc3wSq2,Deluxe Twin Room
Hotel de la Coupole - MGallery,https://www.agoda.com/hotel-de-la-coupole-mgallery-by-sofitel/hotel/sapa-vn.html?countryId=38&finalPriceView=1&isShowMobileAppPrice=false&cid=-333&numberOfBedrooms=&familyMode=false&adults=2&children=0&rooms=1&maxRooms=0&isCalendarCallout=false&childAges=&numberOfGuest=0&missingChildAges=false&travellerType=1&showReviewSubmissionEntry=false&currencyCode=VND&isFreeOccSearch=false&flightSearchCriteria=%5Bobject%20Object%5D&tspTypes=8%2C-1&los=1&searchrequestid=c7d510e7-47c6-4017-8835-67f0adb5dace&checkin=2026-01-12,Classic Room Twin
