hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Grand Tourane Hotel,Deluxe Room,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,NA,NA
Haian Riverfront Hotel Da Nang,Superior King Room,SOLD OUT,NA,NA,NA,NA,NA
Hilton Da Nang,King Accessible Room,SOLD OUT,NA,NA,NA,NA,NA
M Hotel Da Nang,Deluxe Double City View,NA,NA,NA,NA,NA,NA
New Orient Da Nang,Superior Double or Twin Room without View,SOLD OUT,SOLD OUT,SOLD OUT,SOLD OUT,NA,NA
Hilton Garden Inn,King Guest Room,"₫3,200,000","₫3,309,152","₫3,344,000","₫2,805,000",SOLD OUT,SOLD OUT
Hyatt Regency Danang Resort And Spa,2 Twin Beds,"₫4,900,000","₫4,950,000","₫5,900,000","₫5,300,000",SOLD OUT,SOLD OUT
Nesta Hotel Da Nang,Superior Double Garden View,SOLD OUT,SOLD OUT,NA,NA,NA,NA
Muong Thanh Luxury Song Han Hotel,Superior Twin City View,NA,NA,NA,NA,NA,NA
Pariat River Front Hotel Da Nang,Standard Double,NA,NA,NA,NA,NA,NA
sel de mer,Superior Twin City View,NA,NA,NA,NA,NA,NA
Rosamia Da Nang Hotel,Grand Deluxe Double,NA,NA,NA,NA,NA,NA
SALA DANANG BEACH HOTEL,Superior Double City View,"₫2,201,174","₫2,193,191","₫2,133,006","₫3,076,064",NA,NA
Sun River Hotel,Standard Twin No Window,"₫947,505",NA,NA,NA,NA,NA
