hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Fukura (Boutique - Kim Ma),Standard Room,"VND 1,331,727","VND 1,331,727","VND 1,331,727","VND 1,331,650","VND 1,331,650","VND 1,331,650"
Ha Noi Hotel (Kim Ma),Deluxe Room,"VND 2,045,525","VND 2,045,525","VND 2,107,526","VND 2,107,526","VND 2,107,526","VND 2,077,307"
Aira Boutique Hanoi Hotel & Spa,Deluxe Room,"VND 4,381,155","VND 3,244,913","VND 3,862,842","VND 2,575,514","VND 3,862,620","VND 4,119,989"
Halais Hotel,Superior Room,"VND 1,388,566","VND 1,388,466","VND 1,388,466","VND 1,776,576","VND 1,386,963","VND 1,388,466"
Grand Vista Hanoi (Kim Ma),Deluxe Twin Room,"VND 1,927,730","VND 1,927,730","VND 1,927,730","VND 1,927,730","VND 2,063,918","VND 1,903,805"
Hotel du Lac Hanoi,Deluxe Twin Internal Window,"VND 3,199,001",NA,NA,"VND 2,677,500","VND 2,201,501","VND 2,558,502"
Hanoi le Jardin Hotel & Spa,Cozy Le Jardin Classic Room,"VND 2,810,234","VND 2,616,151","VND 2,750,306","VND 2,750,306","VND 2,516,121","VND 2,400,461"
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),Cozy Deluxe Room,"VND 2,228,367","VND 2,638,855",NA,"VND 2,638,855","VND 2,932,062","VND 2,638,855"
Hanoi Daewooo (Khu Nhat Han HN),Deluxe King Room,"VND 2,600,001","VND 2,941,149","VND 2,865,786","VND 2,600,001","VND 2,600,001","VND 2,520,985"
Dolce Wyndham (Khu Nhat Han HN),Golden Classic Twin,"VND 2,825,928","VND 2,825,928","VND 2,825,928","VND 2,825,928","VND 2,825,928","VND 2,825,928"
Hotel du Parc Hanoi,Deluxe King Room,"VND 3,820,938","VND 3,582,129","VND 3,582,129","VND 3,438,844","VND 2,319,855","VND 2,456,317"
InterContinental Hanoi Landmark72,1 King Bed Classic Room,"VND 5,021,823","VND 4,637,853","VND 5,169,523","VND 9,511,975","VND 4,519,588","VND 4,519,588"
La Siesta Premium Hang Be,Superior Room No Window,"VND 3,240,000","VND 5,400,000","VND 6,480,000","VND 4,680,000","VND 6,480,000","VND 5,760,000"
InterContinental Hanoi Westlake,Classic Room,"VND 7,591,866","VND 8,566,639","VND 5,730,890","VND 8,418,938","VND 4,519,588","VND 5,464,925"
JW Marriott Hotel Hanoi,"Deluxe King, Guest Room, 1 King Bed","VND 6,804,000","VND 11,453,400","VND 6,804,000","VND 7,711,200","VND 6,804,000","VND 6,804,000"
L7 WEST LAKE HANOI BY LOTTE - L7 RESIDENCES,One Bedroom Apartment,"VND 5,659,019","VND 3,714,138","VND 3,714,138","VND 3,714,138","VND 3,714,138","VND 3,635,208"
L'Signature Hotel & Spa,Superior Double No Window,"VND 3,948,323","VND 3,948,323","VND 3,851,158","VND 3,851,158","VND 3,851,158","VND 3,753,993"
La Passion Premium Cau Go,Grand Double Room,NA,NA,"VND 8,999,055",NA,"VND 8,999,055","VND 8,999,055"
Lancaster Hanoi City (Kim Ma),Studio,NA,NA,NA,NA,NA,NA
L7 WEST LAKE HANOI by LOTTE HOTELS,Superior Convertible,"VND 3,921,372","VND 4,953,312","VND 5,778,864","VND 4,746,924","VND 3,921,372","VND 3,921,372"
