Hotel,URL,Room to be extracted
Lotte Hotel (Khu Nhat Han HN),https://www.trip.com/hotels/hanoi-hotel-detail-96297576/lotte-hotel-hanoi/?cityId=286&checkIn=2025-09-28&checkOut=2025-09-29&adult=2&children=0&subStamp=3001547&crn=1&ages=&travelpurpose=0&curr=VND&fgt=1&hasAidInUrl=true&mincurr=VND&minprice=3358822.00&mproom=1642718994&link=title&hoteluniquekey=H4sIAAAAAAAA_-OK4GKSYBJi4mCU8uOYdG55P5sQp6G5sZGJubGBkcEFMYsfnYwBHDMYXxz5qruCkXEHI9NFRgYgcNrl7vgQzDJe4On4gvHM-U8bGBewMC5kBYlFfBB2lOLxdXMKN_Isc0txNAlUYNRoPnr4GJsHYxCbsZmZgYtrlAwXc5ifi-CHgxPjbi43tJcC8RRhvCTWskzdML-MecJdjEwejKsY2bmYDYwMBZg-MfIjmxtvbAAA5Guqj8MAAAA&subChannel=&masterhotelid_tracelogid=7abc5ce709f44dcdaeea13cf35fa7780&NewTaxDescForAmountshowtype0=F&detailFilters=17%7C1~17~1*80%7C1%7C0~80~1*19%7C286~19~286&hotelType=meta&trip_sub1=28_09_2025_1_mapresults_96297576_VN_desktop_selected___0_0-LANG_VN-landing&display=inctotal&locale=en-XX,Deluxe Twin Room
Melia Hanoi,https://trip.com/hotels/detail/?cityId=286&hotelId=993371&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=720&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONaz8jFJMEkxMTBKLWEkWPLyunPWIU4zU0sLA3MjA2MDGYxWmyVdUwDgbIOB89ZM4Fgb7dDAM8kRhlOzZj-Q1874hwERda5P6w6EungxMHxZuKsKYwSLDMYb1-w2cgIVm8Z5bCDkekE45IlyxkXMLV0b2PcxcTKceTmXsZDTCwcC7aKnWJiuMTEcIuJ4RETwysmhk9MDL-gCpqYGbqYGSYxg5XNYmZYxMwgxZuSZmmcaGSclmxuYp6kIKRx4V7HFjYjaw5GBUYtwfgQzzA_w8T03AKTTAtTs0xjA8ZJjExhfqcYpQzNDczMzA0NLCwMLc30LBMtUkNy86PSikMcrZilGN08GIPYHI2NTYzdorS4mEODXQQZwOCDvRRzmJ-LIoi94OYNBy0Qz3BmCNOcvduN7JNYyzJ1w_wybvEXMHYxcggwejBGMFYwvmIEqfoBCgUAc8bBK2MBAAA&subChannel=&masterhotelid_tracelogid=df93a23fc747b&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=vi-VN,Deluxe Room
Mercure Hanoi La Gare Hotel,https://www.trip.com/hotels/detail/?cityId=286&hotelId=1965527&checkIn=2024-07-02&checkOut=2024-07-03&adult=2&children=0&subStamp=938&crn=1&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONawcjFJMEkxMTBKDWXkWPqlp33WIU4LUwNjC0szA2MDNaIWvSnOZ49AwR_qh08NWP6D33dU-8QwDOJUYKTAQjsFK0dBUGM7VkWjk4sHPsO5cxgvP67fCPjwyqRde6Mfg47GJlOMPbdjF_AdPLCS61dTGA1h4DUhpc8p5gYLjEx3GJieMTE8IqJ4RMTwy-IfBMzQxczwyRmsKpZzAyLmBmkeM2NzA1Mk1LSzNLSDIwVhDQmv-_YwmZkzcGowKglGB_iGeZnmJieW2CSaWFqlmlswDiJkSki4hSjlKG5gZmZuaGBhYWhpZmeZaJFakhuflRacYijFbMUo5sHYxCbgamzq5NRlBYXc5ifC9g_DAwf7KVAPEUYTwvEM5wZwjRn73Yj-yTW1DzdiIiMW_wFjF2MHAKMHowRjBWMrxhBqn6AggAAnFDD3lwBAAA&subChannel=&masterhotelid_tracelogid=72705bdf6ff03&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1%7E17%7E1*80%7C0%7C1%7E80%7E0&hotelType=normal&barcurr=VND&locale=en-XX,Classic Double Bed Room With City View
Minasi HanoiOi Hotel,https://trip.com/hotels/detail/?cityId=286&hotelId=51620453&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=1060&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAON6wMjFJMEkxMTBKHWVkeN36_45rEJchkamJmbG5iYGRgZbRSwuNDM6Bu2Qa32dWezguc79YZWIVKlDAE8hAxhYO0xitOQEsX5XGTsKghgeHYaOSvIKLJowFYYwhsUzziAWjg_nWaMYnFg4fn_1ncH49Mo5iRWMjBsZD3_ViOlnsnbYwch0gnHxYacFTKeOvTTexQRWdwhIvXjEeoqJ4RITwy0mhkdMYGNeMTF8YmL4BVHTxMzQxcwwiRmschYzWMEiZgYpHovEZLO0REMDo0RDUwUhjY4XHVvYjKw5GBUYtQTjQzzD_AwT03MLTDItTM0yjQ0YJzEyhfmdYpQyNDcwMzM3NLCwMLQ007NMtEgNyc2PSisOcbRilmJ082AMYnMFhpK5RZQWF3OYn4sgxJcf7KVAPEUYTwvEM5wZwjRn73Yj-yTWskzdML-MW_wFjF2MHAKMHowRjBWMrxhBqn6AQwMAEMH0HJQBAAA&subChannel=&masterhotelid_tracelogid=8ac6fa102a15&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=vi-VN,Premier Double Bed Room
Movenpick Hotel Hanoi Centre,https://www.trip.com/hotels/detail/?cityId=286&hotelId=993377&checkIn=2024-07-30&checkOut=2024-07-31&adult=2&children=0&subStamp=1148&crn=1&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONazcjFJMEkxMTBKLWAkWNd1-rHrEKMRgb9ohY9bYyOxiDws8PBM2iHXOvrwB6HAJ5JjDKcDCAQdMRB8JtGTP-hhwcdnDg4fu5cNp1RgmUG48MLNisYGTcyguWORjnsYGQ6wbj2ySrGBUwr7vdb7mJi5bh49SDjISYWjiUfxU4xMVxiYrjFxPCIieEVE8MnJoZfUAVNzAxdzAyTmMHKZjEzLGJmkOJNSzEzNkxKNDe1tDSxUBDS-PSmYwubkTUHowKjlmB8iGeYn2Fiem6BSaaFqVmmsQHjJEamiIhTjFKG5gZmZuaGBhYWhpZmepaJFqkhuflRacUhjlbMUoxuHoxBbE4GJuaWxlFaXMyefkGCYC8yfLCXYg7zc1GM4pcIPMZf7KDFHBrsYmj63sLVXUjWIYk1NU83IiLjFn8BYxcjhwCjB2MEYwXjK0aQnh-ggAAACk4y7l8BAAA&subChannel=&masterhotelid_tracelogid=fd631ba759948&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1%7E17%7E1*80%7C0%7C1%7E80%7E0&hotelType=normal&barcurr=VND&locale=en-XX,Classic Twin/King Room - Complimentary daily chocolate hour 5pm-6pm
Muong Thanh Hanoi Centre Hotel,https://www.trip.com/hotels/detail/?cityId=286&hotelId=2510694&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=656&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAOM6wcTFJMEkxMTBKLWXiePhjxNrGS1-Czo-rBJZ5_60wsEzDQTsahwCeAoZQGBBpkMjYzVQ8uGiVIdJjAsYOUGiBj2OjoIgxo4rto5KThx72xcbCuhL9L46MYFRgVETrJMhwsEQxrBoFHS05bq-uMA2xMETxghi4dizViSKhePyMkElR47JdyepCYhLnO7fvRRuhkM01Awgw6LMcYdc6-tAjnAHTxgDaMSbKeJAI_pvCDuxcjzY0MM4g_HZvJmMKxgZNzJqxvQf-nrCy2EHI9MJxnVbQxcwvd-6g3kXE0ThISYWjq6d3KeYGC4xMdxiYngE5K84pP2KieETkPXon8ovqMImZoYuZoZJzGDls5jBqhYxM0jxmpkmJloYJxkapiVaGisIadx82bGFzciaA-h8LcH4EM8wP8PE9NwCk0wLU7NMYwPGSYxMERGnGKUMzQ3MzMwNDSwsDC3N9CwTLVJDcvOj0opDHK2YpRjdPBiD2JxczAwNXKO0uJjD_FwEIcH4wV4KxFOE8bRAPMOZIUxz9m43sk9iTc3TjYjIuMVfwNjFyCHA6MEYwVjB-IoRpOoHOFAAs5Crnv0BAAA&subChannel=&masterhotelid_tracelogid=65aa83b11fa93&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior King Room
Nesta Hotel Hanoi,https://www.trip.com/hotels/detail/?cityId=286&hotelId=993461&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=1566&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAOO6xMjFJMEkxMTBKHWckWP9rg0vWA26mC0e8zsygIBCsYMnmLGh1CGApxDMbPB3mMRowwlmL6h0EAQzBEodlOQVWDRhKgxhDItnnEEsHM838kYxOLFz7Fx9xEWCZQbj1os2GxkhSlwcdjAynWD8dNxxAdPfyfuZdjGxcFy5E34ISP1-xHGKieESE8MtJoZHTGBTXjExfGJi-AVR08TM0MXMMIkZrHIWM1jBImYGKV6LRONUi5QUC4tUC4M0BSGN2Q0XtrAZWXMwKjBqCcaHeIb5GSam5xaYZFqYmmUaGzBOYmSKiDjFKGVobmBmZm5oYGFhaGmmZ5lokRqSmx-VVhziaMUsxejmwRjEZmRgaGBuGaXFxezsFwnxO8MHeynmMD8Xxaef5C_xJ6920ALxDJtj62983mhkn8SamqcbEZHxgr-AsYuRQ4DRgzGCsYLxFSNI1Q9QUAAAILcEsIYBAAA&subChannel=&masterhotelid_tracelogid=8a3e8dd88e80f&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior Twin Room Non Smoking
Novotel Hanoi Thai Ha,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=29630821&checkIn=2025-12-09&checkOut=2025-12-10&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-P6xczFJMEk9ZmZ48aHTUdYhBiNDHbwW_RlO86aCQSz2xw8W18H7pBb3OkQwDOD8emhCXwbGWP6D33VsIlw2MHIdIJxzYUljAuYLm1vkT3FwsJxs13sEssvpuhqpezUSiUrEx2lksySnFQlK6UwxxAlHaWU1OJkIAfISszNL80rAbKNjMxMzQ30DAyAgiWJFZ4pYG3JiTnJpTmJJakhlQVA7WY6SpnFziVFmQVBqbmZJSWpQFVpiTnFqSDxoNRioEwyWFDJD2hMEVQgMz8Pot0ARSwsMac0FeIKoIVuqVA7DGt1MJ0dnFpUlpmcqpCckViUnordB4bGJhZmxig-MB8QHxjXxj5iYYqOfcFyn-0TC8MvFoYmVoYuVoZJrKwcrTd2Me5i5fFy8TNzd9E11I3SNZSSNzQwMDA1NDY11TVItEw0MzRI0jWxNDCysNC1NDC2NNX4c2nRkvXGRiYKjFqC8SGeYX6G5ZYV5Zk5BWmGRiYGjKcYpQzNTQ0MzY2NDS3MzA31UhLNLSwrM6qSctzdPBiD2CxdnAxcTKJsuJhDg10E639bFZzzkHGQYg7zc1F8mHPw06vJhvZaIJ4hjBdYtrVlhupjZvtImEgSa2qebkRExjPhAsYuRm4BRg_GCMYKxgZGxlWM7FzMBkaGAkwbGBl3MP6HAcZXjCAzAbPLZOncAgAA&masterhotelid_tracelogid=100051355-0a9a610b-490288-90395&detailFilters=17%7C1%7E17%7E1*31%7C29630821%7E31%7E29630821*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=normal&display=exavg&subStamp=195&isCT=true&isFlexible=F&locale=en-XX,"Superior Room, 1 King Size Bed, City View"
Novotel Suites Hanoi,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=5498372&checkIn=2025-12-09&checkOut=2025-12-10&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-P6xczFJMEk9ZmZY1HbriMsQoxGBjv4LfqyHatF1rk_VGlz8ATRVTKdDgE8Mxhbzpxn2sh49gwQ7Al32MHIdIKxa8FCxgVMVxa1yJ5iYeF4dFb0EssvpuhqpezUSiUrEx2lksySnFQlK6Xg1KKyzORUheSMxKL0VCUdpZTU4mSgOJCVmJtfmlcCZBsaGxlYmukZGAAFSxIrPFOUrMx1lJITc5JLcxJLUkMqC4AmmekoZRY7lxRlFgSl5maWlKQCVaUl5hSngsSDUouBMslgQSU_oDFFUIHM_DyIdgMUsbDEnNJUiCuAFrqlQu0wrtXB9EGYYwh2ZxsZGVoaGaE422RAnG1YG_uIhSk69gXLfbZPLAy_WBiaWBm6WBkmsbJyvHm7jXEXK4-XS2CEs4euoW6UrqGUvKGBgYGpobGpqa5BoqVFcrKRpa6JpYGRhYWuhZGhqZHGqbnTlqw3NjJRYNQSjA_xDPMzLLesKM_MKUgzNDIxYDzFKGVobmpgaG5sbGhhZm6ol5JobmFZmVGVlOPu5sEYxGZg6GzpahFlw8UcGuwiWP_bquCch4yDFHOYn4viw5yDn15NNrTXAvEMYbzAsq0tM1QfM9tHwkSSWFPzdCMiMp4JFzB2MXILMHowRjBWMDYwMq5iZOdiNjAyFGDawMi4g_E_DDC-YgSZCQA66Sem3AIAAA&masterhotelid_tracelogid=100051355-0a98cc29-490288-82152&detailFilters=17%7C1%7E17%7E1*31%7C5498372%7E31%7E5498372*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=normal&display=exavg&subStamp=330&isCT=true&isFlexible=F&locale=en-XX,Superior King Studio
Pan Pacific Hanoi,https://www.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=1847951&checkIn=2025-12-06&checkOut=2025-12-07&adult=2&children=0&crn=1&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-OawcLFJMEkNZGFY--LGZPYhDgNDU2NzQ3MDIwMLnNbNAQ5Xl9cYMu1v9_BkwEMJjkE8BSCWQ0hDjMY-58WrGBk3Mi4BKjoOnOiww5GphOMl5Y-Z1zAdPH3HMtTLCwcHX_lLrH8YoquVspOrVSyMtFRKsksyUlVslIKcwxR0lFKSS1OBnKArMTc_NK8EiDb2NDC0NRIz8AAKFiSWOGZAtaWnJiTXJqTWJIaUlkA1G6mo5RZ7FxSlFkQlJqbWVKSClSVlphTnAoSD0otBsokgwWV_IDGFEEFMvPzINoNUcTCEnNKUyGuAFrolgq1w7BWB9PZwalFZZnJqQrJGYlF6anYfWBoYWlsbobiA3Nq-8CAGB8Y18Y-YmGKjv3EwvALGBkfjgg1sTJ0sTJMYmXluLWojWkXq2CQr0ewV7CuU5hfpGeEbpSu4QXWQ69-MkopGhoYGBiZmhqZ6xokWiYamBsb6JpYGhhZWOgaGgDjx8JI4_e-k4vXGxuZKDBqCcaHeIb5GZZbVpRn5hSkGRqZGDCeYpQyNDc1MDQ3BsaombmhXkqiuYVlZUZVUo67mwdjEJu5i7GlgXGUDRezs1-kICSFfbCXYg7zc1F8mHPw06vJhvZaIJ4hjBdYtrVlhupjZvtImEgSa2qebkRExlvhAsYuRm4BRg_GCMYKxgZGxlWM7FzMBkaGAkwbGBl3MP6HAcZXjCAzAe7z4S_8AgAA&edmHotelData=&masterhotelid_tracelogid=100025527-0a9a0730-490288-1015282&detailFilters=17%7C1%7E17%7E1*31%7C1847951%7E31%7E1847951*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=normal&display=exavg&subStamp=1159&isCT=true&isFlexible=F&locale=en-XX,Deluxe King Or Twin Room
