hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Melia Hanoi,Deluxe Room,NA,NA,NA,NA,NA,NA
Novotel Hanoi Thai Ha,"Superior Room, 1 King Size Bed, City View","VND 3,855,600","VND 3,061,800","VND 2,891,700","VND 3,084,480","VND 3,277,260","VND 3,277,260"
Pan Pacific Hanoi,Deluxe King Or Twin Room,"VND 4,109,984","VND 4,539,416","VND 4,336,915","VND 4,539,416","VND 3,782,846","VND 3,707,190"
Movenpick Hotel Hanoi Centre,Classic Twin/King Room - Complimentary daily chocolate hour 5pm-6pm,NA,NA,NA,NA,NA,NA
Nesta Hotel Hanoi,Superior Twin Room Non Smoking,"VND 1,583,648","VND 1,618,667","VND 1,548,291","VND 1,505,387","VND 1,505,387","VND 1,505,387"
Mercure Hanoi La Gare Hotel,Classic Double Bed Room With City View,"VND 2,857,680","VND 4,388,580","VND 2,721,600","VND 2,630,880","VND 2,540,160","VND 2,268,000"
Novotel Suites Hanoi,Superior King Studio,"VND 2,806,650","VND 3,623,130","VND 2,650,725","VND 3,421,845","VND 2,843,505","VND 2,843,505"
Muong Thanh Hanoi Centre Hotel,Superior King Room,NA,NA,"VND 1,650,000","VND 1,650,000","VND 1,650,000","VND 1,650,000"
Minasi HanoiOi Hotel,Premier Double Bed Room,"VND 2,924,752","VND 4,963,378","VND 4,671,415","VND 3,860,673","VND 3,860,673","VND 3,860,673"
Lotte Hotel (Khu Nhat Han HN),Deluxe Twin Room,"VND 4,259,216","VND 4,594,624","VND 4,176,931","VND 5,162,686","VND 5,012,317","VND 4,873,086"
The Oriental Jade Hotel,Oriental Pearl Twin,"VND 4,192,768","VND 5,748,446","VND 5,748,446","VND 5,748,446","VND 5,224,127","VND 5,224,127"
Sheraton Hanoi Hotel,Deluxe Twin Room,"VND 7,280,280","VND 13,636,080","VND 4,622,400","VND 4,622,400","VND 5,084,640","VND 5,662,440"
Pullman Hotel (Khu Nhat Han HN),Superior Twin Room with City View,"VND 3,572,100","VND 3,011,338","VND 3,175,768","VND 3,175,768","VND 3,742,200","VND 3,391,228"
REY Hotel Hanoi,Standard Twin Room,"VND 1,785,000","VND 2,805,000","VND 2,805,000","VND 2,805,000","VND 2,720,000","VND 2,480,000"
M Village Sig Tho Nhuom,Studio,"VND 4,066,400","VND 4,066,400","VND 4,245,800","VND 4,245,800","VND 1,933,494","VND 3,588,000"
Sheraton Hanoi West,"Deluxe, Guest Room, 1 King, Sofa Bed, City View","VND 5,103,000","VND 5,103,000","VND 5,046,300","VND 5,103,000","VND 4,819,500","VND 4,819,500"
M Village Hotel Ho Guom,Standard Room without Window,"VND 2,401,860","VND 1,675,716","VND 1,675,716","VND 1,675,716","VND 1,619,859","VND 1,619,859"
M Village Hotel Thợ Nhuộm,Hot TN - Trip com bao gồm 2 pax ăn sáng + thuế Superior,"VND 3,289,000","VND 3,109,600","VND 3,229,200","VND 3,206,200","VND 2,511,600","VND 2,511,600"
M Village Kim Mã,Superior No Window,"VND 1,325,385","VND 1,342,135","VND 1,325,385","VND 1,342,135","VND 1,297,788","VND 1,297,788"
Silk Path Boutique Hanoi,Superior Room,"VND 2,141,464","VND 2,141,464","VND 1,788,233",NA,NA,NA
