hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
InterContinental Hanoi Westlake,Classic Room,"VND 5,908,367","VND 8,567,132","VND 5,731,220","VND 8,419,423","VND 4,519,848","VND 5,465,239"
Aira Boutique Hanoi Hotel & Spa,Deluxe Room,"VND 4,381,155","VND 3,244,913","VND 3,862,842","VND 2,575,662","VND 3,862,842","VND 4,120,226"
JW Marriott Hotel Hanoi,"Deluxe King, Guest Room, 1 King Bed","VND 6,804,000","VND 11,453,400","VND 6,804,000","VND 7,711,200","VND 6,804,000","VND 6,804,000"
L7 WEST LAKE HANOI BY LOTTE - L7 RESIDENCES,One Bedroom Apartment,"VND 5,659,153","VND 3,714,352","VND 5,659,153","VND 3,714,352","VND 3,714,352","VND 3,635,417"
Hotel du Parc Hanoi,Deluxe King Room,"VND 3,821,029","VND 3,582,214","VND 3,582,214","VND 3,438,926","VND 2,319,910","VND 2,456,375"
L'Signature Hotel & Spa,Superior Double No Window,"VND 3,948,550","VND 3,948,550","VND 3,851,380","VND 3,851,380","VND 3,851,380","VND 3,754,210"
Hanoi Daewooo (Khu Nhat Han HN),Deluxe King Room,"VND 2,521,045","VND 2,941,219","VND 2,865,854","VND 2,600,150","VND 2,600,150","VND 2,521,045"
InterContinental Hanoi Landmark72,1 King Bed Classic Room,"VND 5,022,112","VND 4,638,120","VND 5,169,821","VND 9,512,523","VND 4,519,848","VND 4,519,848"
Halais Hotel,Superior Room,"VND 1,388,566",NA,NA,NA,NA,NA
Hanoi le Jardin Hotel & Spa,Cozy Le Jardin Classic Room,"VND 2,810,438",NA,NA,NA,NA,NA
Dolce Wyndham (Khu Nhat Han HN),Golden Classic Twin,"Total (incl. taxes & fees): VND 2,558,981","Total (incl. taxes & fees): VND 2,558,981","Total (incl. taxes & fees): VND 2,558,981","Total (incl. taxes & fees): VND 2,558,981","Total (incl. taxes & fees): VND 2,558,981","Total (incl. taxes & fees): VND 2,558,981"
Grand Vista Hanoi (Kim Ma),Deluxe Twin Room,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees
Fukura (Boutique - Kim Ma),Standard Room,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees,Incl. taxes & fees,NA
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),Cozy Deluxe Room,"Total (incl. taxes & fees): VND 1,745,586",NA,NA,NA,NA,NA
Hotel du Lac Hanoi,Deluxe Twin Internal Window,"Total (incl. taxes & fees): VND 3,060,283",NA,NA,NA,NA,NA
Ha Noi Hotel (Kim Ma),Deluxe Room,NA,NA,NA,NA,NA,NA
