Hotel,URL,Room to be extracted,Location,Platform
Halais Hotel,https://www.trip.com/hotels/detail/?cityId=286&hotelId=25731039&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=672&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONaxMTFJMEkxMTBKDWdiePl61f3WC1-CzoygABHtoPn4a8aMf2r8hwCeArBYgdCHRoZlxTYcl1_7OowibGWEyR44pihoyCIEWKh56jkxLF26TYjAUWJt1smT2VUYNQEa2TwcjCEMSw2izrCzPCEMYJYOO43cUexcExcz6kkr8AC0dbgCNUGZFg84wQqWrydPYrBiYXjRK_7DMb7-xfxrGBk3Mgoss79YZWIrcMORqYTjFO36y1genX0As8uJrC6Q0Bq4xy2U0wMl5gYbjExPALym3YJvWJi-MQEtu8XRF0TM0MXM8MkZrDqWcxgRYuYGaR4jcwt01JMElMTTdOMkxWENF40XNjCZmTNAfSdlmB8iGeYn2Fiem6BSaaFqVmmsQHjJEamiIhTjFKG5gZmZuaGBhYWhpZmepaJFqkhuflRacUhjlbMUoxuHoxBbI5Oxm4mplFaXMxhfi6CkBD6YC8F4inCeFognmFzbP2NzxuN7JNYU_N0IyIyXvAXMHYxcggwejBGMFYwvmIEqfoBDhIAahnkA9cBAAA&subChannel=&masterhotelid_tracelogid=279fd4aea5f3c&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior Room,HN,Trip
Minasi HanoiOi Hotel,https://vn.trip.com/hotels/detail/?cityId=286&hotelId=51620453&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=1060&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAON6wMjFJMEkxMTBKHWVkeN36_45rEJchkamJmbG5iYGRgZbRSwuNDM6Bu2Qa32dWezguc79YZWIVKlDAE8hAxhYO0xitOQEsX5XGTsKghgeHYaOSvIKLJowFYYwhsUzziAWjg_nWaMYnFg4fn_1ncH49Mo5iRWMjBsZD3_ViOlnsnbYwch0gnHxYacFTKeOvTTexQRWdwhIvXjEeoqJ4RITwy0mhkdMYGNeMTF8YmL4BVHTxMzQxcwwiRmschYzWMEiZgYpHovEZLO0REMDo0RDUwUhjY4XHVvYjKw5GBUYtQTjQzzD_AwT03MLTDItTM0yjQ0YJzEyhfmdYpQyNDcwMzM3NLCwMLQ007NMtEgNyc2PSisOcbRilmJ082AMYnMFhpK5RZQWF3OYn4sgxJcf7KVAPEUYTwvEM5wZwjRn73Yj-yTWskzdML-MW_wFjF2MHAKMHowRjBWMrxhBqn6AQwMAEMH0HJQBAAA&subChannel=&masterhotelid_tracelogid=8ac6fa102a15&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=vi-VN,Premier Double Bed Room,HN,Trip
Muong Thanh Hanoi Centre Hotel,https://www.trip.com/hotels/detail/?cityId=286&hotelId=2510694&checkIn=2024-07-03&checkOut=2024-07-04&adult=2&children=0&subStamp=656&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAOM6wcTFJMEkxMTBKLWXiePhjxNrGS1-Czo-rBJZ5_60wsEzDQTsahwCeAoZQGBBpkMjYzVQ8uGiVIdJjAsYOUGiBj2OjoIgxo4rto5KThx72xcbCuhL9L46MYFRgVETrJMhwsEQxrBoFHS05bq-uMA2xMETxghi4dizViSKhePyMkElR47JdyepCYhLnO7fvRRuhkM01Awgw6LMcYdc6-tAjnAHTxgDaMSbKeJAI_pvCDuxcjzY0MM4g_HZvJmMKxgZNzJqxvQf-nrCy2EHI9MJxnVbQxcwvd-6g3kXE0ThISYWjq6d3KeYGC4xMdxiYngE5K84pP2KieETkPXon8ovqMImZoYuZoZJzGDls5jBqhYxM0jxmpkmJloYJxkapiVaGisIadx82bGFzciaA-h8LcH4EM8wP8PE9NwCk0wLU7NMYwPGSYxMERGnGKUMzQ3MzMwNDSwsDC3N9CwTLVJDcvOj0opDHK2YpRjdPBiD2JxczAwNXKO0uJjD_FwEIcH4wV4KxFOE8bRAPMOZIUxz9m43sk9iTc3TjYjIuMVfwNjFyCHA6MEYwVjB-IoRpOoHOFAAs5Crnv0BAAA&subChannel=&masterhotelid_tracelogid=65aa83b11fa93&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior King Room,HN,Trip
Mercure Hanoi La Gare Hotel,https://www.trip.com/hotels/detail/?cityId=286&hotelId=1965527&checkIn=2024-07-02&checkOut=2024-07-03&adult=2&children=0&subStamp=938&crn=1&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONawcjFJMEkxMTBKDWXkWPqlp33WIU4LUwNjC0szA2MDNaIWvSnOZ49AwR_qh08NWP6D33dU-8QwDOJUYKTAQjsFK0dBUGM7VkWjk4sHPsO5cxgvP67fCPjwyqRde6Mfg47GJlOMPbdjF_AdPLCS61dTGA1h4DUhpc8p5gYLjEx3GJieMTE8IqJ4RMTwy-IfBMzQxczwyRmsKpZzAyLmBmkeM2NzA1Mk1LSzNLSDIwVhDQmv-_YwmZkzcGowKglGB_iGeZnmJieW2CSaWFqlmlswDiJkSki4hSjlKG5gZmZuaGBhYWhpZmeZaJFakhuflRacYijFbMUo5sHYxCbgamzq5NRlBYXc5ifC9g_DAwf7KVAPEUYTwvEM5wZwjRn73Yj-yTW1DzdiIiMW_wFjF2MHAKMHowRjBWMrxhBqn6AggAAnFDD3lwBAAA&subChannel=&masterhotelid_tracelogid=72705bdf6ff03&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1%7E17%7E1*80%7C0%7C1%7E80%7E0&hotelType=normal&barcurr=VND&locale=en-XX,Classic Double Bed Room With City View,HN,Trip
REY Hotel Hanoi,https://www.trip.com/hotels/detail/?cityId=286&hotelId=113377329&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=930&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONawsjFJMEkxMTBKDWTkWPet8WPWYUYjQx28Fv0ZTu2vg7cIcdZ5eDJdX1xga1cjUMAzyRGac40EGDzdxA8ewYI3ng7OLFz9D-a6S3BMoNxY0OH2UZGzZj-Q19XODjsYGQ6wbhhQuQCprY_bWa7mFg42hYmHAJS1yawn2JiuMTEcIuJ4RETwysmhk9MDL8g8k3MDF3MDJOYwapmMTMsYmaQ4jVIMks1MrM0TjZIskhVENL42HxhC5uRNQejAqOWYHyIZ5ifYWJ6boFJpoWpWaaxAeMkRqaIiFOMUobmBmZm5oYGFhaGlmZ6lokWqSG5-VFpxSGOVsxSjG4ejEFspqZuLiaOUVpczKHBLoIMYPDBXoo5zM9FEcRWuHTDQQvEM2yOrb_xeaORfRJrap5uRETGC_4Cxi5GDgFGD8YIxgrGV4wgVT_AYQAAMdXAuVkBAAA&subChannel=&masterhotelid_tracelogid=0b6e2693c0b8e&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Standard Twin Room,HN,Trip
La Passion Premium Cau Go,https://www.trip.com/hotels/detail/?cityId=286&hotelId=108842804&checkIn=2024-09-09&checkOut=2024-09-10&adult=2&children=0&subStamp=658&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAOO6xcjFJMEkxMTBKHWekePSo63PWYWYDQ2MDB6xWVwwdFxSYMt1fX6jg2fr68AdcpzNDgE8hQxg4OEwidGGk-v64gJbrXAHQc2Y_kNfb4Q4KMkrsGjCVBjCGBbPOINYODZM4YpicGLnePvyd64EywzGLfM-G29kFFnn_rBqipvDDkamE4ytbysWMJ1quGu5i4mV4_m1HsZDTCwcm65ynmJiuMTEcIuJ4RET2JxXTAyfmBh-QRU1MTN0MTNMYgYrncUMVrGImUGK1zjV0sQU6JtE81RLMwUhjcn7j21jM1KaxMgUEXGKUcrQ3MDMzNzQwMLC0NJMzzLRIjUkNz8qrTjE0YpZitHNgzGIzdDV0MTQIkqLizk02EWwlGkWh3ScjIMUc5ifi2LCxWMlU9cY2WuBeIYwXhJrap5uRETGPIECxi5GDgFGD8YIxgrGV4wgVT_AngYAXuJ90HYBAAA&subChannel=&masterhotelid_tracelogid=3e945102a7e96&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Grand Double Room,HN,Trip
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),https://www.trip.com/hotels/detail/?cityId=286&hotelId=2845396&checkIn=2024-08-27&checkOut=2024-08-28&adult=2&children=0&subStamp=1067&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAON6xcTFJMEkxMTBKHWfiWPS6s47rBa_BR1nzQSCnRUOnt80YvoP8dY4BPAUMoDAjVaHRkag0FeNNQ0OkxgPMHKCRBta_BwFQYyEEE9HJUeOe0fmiwrkSXy9sNlUgVETrPFAjIMhjGGxl8_xYZXIOveL4Q6eMEYQC0fDVokoFo4HC0WARnyd-0xDQFyi_dTeKYwwMzoaoGYAGRZljmBmSrWDJ4wBMmJ5AdCIBbNjleQVWCC6GryhuoAMi2ecQEXXj3FHMTixcjRM-sI4g_HK1bWMKxgZNzKCXbLQy2EHI9MJxsVHQxYwXb54wmIXE0ThISYWjrZV3KeYGC4xMdxiYngEFL--aArjKyaGT0Cphr2Fv6Aqm5gZupgZJjGD1c9ihihbxMwgxZtmaJxiaGRhYZ5klGypIKSxqPfLFjYjaw6gD7UE40M8w_wME9NzC0wyLUzNMo0NGCcxMkVEnGKUMjQ3MDMzNzSwsDC0NNOzTLRIDcnNj0orDnG0YpZidPNgDGKzMDMxMTOM0uJiDvNzAccFA8MHeykQTxHG0wLxDP8edfaqPGdkn8SamqcbEZExUaCAsYuRQ4DRgzGCsYLxFSNI1Q9wsAAA-Cb03h8CAAA&subChannel=&masterhotelid_tracelogid=f13d12887b2c9&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Cozy Deluxe Room,HN,Trip
Nesta Hotel Hanoi,https://www.trip.com/hotels/detail/?cityId=286&hotelId=993461&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=1566&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAOO6xMjFJMEkxMTBKHWckWP9rg0vWA26mC0e8zsygIBCsYMnmLGh1CGApxDMbPB3mMRowwlmL6h0EAQzBEodlOQVWDRhKgxhDItnnEEsHM838kYxOLFz7Fx9xEWCZQbj1os2GxkhSlwcdjAynWD8dNxxAdPfyfuZdjGxcFy5E34ISP1-xHGKieESE8MtJoZHTGBTXjExfGJi-AVR08TM0MXMMIkZrHIWM1jBImYGKV6LRONUi5QUC4tUC4M0BSGN2Q0XtrAZWXMwKjBqCcaHeIb5GSam5xaYZFqYmmUaGzBOYmSKiDjFKGVobmBmZm5oYGFhaGmmZ5lokRqSmx-VVhziaMUsxejmwRjEZmRgaGBuGaXFxezsFwnxO8MHeynmMD8Xxaef5C_xJ6920ALxDJtj62983mhkn8SamqcbEZHxgr-AsYuRQ4DRgzGCsYLxFSNI1Q9QUAAAILcEsIYBAAA&subChannel=&masterhotelid_tracelogid=8a3e8dd88e80f&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior Twin Room Non Smoking,HN,Trip
Silk Path Boutique Hanoi,https://www.trip.com/hotels/detail/?cityId=286&hotelId=713072&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=996&crn=1&ages=&travelpurpose=0&curr=VND&link=title&hoteluniquekey=H4sIAAAAAAAAAONaxczFJMEkxMTBKDWfmeNS17ebLBa_BR2vLy6w5Vpe4uCZBgJ55Q4BPIUMIDCjyaGRcZ37wyqRa9UOkxjbmDhBogs-eDoKghgBrq6OSk4cV1tmmwnoS8xd1b2YUYFRE6zTIcLBEMawaBR0DNoh1_r6YbCDJ4wRxMKx4IFIFAvHhCZBoBmvuvaLCeRJPP3YhWRGEsyMJAeLvXyOxiBwOdbBE8YAmrFhgjzQjBmHJYFmLP550VxAWWLyvhPL4WZcKIKaAWRYnGN0nDUTCC7mOXjCGCAzVjmAzHhgoiSvwALR1uAJ1QZkWDzjBCra-IwrisGJlePAofOMMxg_HNLeyFgtAgwaKzeHHYxMJxi3_HdbwNTfc59pFxNE0SEmFo7bBzlPMTFcYmK4xcTwCMjf2Fj_ionhE5B1YGn8L6jCJmaGLmaGScxg5bOYwaoWMTNI8RokmydamqcZGlqkmlkqCGkcaLywhc3ImgPoOS3B-BDPMD_DxPTcApNMC1OzTGMDxkmMTBERpxilDM0NzMzMDQ0sLAwtzfQsEy1SQ3Lzo9KKQxytmKUY3TwYg9gsnNzMDQyitLiYw_xcwHHJwPDBXgrEU4TxtJhDg10MC9d0385gkHVIYk3N042IyHjBX8DYxcghwOjBGMFYwfiKEaTnByhAAGYPkoxeAgAA&subChannel=&masterhotelid_tracelogid=0c7a97f118e69&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior Room,HN,Trip
La Siesta Premium Hang Be,https://www.trip.com/hotels/detail/?cityId=286&hotelId=33520498&checkIn=2024-07-17&checkOut=2024-07-18&adult=2&children=0&subStamp=1100&crn=1&ages=&travelpurpose=0&curr=VND&link=review&hoteluniquekey=H4sIAAAAAAAAAON6xsTFJMEkxMTBKHWbiePPkc47rBYThRyrRda5P5zS5OAJpKpERFodAngKGUBAodChkXFJgS3Xde00h0mMBxk5QaIqcZ6OgiAG6wRXRyVHjkdXlkkIKEtc_DrVToFRE6zxQaKDIYxhcY7R8U3gDrlW6zgHTxgjiIVj3w65KBaOpg-SSk4cl7dsUBbIk5h7r2MpI8yMAwFQM4AMi718jkCNrwMtfBw8YQygGetm8QHNONfJoySvwALRxgDTBmRYPOMEKnp1jjeKwYmV48SPU4wzGD99-8u_kXHWTCD4Geywg5HpBOPpU_ULmG5dPGGxiwmi6hATC8fyHsFTTAyXmBhuMTE8AvKvLbR6xcTwCci68FP1F1RhEzNDFzPDJGaw8lnMYFWLmBmkeM1MTEwMTRMNDZINTZMUhDRON13YwmZkzQH0nZZgfIhnmJ9hYnpugUmmhalZprEB4yRGpoiIU4xShuYGZmbmhgYWFoaWZnqWiRapIbn5UWnFIY5WzFKMbh6MQWzGFoZOJqZRWlzMYX4ughCvfrCXAvEUYTwtEM-wObb-xueNRvZJrKl5uhERGS_4Cxi7GDkEGD0YIxgrGF8xglT9AIcIABgC1NQbAgAA&subChannel=&masterhotelid_tracelogid=644415a10c15b&NewTaxDescForAmountshowtype0=T&detailFilters=17%7C1~17~1*80%7C0%7C1~80~0&hotelType=normal&barcurr=VND&locale=en-XX,Superior Room No Window,HN,Trip
