hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
REY Hotel Hanoi,Standard Twin Room,"VND 2,550,000","VND 2,635,000","VND 2,635,000","VND 2,635,000","VND 2,240,000",NA
Nesta Hotel Hanoi,Superior Twin Room Non Smoking,"VND 1,451,621","VND 1,451,621","VND 1,612,913","VND 1,559,149","VND 1,720,343","VND 1,505,385"
Minasi HanoiOi Hotel,Premier Double Bed Room,"VND 2,684,352","VND 2,654,191","VND 2,654,191","VND 2,654,191","VND 2,654,191","VND 1,954,449"
La Passion Premium Cau Go,Grand Double Room,NA,NA,NA,NA,"VND 9,000,000","VND 8,775,000"
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),Cozy Deluxe Room,"VND 2,835,000","VND 2,835,000","VND 2,002,963","VND 2,835,000","VND 2,002,963","VND 2,503,775"
Halais Hotel,Superior Room,"VND 1,464,905","VND 1,349,572","VND 1,793,541","VND 1,349,572","VND 1,349,572","VND 1,349,572"
La Siesta Premium Hang Be,Superior Room No Window,"VND 6,120,000","VND 5,040,000","VND 4,680,000","VND 5,040,000","VND 4,320,000","VND 4,320,000"
Mercure Hanoi La Gare Hotel,Classic Double Bed Room With City View,"VND 3,878,280","VND 2,755,620","VND 2,347,380","VND 2,086,560","VND 2,086,560","VND 1,905,120"
Silk Path Boutique Hanoi,Superior Room,"VND 2,550,483","VND 2,827,500","VND 2,287,546","VND 2,287,546","VND 2,129,784","VND 2,550,483"
Muong Thanh Hanoi Centre Hotel,Superior King Room,"VND 1,650,000","VND 1,650,000","VND 1,650,000",NA,"VND 1,650,000","VND 1,650,000"
Movenpick Hotel Hanoi Centre,Classic King Room,"VND 5,284,440","VND 4,876,200","VND 4,195,800","VND 4,195,800","VND 4,139,100","VND 4,082,400"
Hanoi le Jardin Hotel & Spa,Cozy Le Jardin Classic Room,"VND 2,401,860","VND 2,401,844","VND 2,197,004","VND 1,686,920","VND 1,686,920","VND 2,401,853"
Aira Boutique Hanoi Hotel & Spa,Deluxe Room,"VND 4,286,181","VND 3,962,327","VND 3,694,257","VND 3,943,630","VND 2,734,155","VND 3,875,926"
Hotel du Lac Hanoi,Deluxe Twin Internal Window,"VND 3,035,161","VND 4,173,421","VND 4,173,421","VND 3,566,448","VND 3,414,482","VND 3,565,547"
Melia Hanoi,Phòng Deluxe,VND 375,VND 198,VND 871,VND 772,VND 871,VND 737
Hotel du Parc Hanoi,Deluxe King Room,"VND 3,778,492","VND 3,120,630","VND 2,741,094","VND 2,995,805","VND 2,833,870","VND 2,429,031"
Grand Vista Hanoi (Kim Ma),Deluxe Twin Room,"VND 1,868,134","VND 1,838,683","VND 1,838,683","VND 1,838,683","VND 1,838,698","VND 1,838,679"
Ha Noi Hotel (Kim Ma),Deluxe Room,"VND 1,981,812","VND 2,041,867","VND 2,041,867","VND 2,041,867","VND 2,041,867","VND 2,041,867"
The Oriental Jade Hotel,Oriental Pearl Twin,"VND 5,186,843","VND 4,890,546","VND 5,034,349","VND 5,034,349","VND 4,520,549","VND 4,515,884"
L'Signature Hotel & Spa,Superior Double No Window,"VND 4,488,750","VND 4,488,750","VND 3,871,000","VND 3,871,000","VND 3,871,000","VND 3,871,000"
