hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
REY Hotel Hanoi,Standard Twin Room,"VND 2,550,000","VND 2,550,000","VND 2,890,000","VND 2,635,000","VND 2,720,000","VND 2,480,000"
Minasi HanoiOi Hotel,Premier Double Bed Room,"VND 3,506,255","VND 3,353,809","VND 2,683,047","VND 2,683,047","VND 2,683,047","VND 2,683,047"
Nesta Hotel Hanoi,Superior Twin Room Non Smoking,"VND 1,617,868","VND 1,573,036","VND 1,516,857","VND 1,685,396","VND 1,596,856","VND 1,731,134"
La Passion Premium Cau Go,Grand Double Room,NA,NA,NA,NA,NA,NA
Bespoke Trendy Hotel Hanoi (Formerly Hanoi La Siesta Hotel Trendy),Cozy Deluxe Room,"VND 2,371,433","VND 2,667,862",NA,NA,NA,NA
La Siesta Premium Hang Be,Superior Room No Window,"VND 2,880,000","VND 7,200,000","VND 5,760,000","VND 4,680,000","VND 5,040,000","VND 4,320,000"
Mercure Hanoi La Gare Hotel,Classic Double Bed Room With City View,"VND 3,163,860","VND 3,447,360","VND 2,086,560","VND 2,835,000","VND 2,086,560","VND 2,086,560"
Hotel du Lac Hanoi,Deluxe Twin Internal Window,"VND 3,984,169","VND 3,382,745","VND 4,134,634",NA,NA,NA
Melia Hanoi,Phòng Deluxe,VND 075,NA,NA,NA,NA,NA
Silk Path Boutique Hanoi,Superior Room,NA,"VND 2,054,054","VND 1,842,295","VND 1,842,295","VND 1,842,295",NA
Muong Thanh Hanoi Centre Hotel,Superior King Room,NA,NA,NA,NA,NA,NA
Hotel du Parc Hanoi,Deluxe King Room,NA,NA,NA,NA,NA,NA
Aira Boutique Hanoi Hotel & Spa,Deluxe Room,"VND 4,133,111","VND 3,682,896","VND 4,211,578","VND 3,650,297","VND 3,936,591","VND 2,729,275"
Hanoi le Jardin Hotel & Spa,Cozy Le Jardin Classic Room,"VND 2,401,856","VND 2,401,856","VND 2,401,856","VND 2,197,015","VND 2,096,603","VND 1,686,922"
Grand Vista Hanoi (Kim Ma),Deluxe Twin Room,"VND 1,868,134","VND 1,868,134","VND 1,838,684","VND 1,838,684","VND 1,838,684","VND 1,838,684"
Movenpick Hotel Hanoi Centre,Classic King Room,NA,NA,NA,NA,NA,NA
L'Signature Hotel & Spa,Superior Double No Window,"VND 7,256,944","VND 4,488,750","VND 4,327,464","VND 4,377,917","VND 3,871,000","VND 3,871,000"
The Oriental Jade Hotel,Oriental Pearl Twin,"VND 5,283,911","VND 5,678,233","VND 5,319,926","VND 5,319,926","VND 5,319,926","VND 4,776,510"
Halais Hotel,Superior Room,NA,NA,NA,NA,NA,NA
Ha Noi Hotel (Kim Ma),Deluxe Room,"VND 2,217,966","VND 1,960,486","VND 2,019,895",NA,NA,NA
