hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Sheraton Hanoi Hotel,Deluxe Twin Room,"VND 3,750,000","VND 4,400,000","VND 4,300,000","VND 3,600,000","VND 3,300,000","VND 4,700,000"
Lotte Hotel (Khu Nhat Han HN),Deluxe Twin Room,"VND 4,264,245","VND 4,873,669","VND 3,799,992","VND 3,799,992","VND 3,799,992","VND 3,799,992"
L7 WEST LAKE HANOI BY LOTTE - L7 RESIDENCES,One Bedroom Apartment,"VND 7,426,193","VND 5,792,431","VND 5,792,431","VND 5,792,431","VND 3,227,776","VND 3,227,776"
Fukura (Boutique - Kim Ma),Standard Room,"VND 1,326,606","VND 1,326,343","VND 1,326,405","VND 1,326,405","VND 1,326,405","VND 1,326,405"
Hanoi Daewooo (Khu Nhat Han HN),Deluxe King Room,"VND 3,197,333","VND 2,427,330","VND 2,645,787","VND 2,400,335","VND 2,668,961","VND 2,651,851"
Dolce Wyndham (Khu Nhat Han HN),Golden Classic Twin,"VND 9,758,672","VND 8,881,488","VND 8,881,488","VND 8,881,488","VND 8,881,488","VND 8,881,488"
Sheraton Hanoi West,"Deluxe, Guest Room, 1 King, Sofa Bed, City View","VND 3,150,000","VND 3,300,000","VND 3,650,000","VND 3,650,000","VND 3,150,000","VND 3,150,000"
L7 WEST LAKE HANOI by LOTTE HOTELS,Superior Convertible,"VND 4,015,564","VND 4,015,564","VND 5,086,382","VND 4,015,564","VND 4,550,973","VND 4,015,564"
JW Marriott Hotel Hanoi,"Deluxe King, Guest Room, 1 King Bed","VND 10,500,000","VND 4,500,000","VND 4,800,000","VND 5,600,000","VND 5,300,000","VND 5,000,000"
Pullman Hotel (Khu Nhat Han HN),Superior Twin Room with City View,"VND 3,550,000","VND 2,455,501","VND 2,355,501","VND 2,490,000","VND 2,350,000","VND 2,350,000"
InterContinental Hanoi Landmark72,1 King Bed Classic Room,"VND 4,080,994","VND 3,449,006","VND 4,238,876","VND 3,659,824","VND 4,344,285","VND 3,449,006"
M Village Hotel Ho Guom,Standard Room without Window,"VND 3,265,889","VND 3,382,528","VND 1,651,424","VND 1,651,424","VND 1,651,424","VND 1,651,424"
Novotel Hanoi Thai Ha,"Superior Room, 1 King Size Bed, City View","VND 2,430,000","VND 2,430,000","VND 2,295,000","VND 2,295,000","VND 2,295,000","VND 2,295,000"
M Village Hotel Thợ Nhuộm,Superior,"VND 3,983,080","VND 4,204,362","VND 3,540,516","VND 3,540,516","VND 3,540,516","VND 3,540,516"
M Village Sig Tho Nhuom,Phòng Studio,"VND 3,867,617","VND 4,530,637","VND 4,530,637","VND 4,199,126","VND 4,199,126","VND 4,199,126"
Pan Pacific Hanoi,Deluxe King Or Twin Room,"VND 3,734,890","VND 4,001,668","VND 4,001,271","VND 3,625,312","VND 3,920,708","VND 4,028,125"
Peridot Grand Luxury Boutique Hotel,Grand Deluxe Room,"VND 12,755,481","VND 12,238,358","VND 9,990,314","VND 9,455,118","VND 9,455,118","VND 9,455,118"
Novotel Suites Hanoi,Superior King Studio,"VND 2,550,000","VND 2,250,000","VND 2,125,000","VND 2,125,000","VND 2,125,000","VND 2,125,000"
InterContinental Hanoi Westlake,Classic Room,"VND 3,791,469","VND 3,923,114","VND 4,028,291","VND 5,634,499","VND 3,896,645","VND 3,396,533"
