hotel_name,room_type,price_w1,price_w2,price_w3,price_w4,price_w5,price_w6
Sheraton Hanoi West,"Deluxe, Guest Room, 1 King, Sofa Bed, City View","VND 3,000,000","VND 3,000,000","VND 3,000,000","VND 3,000,000","VND 3,000,000","VND 3,000,000"
L7 WEST LAKE HANOI by LOTTE HOTELS,Superior Convertible,"VND 4,015,564","VND 4,550,973","VND 4,550,973","VND 3,747,860","VND 3,747,860","VND 5,621,790"
Lotte Hotel (Khu Nhat Han HN),Deluxe Twin Room,"VND 3,799,271","VND 3,799,271","VND 4,786,158","VND 3,654,645","VND 3,625,686","VND 3,625,686"
JW Marriott Hotel Hanoi,"Deluxe King, Guest Room, 1 King Bed","VND 5,200,000","VND 5,800,000","VND 5,800,000","VND 4,100,000","VND 4,200,000","VND 4,000,000"
Dolce Wyndham (Khu Nhat Han HN),Golden Classic Twin,"VND 8,881,488","VND 8,881,488","VND 8,371,350","VND 8,881,488","VND 8,881,488","VND 8,881,488"
L7 WEST LAKE HANOI BY LOTTE - L7 RESIDENCES,One Bedroom Apartment,"VND 5,783,461","VND 5,783,461","VND 5,783,461","VND 5,783,461","VND 5,783,461","VND 5,783,461"
Pullman Hotel (Khu Nhat Han HN),Superior Twin Room with City View,"VND 2,490,000","VND 2,490,000","VND 2,350,000","VND 2,350,000","VND 2,350,000","VND 2,350,000"
Fukura (Boutique - Kim Ma),Standard Room,"VND 1,332,911","VND 1,332,911","VND 1,332,911","VND 1,332,911","VND 1,332,911","VND 1,332,911"
Sheraton Hanoi Hotel,Deluxe Twin Room,"VND 3,400,000","VND 3,300,000","VND 3,300,000","VND 3,200,000","VND 3,400,000","VND 3,200,000"
Hanoi Daewooo (Khu Nhat Han HN),Deluxe King Room,"VND 3,954,712","VND 3,949,695","VND 3,934,645","VND 3,944,678","VND 3,929,628","VND 3,934,645"
Novotel Hanoi Thai Ha,"Superior Room, 1 King Size Bed, City View","VND 2,430,000","VND 2,430,001","VND 2,295,000","VND 2,295,000","VND 2,295,000","VND 2,295,000"
M Village Sig Tho Nhuom,Phòng Studio,"VND 3,477,067","VND 3,104,524","VND 2,980,343","VND 2,980,343","VND 1,858,039","VND 1,858,039"
M Village Hotel Ho Guom,Standard Room without Window,"VND 3,120,000","VND 3,120,000","VND 3,120,000","VND 3,120,000","VND 4,290,000","VND 4,290,000"
InterContinental Hanoi Landmark72,1 King Bed Classic Room,"VND 3,781,391","VND 3,685,291","VND 3,553,673","VND 3,211,513","VND 3,211,513","VND 3,106,127"
M Village Hotel Thợ Nhuộm,Superior,"VND 3,295,579","VND 3,095,559","VND 3,095,559","VND 3,419,402","VND 1,596,619","VND 1,517,023"
Novotel Suites Hanoi,Superior King Studio,"VND 2,205,000","VND 2,205,000","VND 2,082,500","VND 2,082,500","VND 2,082,500","VND 2,082,500"
Pan Pacific Hanoi,Deluxe King Or Twin Room,"VND 3,549,490","VND 3,597,054","VND 3,620,835","VND 3,218,520","VND 3,352,625","VND 3,222,066"
Peridot Grand Luxury Boutique Hotel,Grand Deluxe Room,"VND 10,525,504","VND 4,093,888","VND 4,069,278","VND 4,069,278","VND 4,441,798","VND 4,098,100"
InterContinental Hanoi Westlake,Classic Room,"VND 3,527,442","VND 3,659,059","VND 4,132,836","VND 3,053,433","VND 3,158,820","VND 3,290,437"
