Hotel Name,Hotel URL,Room Type
Sofitel Legend,https://vn.trip.com/hotels/hanoi-hotel-detail-1501255/sofitel-legend-metropole-hanoi/?checkIn=2026-08-12&checkOut=2026-08-13&crn=1&adult=2&children=0,Cánh Opera - Phòng Premium 2 Giường Đơn
Capella Hanoi,https://vn.trip.com/hotels/hanoi-hotel-detail-71667925/capella-hanoi/,Phòng Đôi Thương Gia
Hotel de l'Opera - MGallery Hanoi,https://vn.trip.com/hotels/hanoi-hotel-detail-1889948/hotel-de-l-opera-hanoi-mgallery-by-sofitel/,"PHÒNG CAO CẤP, 2 Giường đơn"
Apricot Hotel,https://vn.trip.com/hotels/hanoi-hotel-detail-2533663/apricot-hotel/,Phòng Đôi Sketch Không hút thuốc
GRAND HÔTEL du LAC Hanoi,https://vn.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=115862976&checkIn=2026-07-29&checkOut=2026-07-30&adult=2&children=0&crn=1&curr=VND&barcurr=VND&masterhotelid_tracelogid=100051355-0a9acf89-495080-43869-metaRoom&detailFilters=17%7C1%7E17%7E1*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=meta&display=exavg&subStamp=1080&isCT=true&isFlexible=F&roomkey=1466438739_2_0_1466438739_021_2_&roomToken=NM1U26-1-Z-1&msr=%5B%7B%22roomId%22%3A1466438739%2C%22ratePlanId%22%3A%222%22%2C%22shadowId%22%3A0%2C%22rateID%22%3A%22021%22%2C%22adult%22%3A2%2C%22childAgeList%22%3A%5B%5D%2C%22xPkgToken%22%3A%22%22%7D%5D&locale=vi-VN,Phòng Đôi Deluxe kiểu Colonial có cửa sổ bên trong
Minasi Premium Hotel,https://www.trip.com/hotels/hanoi-hotel-detail-105018641/minasi-premium-hotel/?locale=en-XX&allianceid=1273644&sid=3460485&utm_campaign=1214090&utm_id=1317039&trip_sub1=CjwKCAjwgO7RBhBKEiwAZNP85v2aG-9pLE_Nb9Gjw-99ilN3_srZGqe_AZ-XQRfcTxo4pjcnyAHCVhoC_r0QAvD_BwE&gad_source=1&gad_campaignid=23727486954&gbraid=0AAAABBW3RCrhpJxOcH2yil2tsQaR4KIzZ&gclid=CjwKCAjwgO7RBhBKEiwAZNP85v2aG-9pLE_Nb9Gjw-99ilN3_srZGqe_AZ-XQRfcTxo4pjcnyAHCVhoC_r0QAvD_BwE,Standard Double room （No Window）
PARKROYAL Serviced Suites Hanoi,https://vn.trip.com/hotels/hanoi-hotel-detail-85456563/parkroyal-serviced-suites-hanoi/?locale=vi-VN&allianceid=14894&sid=1978320&ppcid=ckid-_adid-_akid-_adgid-&utm_source=google&utm_medium=cpc&utm_campaign=20327500275&gad_source=1&gad_campaignid=20332534460&gbraid=0AAAAABn2eFIIEB-Pd6CzQo-CI9NamUp-P&gclid=CjwKCAjwgO7RBhBKEiwAZNP85jhM2HWWIivJhuOJh6BABfvZlV8-fRkUEJNrEr9AFvFu3nA_tBSe_BoCMHAQAvD_BwE&checkIn=2026-08-05&checkOut=2026-08-06&crn=1&adult=2&children=0,Phòng Deluxe có 1 Phòng ngủ
Fraser Residence Hanoi,https://vn.trip.com/hotels/detail/?cityEnName=Hanoi&cityId=286&hotelId=82208774&checkIn=2026-07-29&checkOut=2026-07-30&adult=2&children=0&crn=1&ages=&curr=VND&barcurr=VND&hoteluniquekey=H4sIAAAAAAAA_-OawcLFJMEkNZGF49rRXU9ZhRiNDL4yWWzWdmQAAbdGB0-Ph1Ui66Y3OwTwFILFEtIcGhlBYu4rEx1mMLZdmKm-gpFxI6Mt1_XFBb1BDjsYmU4wHnrcxLiAqe37JY1TLCwcPYcFL7H8YYquVspOrVSyMtFRKsksyUlVslIKyDi8ViHl4e7u5AyFsoe7lyrpKKWkFicDZYCsxNz80rwSINvQwNzQ2FjPwAAoWJJY4ZmiZGWuo5ScmJNcmpNYkhpSWQA0y0xHKbPYuaQosyAoNTezpCQVqCotMac4FSQelFoMlEkGCyr5AY0pggpk5udBtBugiIUl5pSmQlwBtNAtFWqHca0Oph_CHENwONvc0tIC1dkm1Ha2ITHONqyNfcTCFB37iYXhFzA6rrVoNbEydLEyTGJl5Ti3bArjLlYef_-gCNcQXUPdKF3DC6wzXqxhlFIwNDAwMDI1NTLXNUi0TEwzSjHQNbE0NbAw1DUzMjY2t9B4e6D5-HtjIxMFRi3B-BDPMD_D8qSStMSipKSSzAIDxlOMUobm5gZmlmbm5samRiZ6FhbJJn5lptkZIcbmHoxBbMYGhqZOblE2XMxhfi6Cnn8WX_rz3sBeCsRThPG0QDxDGC9wx-fHDSUvme0jO83b-ro-GNgnsZZl6ob5ZZwTLWDsYuQWYPRgjGCsYGxgZFzFyM7FbGBkKMC0gZFxB-N_GGB8xQgyEwAsP1Qb-wIAAA&masterhotelid_tracelogid=100025527-0a9af2d0-495081-623378&detailFilters=2%7C2%7C588%7E2%7E2%7C588*17%7C1%7E17%7E1*80%7C0%7C1%7E80%7E0*29%7C1%7E29%7E1%7C2&hotelType=normal&display=exavg&subStamp=1404&isCT=true&isFlexible=F&locale=vi-VN,Studio Executive
Grand K Hotel Suites Hanoi,https://ca.trip.com/hotels/hanoi-hotel-detail-103841098/grand-k-hotel-suites-hanoi/?locale=en-CA&allianceid=1273644&sid=3460485&utm_campaign=1214090&utm_id=1317039&trip_sub1=CjwKCAjwgO7RBhBKEiwAZNP85rIdIOZIInLwLibU5CiRw_UNwSAB6vzh_3lewdTBqc_V-Yh5CfrhtxoCEAwQAvD_BwE&gad_source=1&gad_campaignid=23727486954&gbraid=0AAAABBW3RCrhpJxOcH2yil2tsQaR4KIzZ&gclid=CjwKCAjwgO7RBhBKEiwAZNP85rIdIOZIInLwLibU5CiRw_UNwSAB6vzh_3lewdTBqc_V-Yh5CfrhtxoCEAwQAvD_BwE&checkIn=2026-07-28&checkOut=2026-07-29&crn=1&adult=2&children=0,Deluxe Room
Moovenpick Living West Hanoi,https://vn.trip.com/hotels/hanoi-hotel-detail-65413177/eastin-hotel-residences-hanoi/,Phòng Hai Giường Cao Cấp
